,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[18]],[[1]],[[12]],['low holistic'],['right'],['upright'],[],[],[[2]],AW
1,[[18]],[[2]],[[7]],['high holistic'],['left'],['inverted'],[],[],[[4]],AW
2,[[18]],[[3]],[[15]],['low holistic'],['left'],['upright'],[],[],[[8]],AW
3,[[18]],[[4]],[[6]],['low holistic'],['right'],['upright'],[],[],[[6]],AW
4,[[18]],[[5]],[[19]],['high holistic'],['right'],['upright'],[],[],[[12]],AW
5,[[18]],[[6]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[12]],AW
6,[[18]],[[7]],[[19]],['low holistic'],['right'],['inverted'],[],[],[[8]],AW
7,[[18]],[[8]],[[9]],['low holistic'],['right'],['inverted'],[],[],[[12]],AW
8,[[18]],[[9]],[[8]],['low holistic'],['fovea'],['upright'],[],[],[[0]],AW
9,[[18]],[[10]],[[10]],['low holistic'],['left'],['upright'],[],[],[[2]],AW
10,[[18]],[[11]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[6]],AW
11,[[18]],[[12]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[8]],AW
12,[[18]],[[13]],[[18]],['high holistic'],['left'],['upright'],[],[],[[12]],AW
13,[[18]],[[14]],[[8]],['low holistic'],['left'],['upright'],[],[],[[4]],AW
14,[[18]],[[15]],[[2]],['low holistic'],['right'],['inverted'],[],[],[[8]],AW
15,[[18]],[[16]],[[11]],['high holistic'],['right'],['inverted'],[],[],[[8]],AW
16,[[18]],[[17]],[[18]],['high holistic'],['left'],['upright'],[],[],[[6]],AW
17,[[18]],[[18]],[[10]],['low holistic'],['left'],['inverted'],[],[],[[10]],AW
18,[[18]],[[19]],[[7]],['high holistic'],['left'],['upright'],[],[],[[6]],AW
19,[[18]],[[20]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[4]],AW
20,[[18]],[[21]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[8]],AW
21,[[18]],[[22]],[[19]],['high holistic'],['right'],['upright'],[],[],[[4]],AW
22,[[18]],[[23]],[[16]],['low holistic'],['left'],['inverted'],[],[],[[2]],AW
23,[[18]],[[24]],[[18]],['high holistic'],['right'],['upright'],[],[],[[10]],AW
24,[[18]],[[25]],[[17]],['low holistic'],['left'],['inverted'],[],[],[[4]],AW
25,[[18]],[[26]],[[2]],['low holistic'],['right'],['inverted'],[],[],[[2]],AW
26,[[18]],[[27]],[[3]],['high holistic'],['right'],['upright'],[],[],[[8]],AW
27,[[18]],[[28]],[[4]],['low holistic'],['right'],['upright'],[],[],[[10]],AW
28,[[18]],[[29]],[[16]],['low holistic'],['left'],['upright'],[],[],[[4]],AW
29,[[18]],[[30]],[[19]],['low holistic'],['left'],['upright'],[],[],[[12]],AW
30,[[18]],[[31]],[[18]],['low holistic'],['left'],['inverted'],[],[],[[8]],AW
31,[[18]],[[32]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[10]],AW
32,[[18]],[[33]],[[14]],['low holistic'],['right'],['upright'],[],[],[[12]],AW
33,[[18]],[[34]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[8]],AW
34,[[18]],[[35]],[[19]],['high holistic'],['fovea'],['upright'],[],[],[[0]],AW
35,[[18]],[[36]],[[8]],['low holistic'],['left'],['inverted'],[],[],[[8]],AW
36,[[18]],[[37]],[[16]],['high holistic'],['right'],['upright'],[],[],[[12]],AW
37,[[18]],[[38]],[[2]],['high holistic'],['right'],['upright'],[],[],[[8]],AW
38,[[18]],[[39]],[[14]],['high holistic'],['left'],['inverted'],[],[],[[10]],AW
39,[[18]],[[40]],[[11]],['low holistic'],['right'],['inverted'],[],[],[[12]],AW
40,[[18]],[[41]],[[12]],['low holistic'],['right'],['inverted'],[],[],[[6]],AW
41,[[18]],[[42]],[[1]],['low holistic'],['left'],['inverted'],[],[],[[10]],AW
42,[[18]],[[43]],[[16]],['low holistic'],['fovea'],['upright'],[],[],[[0]],AW
43,[[18]],[[44]],[[3]],['high holistic'],['right'],['upright'],[],[],[[4]],AW
44,[[18]],[[45]],[[6]],['low holistic'],['right'],['upright'],[],[],[[10]],AW
45,[[18]],[[46]],[[18]],['low holistic'],['left'],['inverted'],[],[],[[2]],AW
46,[[18]],[[47]],[[2]],['high holistic'],['left'],['upright'],[],[],[[4]],AW
47,[[18]],[[48]],[[11]],['high holistic'],['right'],['upright'],[],[],[[8]],AW
48,[[18]],[[49]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[12]],AW
49,[[18]],[[50]],[[10]],['low holistic'],['left'],['upright'],[],[],[[10]],AW
50,[[18]],[[51]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[4]],AW
51,[[18]],[[52]],[[17]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],AW
52,[[18]],[[53]],[[6]],['high holistic'],['right'],['upright'],[],[],[[2]],AW
53,[[18]],[[54]],[[4]],['low holistic'],['left'],['inverted'],[],[],[[2]],AW
54,[[18]],[[55]],[[6]],['low holistic'],['right'],['inverted'],[],[],[[8]],AW
55,[[18]],[[56]],[[18]],['low holistic'],['right'],['upright'],[],[],[[4]],AW
56,[[18]],[[57]],[[10]],['low holistic'],['right'],['inverted'],[],[],[[2]],AW
57,[[18]],[[58]],[[6]],['high holistic'],['left'],['upright'],[],[],[[10]],AW
58,[[18]],[[59]],[[13]],['low holistic'],['left'],['upright'],[],[],[[12]],AW
59,[[18]],[[60]],[[16]],['low holistic'],['right'],['inverted'],[],[],[[4]],AW
60,[[18]],[[61]],[[18]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],AW
61,[[18]],[[62]],[[15]],['high holistic'],['right'],['upright'],[],[],[[4]],AW
62,[[18]],[[63]],[[8]],['high holistic'],['right'],['inverted'],[],[],[[12]],AW
63,[[18]],[[64]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[6]],AW
64,[[18]],[[65]],[[10]],['low holistic'],['left'],['inverted'],[],[],[[12]],AW
65,[[18]],[[66]],[[14]],['low holistic'],['right'],['upright'],[],[],[[4]],AW
66,[[18]],[[67]],[[14]],['low holistic'],['right'],['inverted'],[],[],[[2]],AW
67,[[18]],[[68]],[[11]],['high holistic'],['right'],['inverted'],[],[],[[2]],AW
68,[[18]],[[69]],[[17]],['high holistic'],['right'],['upright'],[],[],[[2]],AW
69,[[18]],[[70]],[[17]],['high holistic'],['left'],['inverted'],[],[],[[6]],AW
70,[[18]],[[71]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[2]],AW
71,[[18]],[[72]],[[5]],['low holistic'],['right'],['inverted'],[],[],[[6]],AW
72,[[18]],[[73]],[[10]],['high holistic'],['left'],['upright'],[],[],[[6]],AW
73,[[18]],[[74]],[[12]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],AW
74,[[18]],[[75]],[[9]],['low holistic'],['left'],['upright'],[],[],[[8]],AW
75,[[18]],[[76]],[[11]],['low holistic'],['right'],['upright'],[],[],[[8]],AW
76,[[18]],[[77]],[[15]],['low holistic'],['left'],['inverted'],[],[],[[10]],AW
77,[[18]],[[78]],[[9]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],AW
78,[[18]],[[79]],[[10]],['low holistic'],['left'],['upright'],[],[],[[10]],AW
