,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[2]],[[1]],[[9]],['low holistic'],['left'],['upright'],[],[],[[10]],CC
1,[[2]],[[2]],[[14]],['low holistic'],['right'],['upright'],[],[],[[10]],CC
2,[[2]],[[3]],[[19]],['high holistic'],['right'],['upright'],[],[],[[8]],CC
3,[[2]],[[4]],[[17]],['low holistic'],['right'],['upright'],[],[],[[8]],CC
4,[[2]],[[5]],[[10]],['high holistic'],['left'],['inverted'],[],[],[[4]],CC
5,[[2]],[[6]],[[16]],['low holistic'],['right'],['inverted'],[],[],[[10]],CC
6,[[2]],[[7]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[8]],CC
7,[[2]],[[8]],[[20]],['high holistic'],['right'],['upright'],[],[],[[6]],CC
8,[[2]],[[9]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[6]],CC
9,[[2]],[[10]],[[18]],['high holistic'],['right'],['upright'],[],[],[[12]],CC
10,[[2]],[[11]],[[8]],['low holistic'],['fovea'],['upright'],[],[],[[0]],CC
11,[[2]],[[12]],[[10]],['low holistic'],['left'],['upright'],[],[],[[12]],CC
12,[[2]],[[13]],[[5]],['low holistic'],['right'],['inverted'],[],[],[[6]],CC
13,[[2]],[[14]],[[16]],['low holistic'],['left'],['inverted'],[],[],[[6]],CC
14,[[2]],[[15]],[[18]],['low holistic'],['left'],['upright'],[],[],[[6]],CC
15,[[2]],[[16]],[[19]],['high holistic'],['left'],['inverted'],[],[],[[12]],CC
16,[[2]],[[17]],[[12]],['low holistic'],['left'],['inverted'],[],[],[[10]],CC
17,[[2]],[[18]],[[12]],['low holistic'],['right'],['inverted'],[],[],[[4]],CC
18,[[2]],[[19]],[[3]],['low holistic'],['right'],['upright'],[],[],[[4]],CC
19,[[2]],[[20]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[10]],CC
20,[[2]],[[21]],[[10]],['low holistic'],['right'],['inverted'],[],[],[[2]],CC
21,[[2]],[[22]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[2]],CC
22,[[2]],[[23]],[[18]],['low holistic'],['left'],['inverted'],[],[],[[12]],CC
23,[[2]],[[24]],[[16]],['high holistic'],['left'],['upright'],[],[],[[10]],CC
24,[[2]],[[25]],[[18]],['high holistic'],['left'],['upright'],[],[],[[6]],CC
25,[[2]],[[26]],[[6]],['low holistic'],['right'],['inverted'],[],[],[[4]],CC
26,[[2]],[[27]],[[14]],['high holistic'],['left'],['upright'],[],[],[[10]],CC
27,[[2]],[[28]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[2]],CC
28,[[2]],[[29]],[[3]],['high holistic'],['right'],['upright'],[],[],[[2]],CC
29,[[2]],[[30]],[[9]],['low holistic'],['left'],['inverted'],[],[],[[4]],CC
30,[[2]],[[31]],[[6]],['low holistic'],['left'],['upright'],[],[],[[12]],CC
31,[[2]],[[32]],[[15]],['low holistic'],['right'],['upright'],[],[],[[2]],CC
32,[[2]],[[33]],[[6]],['low holistic'],['right'],['upright'],[],[],[[6]],CC
33,[[2]],[[34]],[[18]],['high holistic'],['right'],['upright'],[],[],[[2]],CC
34,[[2]],[[35]],[[17]],['high holistic'],['fovea'],['upright'],[],[],[[0]],CC
35,[[2]],[[36]],[[8]],['low holistic'],['right'],['upright'],[],[],[[10]],CC
36,[[2]],[[37]],[[10]],['high holistic'],['left'],['inverted'],[],[],[[12]],CC
