,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[7]],[[1]],[[6]],['low holistic'],['right'],['upright'],[],[],[[2]],CP
1,[[7]],[[2]],[[2]],['high holistic'],['right'],['upright'],[],[],[[10]],CP
2,[[7]],[[3]],[[9]],['high holistic'],['left'],['inverted'],[],[],[[10]],CP
3,[[7]],[[4]],[[8]],['high holistic'],['right'],['upright'],[],[],[[8]],CP
4,[[7]],[[5]],[[18]],['low holistic'],['right'],['inverted'],[],[],[[12]],CP
5,[[7]],[[6]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[12]],CP
6,[[7]],[[7]],[[5]],['high holistic'],['right'],['upright'],[],[],[[6]],CP
7,[[7]],[[8]],[[4]],['high holistic'],['left'],['upright'],[],[],[[2]],CP
8,[[7]],[[9]],[[12]],['high holistic'],['left'],['inverted'],[],[],[[8]],CP
9,[[7]],[[10]],[[13]],['low holistic'],['left'],['upright'],[],[],[[12]],CP
10,[[7]],[[11]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[6]],CP
11,[[7]],[[12]],[[16]],['high holistic'],['right'],['upright'],[],[],[[4]],CP
12,[[7]],[[13]],[[9]],['high holistic'],['left'],['upright'],[],[],[[4]],CP
13,[[7]],[[14]],[[16]],['high holistic'],['left'],['upright'],[],[],[[6]],CP
14,[[7]],[[15]],[[3]],['low holistic'],['left'],['inverted'],[],[],[[10]],CP
15,[[7]],[[16]],[[17]],['low holistic'],['left'],['upright'],[],[],[[8]],CP
16,[[7]],[[17]],[[7]],['low holistic'],['left'],['upright'],[],[],[[4]],CP
17,[[7]],[[18]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[4]],CP
18,[[7]],[[19]],[[19]],['high holistic'],['right'],['inverted'],[],[],[[10]],CP
19,[[7]],[[20]],[[16]],['high holistic'],['left'],['inverted'],[],[],[[10]],CP
20,[[7]],[[21]],[[12]],['low holistic'],['fovea'],['upright'],[],[],[[0]],CP
21,[[7]],[[22]],[[1]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],CP
22,[[7]],[[23]],[[18]],['high holistic'],['right'],['upright'],[],[],[[8]],CP
23,[[7]],[[24]],[[17]],['low holistic'],['right'],['upright'],[],[],[[6]],CP
24,[[7]],[[25]],[[11]],['low holistic'],['right'],['inverted'],[],[],[[12]],CP
25,[[7]],[[26]],[[14]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],CP
26,[[7]],[[27]],[[15]],['low holistic'],['fovea'],['upright'],[],[],[[0]],CP
27,[[7]],[[28]],[[16]],['high holistic'],['left'],['upright'],[],[],[[12]],CP
28,[[7]],[[29]],[[12]],['high holistic'],['left'],['inverted'],[],[],[[6]],CP
29,[[7]],[[30]],[[1]],['high holistic'],['fovea'],['upright'],[],[],[[0]],CP
30,[[7]],[[31]],[[15]],['low holistic'],['left'],['inverted'],[],[],[[2]],CP
31,[[7]],[[32]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[6]],CP
32,[[7]],[[33]],[[2]],['high holistic'],['left'],['upright'],[],[],[[10]],CP
33,[[7]],[[34]],[[11]],['high holistic'],['right'],['inverted'],[],[],[[2]],CP
34,[[7]],[[35]],[[16]],['high holistic'],['fovea'],['upright'],[],[],[[0]],CP
35,[[7]],[[36]],[[8]],['low holistic'],['left'],['upright'],[],[],[[10]],CP
36,[[7]],[[37]],[[14]],['low holistic'],['left'],['upright'],[],[],[[10]],CP
37,[[7]],[[38]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[6]],CP
38,[[7]],[[39]],[[3]],['high holistic'],['right'],['inverted'],[],[],[[6]],CP
39,[[7]],[[40]],[[4]],['high holistic'],['left'],['upright'],[],[],[[10]],CP
40,[[7]],[[41]],[[11]],['high holistic'],['right'],['upright'],[],[],[[10]],CP
41,[[7]],[[42]],[[10]],['low holistic'],['left'],['upright'],[],[],[[2]],CP
42,[[7]],[[43]],[[6]],['high holistic'],['fovea'],['upright'],[],[],[[0]],CP
43,[[7]],[[44]],[[8]],['high holistic'],['left'],['upright'],[],[],[[4]],CP
44,[[7]],[[45]],[[4]],['low holistic'],['right'],['inverted'],[],[],[[12]],CP
45,[[7]],[[46]],[[8]],['high holistic'],['left'],['upright'],[],[],[[6]],CP
46,[[7]],[[47]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[10]],CP
47,[[7]],[[48]],[[15]],['low holistic'],['right'],['upright'],[],[],[[6]],CP
48,[[7]],[[49]],[[14]],['low holistic'],['right'],['upright'],[],[],[[12]],CP
49,[[7]],[[50]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[12]],CP
50,[[7]],[[51]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[8]],CP
51,[[7]],[[52]],[[20]],['low holistic'],['right'],['upright'],[],[],[[8]],CP
52,[[7]],[[53]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[10]],CP
53,[[7]],[[54]],[[19]],['high holistic'],['right'],['inverted'],[],[],[[6]],CP
54,[[7]],[[55]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[6]],CP
55,[[7]],[[56]],[[6]],['low holistic'],['left'],['inverted'],[],[],[[6]],CP
56,[[7]],[[57]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[8]],CP
57,[[7]],[[58]],[[17]],['high holistic'],['left'],['upright'],[],[],[[8]],CP
