,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[3]],[[1]],[[9]],['low holistic'],['right'],['upright'],[],[],[[4]],CR
1,[[3]],[[2]],[[15]],['high holistic'],['left'],['upright'],[],[],[[12]],CR
2,[[3]],[[3]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[2]],CR
3,[[3]],[[4]],[[13]],['high holistic'],['right'],['upright'],[],[],[[12]],CR
4,[[3]],[[5]],[[3]],['high holistic'],['left'],['inverted'],[],[],[[4]],CR
5,[[3]],[[6]],[[8]],['high holistic'],['right'],['inverted'],[],[],[[10]],CR
6,[[3]],[[7]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[2]],CR
7,[[3]],[[8]],[[2]],['low holistic'],['right'],['upright'],[],[],[[4]],CR
8,[[3]],[[9]],[[6]],['low holistic'],['right'],['upright'],[],[],[[12]],CR
9,[[3]],[[10]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[4]],CR
10,[[3]],[[11]],[[11]],['high holistic'],['right'],['inverted'],[],[],[[12]],CR
11,[[3]],[[12]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[2]],CR
12,[[3]],[[13]],[[8]],['low holistic'],['left'],['inverted'],[],[],[[10]],CR
13,[[3]],[[14]],[[3]],['high holistic'],['right'],['upright'],[],[],[[4]],CR
14,[[3]],[[15]],[[13]],['high holistic'],['left'],['upright'],[],[],[[4]],CR
15,[[3]],[[16]],[[9]],['low holistic'],['left'],['upright'],[],[],[[8]],CR
16,[[3]],[[17]],[[16]],['low holistic'],['right'],['inverted'],[],[],[[12]],CR
17,[[3]],[[18]],[[1]],['high holistic'],['right'],['upright'],[],[],[[6]],CR
18,[[3]],[[19]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[2]],CR
19,[[3]],[[20]],[[6]],['high holistic'],['fovea'],['upright'],[],[],[[0]],CR
20,[[3]],[[21]],[[3]],['low holistic'],['left'],['upright'],[],[],[[12]],CR
21,[[3]],[[22]],[[20]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],CR
22,[[3]],[[23]],[[11]],['high holistic'],['right'],['upright'],[],[],[[8]],CR
23,[[3]],[[24]],[[20]],['low holistic'],['left'],['upright'],[],[],[[2]],CR
24,[[3]],[[25]],[[17]],['high holistic'],['right'],['inverted'],[],[],[[6]],CR
25,[[3]],[[26]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[8]],CR
26,[[3]],[[27]],[[14]],['high holistic'],['right'],['upright'],[],[],[[2]],CR
27,[[3]],[[28]],[[10]],['low holistic'],['left'],['inverted'],[],[],[[6]],CR
28,[[3]],[[29]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[12]],CR
29,[[3]],[[30]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[4]],CR
30,[[3]],[[31]],[[19]],['low holistic'],['fovea'],['upright'],[],[],[[0]],CR
31,[[3]],[[32]],[[12]],['high holistic'],['left'],['upright'],[],[],[[10]],CR
32,[[3]],[[33]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[8]],CR
33,[[3]],[[34]],[[15]],['low holistic'],['right'],['inverted'],[],[],[[2]],CR
34,[[3]],[[35]],[[14]],['high holistic'],['left'],['upright'],[],[],[[8]],CR
35,[[3]],[[36]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[8]],CR
36,[[3]],[[37]],[[6]],['low holistic'],['left'],['inverted'],[],[],[[10]],CR
37,[[3]],[[38]],[[2]],['high holistic'],['right'],['upright'],[],[],[[12]],CR
38,[[3]],[[39]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[6]],CR
39,[[3]],[[40]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[6]],CR
40,[[3]],[[41]],[[18]],['high holistic'],['right'],['upright'],[],[],[[4]],CR
41,[[3]],[[42]],[[3]],['high holistic'],['left'],['upright'],[],[],[[10]],CR
42,[[3]],[[43]],[[19]],['low holistic'],['right'],['upright'],[],[],[[12]],CR
43,[[3]],[[44]],[[1]],['high holistic'],['left'],['upright'],[],[],[[6]],CR
44,[[3]],[[45]],[[11]],['low holistic'],['left'],['inverted'],[],[],[[12]],CR
45,[[3]],[[46]],[[10]],['high holistic'],['right'],['inverted'],[],[],[[8]],CR
46,[[3]],[[47]],[[18]],['high holistic'],['right'],['upright'],[],[],[[4]],CR
47,[[3]],[[48]],[[7]],['high holistic'],['right'],['inverted'],[],[],[[4]],CR
48,[[3]],[[49]],[[18]],['low holistic'],['left'],['upright'],[],[],[[10]],CR
49,[[3]],[[50]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[8]],CR
50,[[3]],[[51]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[10]],CR
51,[[3]],[[52]],[[3]],['low holistic'],['left'],['upright'],[],[],[[10]],CR
52,[[3]],[[53]],[[10]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],CR
53,[[3]],[[54]],[[18]],['high holistic'],['right'],['upright'],[],[],[[6]],CR
54,[[3]],[[55]],[[3]],['low holistic'],['right'],['upright'],[],[],[[12]],CR
55,[[3]],[[56]],[[20]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],CR
56,[[3]],[[57]],[[16]],['high holistic'],['right'],['upright'],[],[],[[8]],CR
57,[[3]],[[58]],[[20]],['high holistic'],['left'],['upright'],[],[],[[4]],CR
58,[[3]],[[59]],[[1]],['low holistic'],['left'],['upright'],[],[],[[8]],CR
59,[[3]],[[60]],[[10]],['low holistic'],['right'],['inverted'],[],[],[[6]],CR
60,[[3]],[[61]],[[5]],['high holistic'],['left'],['upright'],[],[],[[6]],CR
61,[[3]],[[62]],[[6]],['high holistic'],['right'],['inverted'],[],[],[[10]],CR
62,[[3]],[[63]],[[17]],['high holistic'],['right'],['upright'],[],[],[[8]],CR
63,[[3]],[[64]],[[2]],['high holistic'],['right'],['inverted'],[],[],[[2]],CR
64,[[3]],[[65]],[[1]],['low holistic'],['left'],['upright'],[],[],[[8]],CR
65,[[3]],[[66]],[[4]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],CR
66,[[3]],[[67]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[12]],CR
67,[[3]],[[68]],[[13]],['low holistic'],['right'],['upright'],[],[],[[12]],CR
68,[[3]],[[69]],[[11]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],CR
