,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[11]],[[1]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[4]],CW
1,[[11]],[[2]],[[14]],['low holistic'],['right'],['upright'],[],[],[[4]],CW
2,[[11]],[[3]],[[5]],['low holistic'],['left'],['upright'],[],[],[[6]],CW
3,[[11]],[[4]],[[8]],['high holistic'],['left'],['inverted'],[],[],[[12]],CW
4,[[11]],[[5]],[[19]],['high holistic'],['right'],['upright'],[],[],[[12]],CW
5,[[11]],[[6]],[[17]],['high holistic'],['right'],['upright'],[],[],[[4]],CW
6,[[11]],[[7]],[[9]],['high holistic'],['right'],['upright'],[],[],[[8]],CW
7,[[11]],[[8]],[[12]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],CW
8,[[11]],[[9]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[10]],CW
9,[[11]],[[10]],[[4]],['high holistic'],['left'],['upright'],[],[],[[2]],CW
10,[[11]],[[11]],[[6]],['low holistic'],['left'],['inverted'],[],[],[[10]],CW
11,[[11]],[[12]],[[10]],['high holistic'],['left'],['upright'],[],[],[[10]],CW
12,[[11]],[[13]],[[3]],['high holistic'],['right'],['inverted'],[],[],[[10]],CW
13,[[11]],[[14]],[[8]],['high holistic'],['right'],['upright'],[],[],[[8]],CW
14,[[11]],[[15]],[[2]],['low holistic'],['right'],['inverted'],[],[],[[10]],CW
15,[[11]],[[16]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[12]],CW
16,[[11]],[[17]],[[10]],['low holistic'],['left'],['upright'],[],[],[[8]],CW
17,[[11]],[[18]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[10]],CW
18,[[11]],[[19]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[2]],CW
19,[[11]],[[20]],[[1]],['high holistic'],['right'],['upright'],[],[],[[8]],CW
20,[[11]],[[21]],[[19]],['high holistic'],['right'],['upright'],[],[],[[6]],CW
21,[[11]],[[22]],[[9]],['low holistic'],['right'],['upright'],[],[],[[10]],CW
22,[[11]],[[23]],[[9]],['low holistic'],['right'],['inverted'],[],[],[[12]],CW
23,[[11]],[[24]],[[1]],['low holistic'],['left'],['upright'],[],[],[[10]],CW
24,[[11]],[[25]],[[2]],['low holistic'],['left'],['inverted'],[],[],[[12]],CW
25,[[11]],[[26]],[[4]],['low holistic'],['right'],['upright'],[],[],[[10]],CW
26,[[11]],[[27]],[[15]],['low holistic'],['right'],['upright'],[],[],[[4]],CW
27,[[11]],[[28]],[[15]],['low holistic'],['left'],['upright'],[],[],[[2]],CW
28,[[11]],[[29]],[[4]],['high holistic'],['right'],['upright'],[],[],[[10]],CW
29,[[11]],[[30]],[[12]],['low holistic'],['left'],['upright'],[],[],[[12]],CW
30,[[11]],[[31]],[[7]],['low holistic'],['left'],['inverted'],[],[],[[2]],CW
31,[[11]],[[32]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[10]],CW
32,[[11]],[[33]],[[17]],['high holistic'],['right'],['upright'],[],[],[[4]],CW
33,[[11]],[[34]],[[20]],['low holistic'],['left'],['upright'],[],[],[[10]],CW
34,[[11]],[[35]],[[10]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],CW
35,[[11]],[[36]],[[10]],['low holistic'],['right'],['upright'],[],[],[[4]],CW
36,[[11]],[[37]],[[15]],['high holistic'],['left'],['upright'],[],[],[[6]],CW
37,[[11]],[[38]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[4]],CW
38,[[11]],[[39]],[[18]],['high holistic'],['right'],['inverted'],[],[],[[6]],CW
39,[[11]],[[40]],[[19]],['low holistic'],['right'],['inverted'],[],[],[[8]],CW
40,[[11]],[[41]],[[7]],['low holistic'],['right'],['inverted'],[],[],[[2]],CW
41,[[11]],[[42]],[[15]],['high holistic'],['left'],['inverted'],[],[],[[8]],CW
42,[[11]],[[43]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[4]],CW
43,[[11]],[[44]],[[16]],['low holistic'],['right'],['inverted'],[],[],[[4]],CW
44,[[11]],[[45]],[[20]],['low holistic'],['right'],['upright'],[],[],[[8]],CW
45,[[11]],[[46]],[[8]],['high holistic'],['fovea'],['upright'],[],[],[[0]],CW
46,[[11]],[[47]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[8]],CW
47,[[11]],[[48]],[[3]],['low holistic'],['right'],['upright'],[],[],[[8]],CW
48,[[11]],[[49]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[8]],CW
49,[[11]],[[50]],[[15]],['low holistic'],['left'],['inverted'],[],[],[[4]],CW
50,[[11]],[[51]],[[11]],['high holistic'],['right'],['upright'],[],[],[[12]],CW
51,[[11]],[[52]],[[2]],['high holistic'],['fovea'],['upright'],[],[],[[0]],CW
52,[[11]],[[53]],[[3]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],CW
53,[[11]],[[54]],[[10]],['high holistic'],['right'],['inverted'],[],[],[[8]],CW
54,[[11]],[[55]],[[7]],['high holistic'],['left'],['upright'],[],[],[[2]],CW
55,[[11]],[[56]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[12]],CW
56,[[11]],[[57]],[[12]],['high holistic'],['left'],['inverted'],[],[],[[8]],CW
57,[[11]],[[58]],[[17]],['high holistic'],['left'],['upright'],[],[],[[12]],CW
58,[[11]],[[59]],[[17]],['low holistic'],['right'],['upright'],[],[],[[4]],CW
59,[[11]],[[60]],[[3]],['low holistic'],['right'],['upright'],[],[],[[10]],CW
60,[[11]],[[61]],[[20]],['low holistic'],['left'],['upright'],[],[],[[4]],CW
61,[[11]],[[62]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[4]],CW
62,[[11]],[[63]],[[13]],['high holistic'],['right'],['inverted'],[],[],[[2]],CW
63,[[11]],[[64]],[[2]],['low holistic'],['left'],['inverted'],[],[],[[2]],CW
64,[[11]],[[65]],[[9]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],CW
65,[[11]],[[66]],[[2]],['low holistic'],['right'],['upright'],[],[],[[6]],CW
66,[[11]],[[67]],[[14]],['low holistic'],['right'],['upright'],[],[],[[12]],CW
67,[[11]],[[68]],[[6]],['high holistic'],['left'],['inverted'],[],[],[[6]],CW
68,[[11]],[[69]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[10]],CW
69,[[11]],[[70]],[[1]],['low holistic'],['left'],['inverted'],[],[],[[10]],CW
70,[[11]],[[71]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[2]],CW
71,[[11]],[[72]],[[17]],['low holistic'],['right'],['upright'],[],[],[[10]],CW
72,[[11]],[[73]],[[20]],['low holistic'],['left'],['inverted'],[],[],[[4]],CW
73,[[11]],[[74]],[[4]],['high holistic'],['left'],['upright'],[],[],[[6]],CW
74,[[11]],[[75]],[[17]],['high holistic'],['right'],['inverted'],[],[],[[2]],CW
75,[[11]],[[76]],[[14]],['high holistic'],['left'],['upright'],[],[],[[2]],CW
76,[[11]],[[77]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[12]],CW
77,[[11]],[[78]],[[19]],['low holistic'],['left'],['upright'],[],[],[[4]],CW
78,[[11]],[[79]],[[11]],['high holistic'],['left'],['upright'],[],[],[[12]],CW
79,[[11]],[[80]],[[8]],['high holistic'],['right'],['inverted'],[],[],[[2]],CW
80,[[11]],[[81]],[[14]],['low holistic'],['left'],['upright'],[],[],[[8]],CW
81,[[11]],[[82]],[[17]],['low holistic'],['right'],['upright'],[],[],[[8]],CW
82,[[11]],[[83]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[4]],CW
83,[[11]],[[84]],[[16]],['high holistic'],['left'],['upright'],[],[],[[12]],CW
84,[[11]],[[85]],[[3]],['high holistic'],['left'],['inverted'],[],[],[[4]],CW
85,[[11]],[[86]],[[9]],['high holistic'],['fovea'],['upright'],[],[],[[0]],CW
86,[[11]],[[87]],[[9]],['low holistic'],['left'],['upright'],[],[],[[4]],CW
87,[[11]],[[88]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[6]],CW
88,[[11]],[[89]],[[3]],['low holistic'],['left'],['inverted'],[],[],[[8]],CW
89,[[11]],[[90]],[[5]],['low holistic'],['right'],['upright'],[],[],[[2]],CW
90,[[11]],[[91]],[[17]],['low holistic'],['left'],['upright'],[],[],[[8]],CW
91,[[11]],[[92]],[[4]],['high holistic'],['right'],['upright'],[],[],[[6]],CW
92,[[11]],[[93]],[[1]],['high holistic'],['right'],['inverted'],[],[],[[10]],CW
93,[[11]],[[94]],[[10]],['high holistic'],['left'],['inverted'],[],[],[[2]],CW
94,[[11]],[[95]],[[2]],['low holistic'],['left'],['upright'],[],[],[[6]],CW
95,[[11]],[[96]],[[13]],['high holistic'],['right'],['inverted'],[],[],[[8]],CW
96,[[11]],[[97]],[[11]],['low holistic'],['right'],['inverted'],[],[],[[12]],CW
97,[[11]],[[98]],[[1]],['high holistic'],['right'],['inverted'],[],[],[[12]],CW
98,[[11]],[[99]],[[15]],['low holistic'],['right'],['upright'],[],[],[[6]],CW
99,[[11]],[[100]],[[5]],['low holistic'],['left'],['upright'],[],[],[[4]],CW
100,[[11]],[[101]],[[6]],['high holistic'],['right'],['upright'],[],[],[[8]],CW
101,[[11]],[[102]],[[9]],['high holistic'],['left'],['upright'],[],[],[[8]],CW
102,[[11]],[[103]],[[7]],['low holistic'],['right'],['upright'],[],[],[[4]],CW
103,[[11]],[[104]],[[7]],['low holistic'],['right'],['inverted'],[],[],[[6]],CW
104,[[11]],[[105]],[[19]],['high holistic'],['right'],['inverted'],[],[],[[6]],CW
105,[[11]],[[106]],[[3]],['low holistic'],['right'],['upright'],[],[],[[4]],CW
106,[[11]],[[107]],[[11]],['low holistic'],['left'],['inverted'],[],[],[[12]],CW
107,[[11]],[[108]],[[5]],['low holistic'],['right'],['upright'],[],[],[[8]],CW
108,[[11]],[[109]],[[18]],['high holistic'],['right'],['upright'],[],[],[[12]],CW
109,[[11]],[[110]],[[3]],['high holistic'],['right'],['inverted'],[],[],[[4]],CW
110,[[11]],[[111]],[[5]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],CW
111,[[11]],[[112]],[[8]],['low holistic'],['left'],['inverted'],[],[],[[6]],CW
112,[[11]],[[113]],[[4]],['low holistic'],['right'],['upright'],[],[],[[10]],CW
113,[[11]],[[114]],[[15]],['high holistic'],['left'],['inverted'],[],[],[[4]],CW
114,[[11]],[[115]],[[13]],['high holistic'],['right'],['upright'],[],[],[[12]],CW
115,[[11]],[[116]],[[7]],['low holistic'],['right'],['upright'],[],[],[[12]],CW
116,[[11]],[[117]],[[20]],['low holistic'],['right'],['inverted'],[],[],[[12]],CW
117,[[11]],[[118]],[[7]],['high holistic'],['right'],['upright'],[],[],[[12]],CW
118,[[11]],[[119]],[[7]],['low holistic'],['left'],['inverted'],[],[],[[12]],CW
119,[[11]],[[120]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[2]],CW
120,[[11]],[[121]],[[14]],['high holistic'],['right'],['upright'],[],[],[[8]],CW
121,[[11]],[[122]],[[13]],['low holistic'],['right'],['upright'],[],[],[[10]],CW
122,[[11]],[[123]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[2]],CW
123,[[11]],[[124]],[[12]],['low holistic'],['right'],['inverted'],[],[],[[4]],CW
124,[[11]],[[125]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[12]],CW
125,[[11]],[[126]],[[12]],['low holistic'],['right'],['inverted'],[],[],[[2]],CW
126,[[11]],[[127]],[[11]],['high holistic'],['left'],['upright'],[],[],[[12]],CW
127,[[11]],[[128]],[[16]],['high holistic'],['left'],['upright'],[],[],[[2]],CW
128,[[11]],[[129]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[6]],CW
129,[[11]],[[130]],[[7]],['low holistic'],['fovea'],['upright'],[],[],[[0]],CW
130,[[11]],[[131]],[[19]],['high holistic'],['right'],['inverted'],[],[],[[12]],CW
131,[[11]],[[132]],[[1]],['low holistic'],['left'],['upright'],[],[],[[2]],CW
132,[[11]],[[133]],[[12]],['low holistic'],['left'],['inverted'],[],[],[[6]],CW
133,[[11]],[[134]],[[19]],['low holistic'],['right'],['inverted'],[],[],[[10]],CW
134,[[11]],[[135]],[[17]],['high holistic'],['right'],['inverted'],[],[],[[6]],CW
135,[[11]],[[136]],[[1]],['low holistic'],['left'],['inverted'],[],[],[[12]],CW
136,[[11]],[[137]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[8]],CW
137,[[11]],[[138]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[6]],CW
138,[[11]],[[139]],[[1]],['low holistic'],['right'],['inverted'],[],[],[[6]],CW
139,[[11]],[[140]],[[12]],['low holistic'],['right'],['upright'],[],[],[[10]],CW
140,[[11]],[[141]],[[20]],['low holistic'],['left'],['upright'],[],[],[[10]],CW
141,[[11]],[[142]],[[5]],['low holistic'],['left'],['upright'],[],[],[[2]],CW
142,[[11]],[[143]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[10]],CW
143,[[11]],[[144]],[[19]],['low holistic'],['right'],['inverted'],[],[],[[8]],CW
144,[[11]],[[145]],[[12]],['high holistic'],['left'],['upright'],[],[],[[6]],CW
145,[[11]],[[146]],[[7]],['low holistic'],['right'],['upright'],[],[],[[12]],CW
146,[[11]],[[147]],[[10]],['high holistic'],['right'],['upright'],[],[],[[8]],CW
147,[[11]],[[148]],[[11]],['high holistic'],['left'],['upright'],[],[],[[12]],CW
148,[[11]],[[149]],[[7]],['low holistic'],['left'],['inverted'],[],[],[[10]],CW
149,[[11]],[[150]],[[1]],['low holistic'],['right'],['inverted'],[],[],[[8]],CW
150,[[11]],[[151]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[6]],CW
151,[[11]],[[152]],[[14]],['low holistic'],['right'],['upright'],[],[],[[2]],CW
152,[[11]],[[153]],[[19]],['high holistic'],['left'],['upright'],[],[],[[2]],CW
153,[[11]],[[154]],[[7]],['high holistic'],['left'],['upright'],[],[],[[4]],CW
154,[[11]],[[155]],[[16]],['low holistic'],['fovea'],['upright'],[],[],[[0]],CW
155,[[11]],[[156]],[[17]],['high holistic'],['right'],['upright'],[],[],[[10]],CW
156,[[11]],[[157]],[[12]],['low holistic'],['right'],['inverted'],[],[],[[12]],CW
157,[[11]],[[158]],[[16]],['high holistic'],['left'],['upright'],[],[],[[10]],CW
158,[[11]],[[159]],[[17]],['low holistic'],['left'],['upright'],[],[],[[12]],CW
159,[[11]],[[160]],[[4]],['low holistic'],['right'],['upright'],[],[],[[10]],CW
160,[[11]],[[161]],[[5]],['low holistic'],['left'],['upright'],[],[],[[12]],CW
161,[[11]],[[162]],[[9]],['high holistic'],['right'],['upright'],[],[],[[6]],CW
162,[[11]],[[163]],[[20]],['low holistic'],['left'],['upright'],[],[],[[12]],CW
163,[[11]],[[164]],[[18]],['high holistic'],['right'],['upright'],[],[],[[12]],CW
164,[[11]],[[165]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[10]],CW
165,[[11]],[[166]],[[10]],['low holistic'],['fovea'],['upright'],[],[],[[0]],CW
166,[[11]],[[167]],[[20]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],CW
167,[[11]],[[168]],[[17]],['low holistic'],['fovea'],['upright'],[],[],[[0]],CW
168,[[11]],[[169]],[[15]],['low holistic'],['left'],['inverted'],[],[],[[2]],CW
169,[[11]],[[170]],[[16]],['high holistic'],['right'],['upright'],[],[],[[12]],CW
170,[[11]],[[171]],[[6]],['low holistic'],['right'],['inverted'],[],[],[[10]],CW
171,[[11]],[[172]],[[12]],['high holistic'],['left'],['upright'],[],[],[[10]],CW
172,[[11]],[[173]],[[8]],['high holistic'],['right'],['inverted'],[],[],[[2]],CW
173,[[11]],[[174]],[[2]],['low holistic'],['right'],['inverted'],[],[],[[10]],CW
174,[[11]],[[175]],[[7]],['low holistic'],['right'],['inverted'],[],[],[[6]],CW
175,[[11]],[[176]],[[1]],['low holistic'],['left'],['upright'],[],[],[[8]],CW
176,[[11]],[[177]],[[5]],['low holistic'],['left'],['upright'],[],[],[[8]],CW
177,[[11]],[[178]],[[7]],['low holistic'],['right'],['upright'],[],[],[[6]],CW
178,[[11]],[[179]],[[8]],['low holistic'],['right'],['upright'],[],[],[[4]],CW
179,[[11]],[[180]],[[1]],['high holistic'],['left'],['inverted'],[],[],[[12]],CW
180,[[11]],[[181]],[[10]],['low holistic'],['right'],['upright'],[],[],[[12]],CW
181,[[11]],[[182]],[[16]],['high holistic'],['right'],['upright'],[],[],[[10]],CW
182,[[11]],[[183]],[[8]],['high holistic'],['right'],['inverted'],[],[],[[6]],CW
183,[[11]],[[184]],[[13]],['low holistic'],['right'],['upright'],[],[],[[12]],CW
184,[[11]],[[185]],[[6]],['high holistic'],['fovea'],['upright'],[],[],[[0]],CW
185,[[11]],[[186]],[[8]],['high holistic'],['right'],['inverted'],[],[],[[10]],CW
186,[[11]],[[187]],[[19]],['high holistic'],['left'],['upright'],[],[],[[4]],CW
187,[[11]],[[188]],[[1]],['low holistic'],['left'],['upright'],[],[],[[6]],CW
188,[[11]],[[189]],[[9]],['low holistic'],['left'],['inverted'],[],[],[[8]],CW
189,[[11]],[[190]],[[17]],['low holistic'],['left'],['upright'],[],[],[[4]],CW
190,[[11]],[[191]],[[13]],['high holistic'],['right'],['upright'],[],[],[[6]],CW
