,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[1]],[[1]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[4]],EW
1,[[1]],[[2]],[[14]],['low holistic'],['right'],['upright'],[],[],[[4]],EW
2,[[1]],[[3]],[[5]],['low holistic'],['left'],['upright'],[],[],[[6]],EW
3,[[1]],[[4]],[[8]],['high holistic'],['left'],['inverted'],[],[],[[12]],EW
4,[[1]],[[5]],[[19]],['high holistic'],['right'],['upright'],[],[],[[12]],EW
5,[[1]],[[6]],[[17]],['high holistic'],['right'],['upright'],[],[],[[4]],EW
6,[[1]],[[7]],[[9]],['high holistic'],['right'],['upright'],[],[],[[8]],EW
7,[[1]],[[8]],[[12]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],EW
8,[[1]],[[9]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[10]],EW
9,[[1]],[[10]],[[4]],['high holistic'],['left'],['upright'],[],[],[[2]],EW
10,[[1]],[[11]],[[6]],['low holistic'],['left'],['inverted'],[],[],[[10]],EW
11,[[1]],[[12]],[[10]],['high holistic'],['left'],['upright'],[],[],[[10]],EW
12,[[1]],[[13]],[[3]],['high holistic'],['right'],['inverted'],[],[],[[10]],EW
13,[[1]],[[14]],[[8]],['high holistic'],['right'],['upright'],[],[],[[8]],EW
14,[[1]],[[15]],[[2]],['low holistic'],['right'],['inverted'],[],[],[[10]],EW
15,[[1]],[[16]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[12]],EW
16,[[1]],[[17]],[[10]],['low holistic'],['left'],['upright'],[],[],[[8]],EW
17,[[1]],[[18]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[10]],EW
18,[[1]],[[19]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[2]],EW
19,[[1]],[[20]],[[1]],['high holistic'],['right'],['upright'],[],[],[[8]],EW
20,[[1]],[[21]],[[19]],['high holistic'],['right'],['upright'],[],[],[[6]],EW
21,[[1]],[[22]],[[9]],['low holistic'],['right'],['upright'],[],[],[[10]],EW
22,[[1]],[[23]],[[9]],['low holistic'],['right'],['inverted'],[],[],[[12]],EW
23,[[1]],[[24]],[[1]],['low holistic'],['left'],['upright'],[],[],[[10]],EW
24,[[1]],[[25]],[[2]],['low holistic'],['left'],['inverted'],[],[],[[12]],EW
25,[[1]],[[26]],[[4]],['low holistic'],['right'],['upright'],[],[],[[10]],EW
26,[[1]],[[27]],[[15]],['low holistic'],['right'],['upright'],[],[],[[4]],EW
27,[[1]],[[28]],[[15]],['low holistic'],['left'],['upright'],[],[],[[2]],EW
28,[[1]],[[29]],[[4]],['high holistic'],['right'],['upright'],[],[],[[10]],EW
29,[[1]],[[30]],[[12]],['low holistic'],['left'],['upright'],[],[],[[12]],EW
30,[[1]],[[31]],[[7]],['low holistic'],['left'],['inverted'],[],[],[[2]],EW
31,[[1]],[[32]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[10]],EW
32,[[1]],[[33]],[[17]],['high holistic'],['right'],['upright'],[],[],[[4]],EW
33,[[1]],[[34]],[[20]],['low holistic'],['left'],['upright'],[],[],[[10]],EW
34,[[1]],[[35]],[[10]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],EW
35,[[1]],[[36]],[[10]],['low holistic'],['right'],['upright'],[],[],[[4]],EW
36,[[1]],[[37]],[[15]],['high holistic'],['left'],['upright'],[],[],[[6]],EW
37,[[1]],[[38]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[4]],EW
38,[[1]],[[39]],[[18]],['high holistic'],['right'],['inverted'],[],[],[[6]],EW
39,[[1]],[[40]],[[19]],['low holistic'],['right'],['inverted'],[],[],[[8]],EW
40,[[1]],[[41]],[[7]],['low holistic'],['right'],['inverted'],[],[],[[2]],EW
41,[[1]],[[42]],[[15]],['high holistic'],['left'],['inverted'],[],[],[[8]],EW
42,[[1]],[[43]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[4]],EW
43,[[1]],[[44]],[[16]],['low holistic'],['right'],['inverted'],[],[],[[4]],EW
44,[[1]],[[45]],[[20]],['low holistic'],['right'],['upright'],[],[],[[8]],EW
45,[[1]],[[46]],[[8]],['high holistic'],['fovea'],['upright'],[],[],[[0]],EW
46,[[1]],[[47]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[8]],EW
47,[[1]],[[48]],[[3]],['low holistic'],['right'],['upright'],[],[],[[8]],EW
48,[[1]],[[49]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[8]],EW
49,[[1]],[[50]],[[15]],['low holistic'],['left'],['inverted'],[],[],[[4]],EW
50,[[1]],[[51]],[[11]],['high holistic'],['right'],['upright'],[],[],[[12]],EW
51,[[1]],[[52]],[[2]],['high holistic'],['fovea'],['upright'],[],[],[[0]],EW
52,[[1]],[[53]],[[3]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],EW
53,[[1]],[[54]],[[10]],['high holistic'],['right'],['inverted'],[],[],[[8]],EW
54,[[1]],[[55]],[[7]],['high holistic'],['left'],['upright'],[],[],[[2]],EW
55,[[1]],[[56]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[12]],EW
56,[[1]],[[57]],[[12]],['high holistic'],['left'],['inverted'],[],[],[[8]],EW
57,[[1]],[[58]],[[17]],['high holistic'],['left'],['upright'],[],[],[[12]],EW
58,[[1]],[[59]],[[17]],['low holistic'],['right'],['upright'],[],[],[[4]],EW
59,[[1]],[[60]],[[3]],['low holistic'],['right'],['upright'],[],[],[[10]],EW
60,[[1]],[[61]],[[20]],['low holistic'],['left'],['upright'],[],[],[[4]],EW
61,[[1]],[[62]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[4]],EW
62,[[1]],[[63]],[[13]],['high holistic'],['right'],['inverted'],[],[],[[2]],EW
63,[[1]],[[64]],[[2]],['low holistic'],['left'],['inverted'],[],[],[[2]],EW
64,[[1]],[[65]],[[9]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],EW
65,[[1]],[[66]],[[2]],['low holistic'],['right'],['upright'],[],[],[[6]],EW
66,[[1]],[[67]],[[14]],['low holistic'],['right'],['upright'],[],[],[[12]],EW
67,[[1]],[[68]],[[6]],['high holistic'],['left'],['inverted'],[],[],[[6]],EW
68,[[1]],[[69]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[10]],EW
69,[[1]],[[70]],[[1]],['low holistic'],['left'],['inverted'],[],[],[[10]],EW
70,[[1]],[[71]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[2]],EW
71,[[1]],[[72]],[[17]],['low holistic'],['right'],['upright'],[],[],[[10]],EW
72,[[1]],[[73]],[[20]],['low holistic'],['left'],['inverted'],[],[],[[4]],EW
73,[[1]],[[74]],[[4]],['high holistic'],['left'],['upright'],[],[],[[6]],EW
74,[[1]],[[75]],[[17]],['high holistic'],['right'],['inverted'],[],[],[[2]],EW
75,[[1]],[[76]],[[14]],['high holistic'],['left'],['upright'],[],[],[[2]],EW
76,[[1]],[[77]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[12]],EW
77,[[1]],[[78]],[[19]],['low holistic'],['left'],['upright'],[],[],[[4]],EW
78,[[1]],[[79]],[[11]],['high holistic'],['left'],['upright'],[],[],[[12]],EW
79,[[1]],[[80]],[[8]],['high holistic'],['right'],['inverted'],[],[],[[2]],EW
80,[[1]],[[81]],[[14]],['low holistic'],['left'],['upright'],[],[],[[8]],EW
81,[[1]],[[82]],[[17]],['low holistic'],['right'],['upright'],[],[],[[8]],EW
82,[[1]],[[83]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[4]],EW
83,[[1]],[[84]],[[16]],['high holistic'],['left'],['upright'],[],[],[[12]],EW
84,[[1]],[[85]],[[3]],['high holistic'],['left'],['inverted'],[],[],[[4]],EW
85,[[1]],[[86]],[[9]],['high holistic'],['fovea'],['upright'],[],[],[[0]],EW
86,[[1]],[[87]],[[9]],['low holistic'],['left'],['upright'],[],[],[[4]],EW
87,[[1]],[[88]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[6]],EW
88,[[1]],[[89]],[[3]],['low holistic'],['left'],['inverted'],[],[],[[8]],EW
89,[[1]],[[90]],[[5]],['low holistic'],['right'],['upright'],[],[],[[2]],EW
90,[[1]],[[91]],[[17]],['low holistic'],['left'],['upright'],[],[],[[8]],EW
91,[[1]],[[92]],[[4]],['high holistic'],['right'],['upright'],[],[],[[6]],EW
92,[[1]],[[93]],[[1]],['high holistic'],['right'],['inverted'],[],[],[[10]],EW
93,[[1]],[[94]],[[10]],['high holistic'],['left'],['inverted'],[],[],[[2]],EW
94,[[1]],[[95]],[[2]],['low holistic'],['left'],['upright'],[],[],[[6]],EW
95,[[1]],[[96]],[[13]],['high holistic'],['right'],['inverted'],[],[],[[8]],EW
96,[[1]],[[97]],[[11]],['low holistic'],['right'],['inverted'],[],[],[[12]],EW
97,[[1]],[[98]],[[1]],['high holistic'],['right'],['inverted'],[],[],[[12]],EW
98,[[1]],[[99]],[[15]],['low holistic'],['right'],['upright'],[],[],[[6]],EW
99,[[1]],[[100]],[[5]],['low holistic'],['left'],['upright'],[],[],[[4]],EW
100,[[1]],[[101]],[[6]],['high holistic'],['right'],['upright'],[],[],[[8]],EW
101,[[1]],[[102]],[[9]],['high holistic'],['left'],['upright'],[],[],[[8]],EW
102,[[1]],[[103]],[[7]],['low holistic'],['right'],['upright'],[],[],[[4]],EW
