,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[20]],[[1]],[[9]],['low holistic'],['right'],['upright'],[],[],[[4]],GHA
1,[[20]],[[2]],[[15]],['high holistic'],['left'],['upright'],[],[],[[12]],GHA
2,[[20]],[[3]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[2]],GHA
3,[[20]],[[4]],[[13]],['high holistic'],['right'],['upright'],[],[],[[12]],GHA
4,[[20]],[[5]],[[3]],['high holistic'],['left'],['inverted'],[],[],[[4]],GHA
5,[[20]],[[6]],[[8]],['high holistic'],['right'],['inverted'],[],[],[[10]],GHA
6,[[20]],[[7]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[2]],GHA
7,[[20]],[[8]],[[2]],['low holistic'],['right'],['upright'],[],[],[[4]],GHA
8,[[20]],[[9]],[[6]],['low holistic'],['right'],['upright'],[],[],[[12]],GHA
9,[[20]],[[10]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[4]],GHA
10,[[20]],[[11]],[[11]],['high holistic'],['right'],['inverted'],[],[],[[12]],GHA
11,[[20]],[[12]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[2]],GHA
12,[[20]],[[13]],[[8]],['low holistic'],['left'],['inverted'],[],[],[[10]],GHA
13,[[20]],[[14]],[[3]],['high holistic'],['right'],['upright'],[],[],[[4]],GHA
14,[[20]],[[15]],[[13]],['high holistic'],['left'],['upright'],[],[],[[4]],GHA
15,[[20]],[[16]],[[9]],['low holistic'],['left'],['upright'],[],[],[[8]],GHA
16,[[20]],[[17]],[[16]],['low holistic'],['right'],['inverted'],[],[],[[12]],GHA
17,[[20]],[[18]],[[1]],['high holistic'],['right'],['upright'],[],[],[[6]],GHA
18,[[20]],[[19]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[2]],GHA
19,[[20]],[[20]],[[6]],['high holistic'],['fovea'],['upright'],[],[],[[0]],GHA
20,[[20]],[[21]],[[3]],['low holistic'],['left'],['upright'],[],[],[[12]],GHA
21,[[20]],[[22]],[[20]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],GHA
22,[[20]],[[23]],[[11]],['high holistic'],['right'],['upright'],[],[],[[8]],GHA
23,[[20]],[[24]],[[20]],['low holistic'],['left'],['upright'],[],[],[[2]],GHA
24,[[20]],[[25]],[[17]],['high holistic'],['right'],['inverted'],[],[],[[6]],GHA
25,[[20]],[[26]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[8]],GHA
26,[[20]],[[27]],[[14]],['high holistic'],['right'],['upright'],[],[],[[2]],GHA
27,[[20]],[[28]],[[10]],['low holistic'],['left'],['inverted'],[],[],[[6]],GHA
28,[[20]],[[29]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[12]],GHA
29,[[20]],[[30]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[4]],GHA
30,[[20]],[[31]],[[19]],['low holistic'],['fovea'],['upright'],[],[],[[0]],GHA
31,[[20]],[[32]],[[12]],['high holistic'],['left'],['upright'],[],[],[[10]],GHA
32,[[20]],[[33]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[8]],GHA
33,[[20]],[[34]],[[15]],['low holistic'],['right'],['inverted'],[],[],[[2]],GHA
34,[[20]],[[35]],[[14]],['high holistic'],['left'],['upright'],[],[],[[8]],GHA
35,[[20]],[[36]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[8]],GHA
36,[[20]],[[37]],[[6]],['low holistic'],['left'],['inverted'],[],[],[[10]],GHA
37,[[20]],[[38]],[[2]],['high holistic'],['right'],['upright'],[],[],[[12]],GHA
38,[[20]],[[39]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[6]],GHA
39,[[20]],[[40]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[6]],GHA
40,[[20]],[[41]],[[18]],['high holistic'],['right'],['upright'],[],[],[[4]],GHA
41,[[20]],[[42]],[[3]],['high holistic'],['left'],['upright'],[],[],[[10]],GHA
42,[[20]],[[43]],[[19]],['low holistic'],['right'],['upright'],[],[],[[12]],GHA
43,[[20]],[[44]],[[1]],['high holistic'],['left'],['upright'],[],[],[[6]],GHA
44,[[20]],[[45]],[[11]],['low holistic'],['left'],['inverted'],[],[],[[12]],GHA
45,[[20]],[[46]],[[10]],['high holistic'],['right'],['inverted'],[],[],[[8]],GHA
46,[[20]],[[47]],[[18]],['high holistic'],['right'],['upright'],[],[],[[4]],GHA
47,[[20]],[[48]],[[7]],['high holistic'],['right'],['inverted'],[],[],[[4]],GHA
48,[[20]],[[49]],[[18]],['low holistic'],['left'],['upright'],[],[],[[10]],GHA
49,[[20]],[[50]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[8]],GHA
50,[[20]],[[51]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[10]],GHA
51,[[20]],[[52]],[[3]],['low holistic'],['left'],['upright'],[],[],[[10]],GHA
52,[[20]],[[53]],[[10]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],GHA
53,[[20]],[[54]],[[18]],['high holistic'],['right'],['upright'],[],[],[[6]],GHA
54,[[20]],[[55]],[[3]],['low holistic'],['right'],['upright'],[],[],[[12]],GHA
55,[[20]],[[56]],[[20]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],GHA
56,[[20]],[[57]],[[16]],['high holistic'],['right'],['upright'],[],[],[[8]],GHA
57,[[20]],[[58]],[[20]],['high holistic'],['left'],['upright'],[],[],[[4]],GHA
58,[[20]],[[59]],[[1]],['low holistic'],['left'],['upright'],[],[],[[8]],GHA
59,[[20]],[[60]],[[10]],['low holistic'],['right'],['inverted'],[],[],[[6]],GHA
60,[[20]],[[61]],[[5]],['high holistic'],['left'],['upright'],[],[],[[6]],GHA
61,[[20]],[[62]],[[6]],['high holistic'],['right'],['inverted'],[],[],[[10]],GHA
62,[[20]],[[63]],[[17]],['high holistic'],['right'],['upright'],[],[],[[8]],GHA
63,[[20]],[[64]],[[2]],['high holistic'],['right'],['inverted'],[],[],[[2]],GHA
64,[[20]],[[65]],[[1]],['low holistic'],['left'],['upright'],[],[],[[8]],GHA
65,[[20]],[[66]],[[4]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],GHA
66,[[20]],[[67]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[12]],GHA
67,[[20]],[[68]],[[13]],['low holistic'],['right'],['upright'],[],[],[[12]],GHA
68,[[20]],[[69]],[[11]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],GHA
69,[[20]],[[70]],[[15]],['low holistic'],['left'],['inverted'],[],[],[[10]],GHA
70,[[20]],[[71]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[12]],GHA
71,[[20]],[[72]],[[16]],['low holistic'],['left'],['upright'],[],[],[[12]],GHA
72,[[20]],[[73]],[[15]],['high holistic'],['left'],['upright'],[],[],[[8]],GHA
