,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[12]],[[1]],[[3]],['high holistic'],['right'],['upright'],[],[],[[4]],JX
1,[[12]],[[2]],[[9]],['low holistic'],['left'],['inverted'],[],[],[[6]],JX
2,[[12]],[[3]],[[11]],['high holistic'],['left'],['upright'],[],[],[[12]],JX
3,[[12]],[[4]],[[6]],['low holistic'],['left'],['upright'],[],[],[[8]],JX
4,[[12]],[[5]],[[10]],['high holistic'],['left'],['inverted'],[],[],[[10]],JX
5,[[12]],[[6]],[[16]],['high holistic'],['right'],['upright'],[],[],[[4]],JX
6,[[12]],[[7]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[2]],JX
7,[[12]],[[8]],[[13]],['low holistic'],['left'],['upright'],[],[],[[4]],JX
8,[[12]],[[9]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[6]],JX
9,[[12]],[[10]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[4]],JX
10,[[12]],[[11]],[[16]],['low holistic'],['right'],['upright'],[],[],[[2]],JX
11,[[12]],[[12]],[[5]],['high holistic'],['left'],['upright'],[],[],[[6]],JX
12,[[12]],[[13]],[[1]],['high holistic'],['right'],['inverted'],[],[],[[10]],JX
13,[[12]],[[14]],[[5]],['high holistic'],['left'],['inverted'],[],[],[[8]],JX
14,[[12]],[[15]],[[15]],['low holistic'],['right'],['inverted'],[],[],[[2]],JX
15,[[12]],[[16]],[[10]],['high holistic'],['fovea'],['upright'],[],[],[[0]],JX
16,[[12]],[[17]],[[3]],['high holistic'],['left'],['upright'],[],[],[[10]],JX
17,[[12]],[[18]],[[16]],['low holistic'],['left'],['upright'],[],[],[[6]],JX
18,[[12]],[[19]],[[15]],['low holistic'],['right'],['upright'],[],[],[[10]],JX
19,[[12]],[[20]],[[16]],['low holistic'],['left'],['inverted'],[],[],[[4]],JX
20,[[12]],[[21]],[[11]],['high holistic'],['right'],['upright'],[],[],[[4]],JX
21,[[12]],[[22]],[[5]],['high holistic'],['left'],['upright'],[],[],[[4]],JX
22,[[12]],[[23]],[[4]],['high holistic'],['right'],['inverted'],[],[],[[2]],JX
23,[[12]],[[24]],[[10]],['low holistic'],['left'],['inverted'],[],[],[[10]],JX
24,[[12]],[[25]],[[9]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],JX
25,[[12]],[[26]],[[9]],['high holistic'],['right'],['upright'],[],[],[[6]],JX
26,[[12]],[[27]],[[19]],['low holistic'],['right'],['upright'],[],[],[[12]],JX
27,[[12]],[[28]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[4]],JX
28,[[12]],[[29]],[[3]],['high holistic'],['left'],['inverted'],[],[],[[6]],JX
29,[[12]],[[30]],[[14]],['low holistic'],['right'],['inverted'],[],[],[[12]],JX
30,[[12]],[[31]],[[16]],['high holistic'],['right'],['upright'],[],[],[[12]],JX
31,[[12]],[[32]],[[18]],['low holistic'],['right'],['upright'],[],[],[[8]],JX
32,[[12]],[[33]],[[14]],['low holistic'],['right'],['inverted'],[],[],[[6]],JX
33,[[12]],[[34]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[12]],JX
34,[[12]],[[35]],[[1]],['high holistic'],['left'],['upright'],[],[],[[2]],JX
35,[[12]],[[36]],[[4]],['high holistic'],['left'],['upright'],[],[],[[10]],JX
36,[[12]],[[37]],[[17]],['high holistic'],['right'],['upright'],[],[],[[12]],JX
37,[[12]],[[38]],[[1]],['low holistic'],['right'],['upright'],[],[],[[4]],JX
38,[[12]],[[39]],[[11]],['high holistic'],['left'],['upright'],[],[],[[2]],JX
39,[[12]],[[40]],[[18]],['low holistic'],['right'],['inverted'],[],[],[[2]],JX
40,[[12]],[[41]],[[9]],['low holistic'],['right'],['inverted'],[],[],[[8]],JX
41,[[12]],[[42]],[[1]],['high holistic'],['right'],['inverted'],[],[],[[8]],JX
42,[[12]],[[43]],[[15]],['high holistic'],['left'],['upright'],[],[],[[10]],JX
43,[[12]],[[44]],[[4]],['high holistic'],['left'],['upright'],[],[],[[6]],JX
44,[[12]],[[45]],[[16]],['high holistic'],['left'],['inverted'],[],[],[[2]],JX
45,[[12]],[[46]],[[10]],['low holistic'],['right'],['upright'],[],[],[[10]],JX
46,[[12]],[[47]],[[14]],['low holistic'],['right'],['upright'],[],[],[[8]],JX
47,[[12]],[[48]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[10]],JX
48,[[12]],[[49]],[[1]],['low holistic'],['right'],['inverted'],[],[],[[6]],JX
49,[[12]],[[50]],[[11]],['low holistic'],['right'],['upright'],[],[],[[10]],JX
50,[[12]],[[51]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[10]],JX
51,[[12]],[[52]],[[18]],['low holistic'],['left'],['inverted'],[],[],[[12]],JX
52,[[12]],[[53]],[[20]],['high holistic'],['right'],['upright'],[],[],[[6]],JX
53,[[12]],[[54]],[[3]],['low holistic'],['right'],['upright'],[],[],[[8]],JX
54,[[12]],[[55]],[[16]],['low holistic'],['right'],['upright'],[],[],[[8]],JX
55,[[12]],[[56]],[[8]],['low holistic'],['right'],['upright'],[],[],[[2]],JX
56,[[12]],[[57]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[8]],JX
57,[[12]],[[58]],[[5]],['high holistic'],['fovea'],['upright'],[],[],[[0]],JX
58,[[12]],[[59]],[[1]],['low holistic'],['right'],['upright'],[],[],[[10]],JX
59,[[12]],[[60]],[[2]],['high holistic'],['right'],['inverted'],[],[],[[2]],JX
60,[[12]],[[61]],[[17]],['high holistic'],['right'],['inverted'],[],[],[[6]],JX
61,[[12]],[[62]],[[15]],['low holistic'],['left'],['upright'],[],[],[[8]],JX
62,[[12]],[[63]],[[3]],['low holistic'],['left'],['inverted'],[],[],[[12]],JX
63,[[12]],[[64]],[[15]],['high holistic'],['right'],['upright'],[],[],[[8]],JX
64,[[12]],[[65]],[[14]],['high holistic'],['right'],['upright'],[],[],[[8]],JX
65,[[12]],[[66]],[[1]],['high holistic'],['right'],['inverted'],[],[],[[8]],JX
66,[[12]],[[67]],[[15]],['low holistic'],['left'],['upright'],[],[],[[6]],JX
67,[[12]],[[68]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[4]],JX
68,[[12]],[[69]],[[10]],['low holistic'],['left'],['upright'],[],[],[[4]],JX
69,[[12]],[[70]],[[1]],['low holistic'],['left'],['upright'],[],[],[[2]],JX
70,[[12]],[[71]],[[4]],['low holistic'],['left'],['inverted'],[],[],[[12]],JX
71,[[12]],[[72]],[[7]],['high holistic'],['left'],['inverted'],[],[],[[2]],JX
72,[[12]],[[73]],[[12]],['low holistic'],['right'],['upright'],[],[],[[10]],JX
73,[[12]],[[74]],[[8]],['high holistic'],['left'],['upright'],[],[],[[12]],JX
74,[[12]],[[75]],[[18]],['low holistic'],['left'],['upright'],[],[],[[12]],JX
75,[[12]],[[76]],[[4]],['high holistic'],['right'],['inverted'],[],[],[[8]],JX
76,[[12]],[[77]],[[12]],['low holistic'],['fovea'],['upright'],[],[],[[0]],JX
77,[[12]],[[78]],[[18]],['low holistic'],['right'],['inverted'],[],[],[[10]],JX
78,[[12]],[[79]],[[5]],['low holistic'],['left'],['upright'],[],[],[[8]],JX
79,[[12]],[[80]],[[17]],['low holistic'],['left'],['upright'],[],[],[[2]],JX
80,[[12]],[[81]],[[18]],['high holistic'],['left'],['upright'],[],[],[[6]],JX
81,[[12]],[[82]],[[17]],['low holistic'],['left'],['inverted'],[],[],[[6]],JX
82,[[12]],[[83]],[[19]],['high holistic'],['right'],['upright'],[],[],[[4]],JX
83,[[12]],[[84]],[[7]],['low holistic'],['right'],['upright'],[],[],[[6]],JX
84,[[12]],[[85]],[[11]],['low holistic'],['left'],['upright'],[],[],[[6]],JX
85,[[12]],[[86]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[10]],JX
86,[[12]],[[87]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[10]],JX
87,[[12]],[[88]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[6]],JX
88,[[12]],[[89]],[[3]],['high holistic'],['left'],['inverted'],[],[],[[8]],JX
89,[[12]],[[90]],[[1]],['low holistic'],['left'],['upright'],[],[],[[12]],JX
90,[[12]],[[91]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[8]],JX
91,[[12]],[[92]],[[17]],['high holistic'],['left'],['inverted'],[],[],[[2]],JX
92,[[12]],[[93]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[4]],JX
93,[[12]],[[94]],[[10]],['low holistic'],['right'],['inverted'],[],[],[[12]],JX
94,[[12]],[[95]],[[5]],['high holistic'],['right'],['upright'],[],[],[[4]],JX
95,[[12]],[[96]],[[7]],['high holistic'],['left'],['upright'],[],[],[[10]],JX
96,[[12]],[[97]],[[7]],['low holistic'],['left'],['inverted'],[],[],[[8]],JX
97,[[12]],[[98]],[[13]],['low holistic'],['left'],['upright'],[],[],[[6]],JX
98,[[12]],[[99]],[[15]],['high holistic'],['left'],['upright'],[],[],[[2]],JX
99,[[12]],[[100]],[[19]],['low holistic'],['right'],['upright'],[],[],[[10]],JX
100,[[12]],[[101]],[[16]],['high holistic'],['left'],['inverted'],[],[],[[2]],JX
101,[[12]],[[102]],[[9]],['low holistic'],['right'],['inverted'],[],[],[[12]],JX
102,[[12]],[[103]],[[4]],['high holistic'],['right'],['inverted'],[],[],[[6]],JX
103,[[12]],[[104]],[[8]],['high holistic'],['right'],['inverted'],[],[],[[10]],JX
104,[[12]],[[105]],[[2]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],JX
105,[[12]],[[106]],[[18]],['low holistic'],['right'],['upright'],[],[],[[6]],JX
106,[[12]],[[107]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[2]],JX
107,[[12]],[[108]],[[17]],['low holistic'],['left'],['inverted'],[],[],[[4]],JX
108,[[12]],[[109]],[[2]],['high holistic'],['right'],['upright'],[],[],[[10]],JX
109,[[12]],[[110]],[[12]],['low holistic'],['left'],['inverted'],[],[],[[8]],JX
110,[[12]],[[111]],[[8]],['low holistic'],['left'],['upright'],[],[],[[2]],JX
111,[[12]],[[112]],[[15]],['low holistic'],['left'],['inverted'],[],[],[[8]],JX
112,[[12]],[[113]],[[15]],['low holistic'],['left'],['upright'],[],[],[[10]],JX
113,[[12]],[[114]],[[13]],['high holistic'],['left'],['upright'],[],[],[[2]],JX
114,[[12]],[[115]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[6]],JX
115,[[12]],[[116]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[6]],JX
116,[[12]],[[117]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[6]],JX
117,[[12]],[[118]],[[16]],['low holistic'],['left'],['upright'],[],[],[[10]],JX
118,[[12]],[[119]],[[13]],['low holistic'],['left'],['upright'],[],[],[[12]],JX
119,[[12]],[[120]],[[2]],['low holistic'],['left'],['upright'],[],[],[[2]],JX
120,[[12]],[[121]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[6]],JX
121,[[12]],[[122]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[12]],JX
122,[[12]],[[123]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[10]],JX
123,[[12]],[[124]],[[5]],['high holistic'],['right'],['upright'],[],[],[[2]],JX
124,[[12]],[[125]],[[10]],['low holistic'],['left'],['inverted'],[],[],[[2]],JX
125,[[12]],[[126]],[[17]],['low holistic'],['right'],['upright'],[],[],[[12]],JX
126,[[12]],[[127]],[[10]],['low holistic'],['right'],['upright'],[],[],[[10]],JX
127,[[12]],[[128]],[[6]],['low holistic'],['left'],['inverted'],[],[],[[4]],JX
128,[[12]],[[129]],[[4]],['low holistic'],['left'],['upright'],[],[],[[10]],JX
129,[[12]],[[130]],[[10]],['high holistic'],['left'],['upright'],[],[],[[8]],JX
130,[[12]],[[131]],[[3]],['high holistic'],['left'],['upright'],[],[],[[4]],JX
131,[[12]],[[132]],[[18]],['high holistic'],['right'],['upright'],[],[],[[8]],JX
