,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[15]],[[1]],[[20]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],LM
1,[[15]],[[2]],[[2]],['high holistic'],['right'],['upright'],[],[],[[8]],LM
2,[[15]],[[3]],[[3]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],LM
3,[[15]],[[4]],[[3]],['high holistic'],['left'],['inverted'],[],[],[[8]],LM
4,[[15]],[[5]],[[11]],['low holistic'],['right'],['inverted'],[],[],[[2]],LM
5,[[15]],[[6]],[[11]],['high holistic'],['right'],['inverted'],[],[],[[2]],LM
6,[[15]],[[7]],[[18]],['high holistic'],['right'],['inverted'],[],[],[[6]],LM
7,[[15]],[[8]],[[17]],['low holistic'],['right'],['inverted'],[],[],[[6]],LM
8,[[15]],[[9]],[[16]],['low holistic'],['right'],['upright'],[],[],[[12]],LM
9,[[15]],[[10]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[8]],LM
10,[[15]],[[11]],[[2]],['high holistic'],['right'],['upright'],[],[],[[10]],LM
11,[[15]],[[12]],[[9]],['high holistic'],['right'],['upright'],[],[],[[8]],LM
12,[[15]],[[13]],[[9]],['high holistic'],['left'],['upright'],[],[],[[12]],LM
13,[[15]],[[14]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[12]],LM
14,[[15]],[[15]],[[16]],['high holistic'],['left'],['upright'],[],[],[[12]],LM
15,[[15]],[[16]],[[18]],['high holistic'],['right'],['inverted'],[],[],[[6]],LM
16,[[15]],[[17]],[[16]],['low holistic'],['left'],['upright'],[],[],[[4]],LM
17,[[15]],[[18]],[[4]],['high holistic'],['left'],['upright'],[],[],[[8]],LM
18,[[15]],[[19]],[[8]],['low holistic'],['left'],['upright'],[],[],[[10]],LM
19,[[15]],[[20]],[[12]],['high holistic'],['left'],['upright'],[],[],[[2]],LM
20,[[15]],[[21]],[[4]],['high holistic'],['right'],['inverted'],[],[],[[8]],LM
21,[[15]],[[22]],[[12]],['high holistic'],['right'],['inverted'],[],[],[[6]],LM
22,[[15]],[[23]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[2]],LM
23,[[15]],[[24]],[[10]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],LM
24,[[15]],[[25]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[4]],LM
25,[[15]],[[26]],[[17]],['low holistic'],['left'],['upright'],[],[],[[12]],LM
26,[[15]],[[27]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[6]],LM
27,[[15]],[[28]],[[18]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],LM
28,[[15]],[[29]],[[20]],['low holistic'],['left'],['upright'],[],[],[[8]],LM
29,[[15]],[[30]],[[13]],['high holistic'],['fovea'],['upright'],[],[],[[0]],LM
30,[[15]],[[31]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[6]],LM
31,[[15]],[[32]],[[20]],['low holistic'],['left'],['upright'],[],[],[[12]],LM
32,[[15]],[[33]],[[15]],['low holistic'],['right'],['inverted'],[],[],[[12]],LM
33,[[15]],[[34]],[[14]],['low holistic'],['left'],['upright'],[],[],[[4]],LM
34,[[15]],[[35]],[[17]],['high holistic'],['left'],['upright'],[],[],[[2]],LM
35,[[15]],[[36]],[[4]],['high holistic'],['right'],['upright'],[],[],[[2]],LM
36,[[15]],[[37]],[[16]],['high holistic'],['right'],['upright'],[],[],[[4]],LM
37,[[15]],[[38]],[[12]],['low holistic'],['left'],['upright'],[],[],[[4]],LM
38,[[15]],[[39]],[[7]],['high holistic'],['left'],['upright'],[],[],[[10]],LM
39,[[15]],[[40]],[[20]],['high holistic'],['left'],['upright'],[],[],[[8]],LM
40,[[15]],[[41]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[8]],LM
41,[[15]],[[42]],[[8]],['high holistic'],['right'],['upright'],[],[],[[6]],LM
42,[[15]],[[43]],[[6]],['low holistic'],['fovea'],['upright'],[],[],[[0]],LM
43,[[15]],[[44]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[8]],LM
44,[[15]],[[45]],[[9]],['low holistic'],['right'],['upright'],[],[],[[10]],LM
45,[[15]],[[46]],[[16]],['high holistic'],['right'],['upright'],[],[],[[8]],LM
46,[[15]],[[47]],[[14]],['high holistic'],['right'],['upright'],[],[],[[2]],LM
47,[[15]],[[48]],[[12]],['high holistic'],['right'],['inverted'],[],[],[[10]],LM
48,[[15]],[[49]],[[7]],['low holistic'],['left'],['upright'],[],[],[[2]],LM
49,[[15]],[[50]],[[5]],['high holistic'],['right'],['upright'],[],[],[[12]],LM
50,[[15]],[[51]],[[1]],['low holistic'],['left'],['inverted'],[],[],[[2]],LM
51,[[15]],[[52]],[[17]],['high holistic'],['right'],['inverted'],[],[],[[6]],LM
52,[[15]],[[53]],[[10]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],LM
53,[[15]],[[54]],[[7]],['low holistic'],['right'],['upright'],[],[],[[8]],LM
54,[[15]],[[55]],[[14]],['low holistic'],['left'],['upright'],[],[],[[2]],LM
55,[[15]],[[56]],[[9]],['high holistic'],['left'],['inverted'],[],[],[[12]],LM
