,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[4]],[[1]],[[6]],['high holistic'],['right'],['inverted'],[],[],[[6]],MI
1,[[4]],[[2]],[[5]],['low holistic'],['right'],['upright'],[],[],[[4]],MI
2,[[4]],[[3]],[[20]],['high holistic'],['right'],['upright'],[],[],[[8]],MI
3,[[4]],[[4]],[[8]],['low holistic'],['left'],['inverted'],[],[],[[10]],MI
4,[[4]],[[5]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[10]],MI
5,[[4]],[[6]],[[1]],['low holistic'],['right'],['inverted'],[],[],[[4]],MI
6,[[4]],[[7]],[[1]],['high holistic'],['right'],['inverted'],[],[],[[2]],MI
7,[[4]],[[8]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[2]],MI
8,[[4]],[[9]],[[17]],['high holistic'],['left'],['inverted'],[],[],[[8]],MI
9,[[4]],[[10]],[[5]],['high holistic'],['left'],['inverted'],[],[],[[10]],MI
10,[[4]],[[11]],[[4]],['high holistic'],['right'],['upright'],[],[],[[2]],MI
11,[[4]],[[12]],[[6]],['high holistic'],['right'],['inverted'],[],[],[[2]],MI
12,[[4]],[[13]],[[1]],['low holistic'],['left'],['inverted'],[],[],[[2]],MI
13,[[4]],[[14]],[[5]],['high holistic'],['left'],['inverted'],[],[],[[10]],MI
14,[[4]],[[15]],[[20]],['high holistic'],['right'],['upright'],[],[],[[6]],MI
15,[[4]],[[16]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[12]],MI
16,[[4]],[[17]],[[13]],['high holistic'],['right'],['upright'],[],[],[[6]],MI
17,[[4]],[[18]],[[15]],['high holistic'],['left'],['inverted'],[],[],[[12]],MI
18,[[4]],[[19]],[[8]],['high holistic'],['right'],['upright'],[],[],[[8]],MI
19,[[4]],[[20]],[[4]],['low holistic'],['left'],['inverted'],[],[],[[10]],MI
20,[[4]],[[21]],[[20]],['high holistic'],['right'],['upright'],[],[],[[12]],MI
21,[[4]],[[22]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[4]],MI
22,[[4]],[[23]],[[3]],['low holistic'],['left'],['upright'],[],[],[[4]],MI
23,[[4]],[[24]],[[15]],['low holistic'],['right'],['upright'],[],[],[[12]],MI
24,[[4]],[[25]],[[10]],['low holistic'],['right'],['upright'],[],[],[[10]],MI
25,[[4]],[[26]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[8]],MI
26,[[4]],[[27]],[[15]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],MI
27,[[4]],[[28]],[[8]],['low holistic'],['left'],['inverted'],[],[],[[2]],MI
28,[[4]],[[29]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[6]],MI
29,[[4]],[[30]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[2]],MI
30,[[4]],[[31]],[[14]],['high holistic'],['left'],['inverted'],[],[],[[2]],MI
31,[[4]],[[32]],[[3]],['high holistic'],['left'],['inverted'],[],[],[[10]],MI
32,[[4]],[[33]],[[2]],['high holistic'],['right'],['inverted'],[],[],[[8]],MI
33,[[4]],[[34]],[[9]],['high holistic'],['left'],['upright'],[],[],[[12]],MI
34,[[4]],[[35]],[[7]],['high holistic'],['right'],['inverted'],[],[],[[6]],MI
35,[[4]],[[36]],[[1]],['high holistic'],['left'],['inverted'],[],[],[[8]],MI
36,[[4]],[[37]],[[4]],['low holistic'],['right'],['inverted'],[],[],[[12]],MI
37,[[4]],[[38]],[[16]],['high holistic'],['right'],['inverted'],[],[],[[2]],MI
38,[[4]],[[39]],[[20]],['low holistic'],['left'],['upright'],[],[],[[8]],MI
39,[[4]],[[40]],[[15]],['low holistic'],['right'],['upright'],[],[],[[12]],MI
40,[[4]],[[41]],[[8]],['low holistic'],['right'],['upright'],[],[],[[8]],MI
41,[[4]],[[42]],[[8]],['high holistic'],['left'],['inverted'],[],[],[[10]],MI
42,[[4]],[[43]],[[4]],['low holistic'],['fovea'],['upright'],[],[],[[0]],MI
43,[[4]],[[44]],[[15]],['high holistic'],['left'],['inverted'],[],[],[[6]],MI
44,[[4]],[[45]],[[11]],['high holistic'],['right'],['upright'],[],[],[[12]],MI
45,[[4]],[[46]],[[2]],['low holistic'],['right'],['upright'],[],[],[[4]],MI
46,[[4]],[[47]],[[7]],['low holistic'],['right'],['inverted'],[],[],[[4]],MI
