,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[5]],[[1]],[[9]],['low holistic'],['left'],['upright'],[],[],[[10]],MY
1,[[5]],[[2]],[[14]],['low holistic'],['right'],['upright'],[],[],[[10]],MY
2,[[5]],[[3]],[[19]],['high holistic'],['right'],['upright'],[],[],[[8]],MY
3,[[5]],[[4]],[[17]],['low holistic'],['right'],['upright'],[],[],[[8]],MY
4,[[5]],[[5]],[[10]],['high holistic'],['left'],['inverted'],[],[],[[4]],MY
5,[[5]],[[6]],[[16]],['low holistic'],['right'],['inverted'],[],[],[[10]],MY
6,[[5]],[[7]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[8]],MY
7,[[5]],[[8]],[[20]],['high holistic'],['right'],['upright'],[],[],[[6]],MY
8,[[5]],[[9]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[6]],MY
9,[[5]],[[10]],[[18]],['high holistic'],['right'],['upright'],[],[],[[12]],MY
10,[[5]],[[11]],[[8]],['low holistic'],['fovea'],['upright'],[],[],[[0]],MY
11,[[5]],[[12]],[[10]],['low holistic'],['left'],['upright'],[],[],[[12]],MY
12,[[5]],[[13]],[[5]],['low holistic'],['right'],['inverted'],[],[],[[6]],MY
13,[[5]],[[14]],[[16]],['low holistic'],['left'],['inverted'],[],[],[[6]],MY
14,[[5]],[[15]],[[18]],['low holistic'],['left'],['upright'],[],[],[[6]],MY
15,[[5]],[[16]],[[19]],['high holistic'],['left'],['inverted'],[],[],[[12]],MY
16,[[5]],[[17]],[[12]],['low holistic'],['left'],['inverted'],[],[],[[10]],MY
17,[[5]],[[18]],[[12]],['low holistic'],['right'],['inverted'],[],[],[[4]],MY
18,[[5]],[[19]],[[3]],['low holistic'],['right'],['upright'],[],[],[[4]],MY
19,[[5]],[[20]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[10]],MY
20,[[5]],[[21]],[[10]],['low holistic'],['right'],['inverted'],[],[],[[2]],MY
21,[[5]],[[22]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[2]],MY
