,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[21]],[[1]],[[6]],['high holistic'],['right'],['inverted'],[],[],[[6]],SH
1,[[21]],[[2]],[[5]],['low holistic'],['right'],['upright'],[],[],[[4]],SH
2,[[21]],[[3]],[[20]],['high holistic'],['right'],['upright'],[],[],[[8]],SH
3,[[21]],[[4]],[[8]],['low holistic'],['left'],['inverted'],[],[],[[10]],SH
4,[[21]],[[5]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[10]],SH
5,[[21]],[[6]],[[1]],['low holistic'],['right'],['inverted'],[],[],[[4]],SH
6,[[21]],[[7]],[[1]],['high holistic'],['right'],['inverted'],[],[],[[2]],SH
7,[[21]],[[8]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[2]],SH
8,[[21]],[[9]],[[17]],['high holistic'],['left'],['inverted'],[],[],[[8]],SH
9,[[21]],[[10]],[[5]],['high holistic'],['left'],['inverted'],[],[],[[10]],SH
10,[[21]],[[11]],[[4]],['high holistic'],['right'],['upright'],[],[],[[2]],SH
11,[[21]],[[12]],[[6]],['high holistic'],['right'],['inverted'],[],[],[[2]],SH
12,[[21]],[[13]],[[1]],['low holistic'],['left'],['inverted'],[],[],[[2]],SH
13,[[21]],[[14]],[[5]],['high holistic'],['left'],['inverted'],[],[],[[10]],SH
14,[[21]],[[15]],[[20]],['high holistic'],['right'],['upright'],[],[],[[6]],SH
15,[[21]],[[16]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[12]],SH
16,[[21]],[[17]],[[13]],['high holistic'],['right'],['upright'],[],[],[[6]],SH
17,[[21]],[[18]],[[15]],['high holistic'],['left'],['inverted'],[],[],[[12]],SH
18,[[21]],[[19]],[[8]],['high holistic'],['right'],['upright'],[],[],[[8]],SH
19,[[21]],[[20]],[[4]],['low holistic'],['left'],['inverted'],[],[],[[10]],SH
20,[[21]],[[21]],[[20]],['high holistic'],['right'],['upright'],[],[],[[12]],SH
21,[[21]],[[22]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[4]],SH
22,[[21]],[[23]],[[3]],['low holistic'],['left'],['upright'],[],[],[[4]],SH
23,[[21]],[[24]],[[15]],['low holistic'],['right'],['upright'],[],[],[[12]],SH
24,[[21]],[[25]],[[10]],['low holistic'],['right'],['upright'],[],[],[[10]],SH
25,[[21]],[[26]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[8]],SH
26,[[21]],[[27]],[[15]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],SH
27,[[21]],[[28]],[[8]],['low holistic'],['left'],['inverted'],[],[],[[2]],SH
28,[[21]],[[29]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[6]],SH
29,[[21]],[[30]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[2]],SH
