,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[9]],[[1]],[[17]],['low holistic'],['left'],['inverted'],[],[],[[12]],YM
1,[[9]],[[2]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[2]],YM
2,[[9]],[[3]],[[10]],['low holistic'],['left'],['inverted'],[],[],[[10]],YM
3,[[9]],[[4]],[[2]],['high holistic'],['left'],['upright'],[],[],[[6]],YM
4,[[9]],[[5]],[[11]],['high holistic'],['fovea'],['upright'],[],[],[[0]],YM
5,[[9]],[[6]],[[7]],['high holistic'],['left'],['upright'],[],[],[[10]],YM
6,[[9]],[[7]],[[2]],['high holistic'],['right'],['upright'],[],[],[[12]],YM
7,[[9]],[[8]],[[17]],['high holistic'],['left'],['inverted'],[],[],[[4]],YM
8,[[9]],[[9]],[[12]],['low holistic'],['left'],['inverted'],[],[],[[10]],YM
9,[[9]],[[10]],[[1]],['low holistic'],['left'],['upright'],[],[],[[4]],YM
10,[[9]],[[11]],[[17]],['high holistic'],['fovea'],['upright'],[],[],[[0]],YM
11,[[9]],[[12]],[[9]],['high holistic'],['right'],['upright'],[],[],[[12]],YM
12,[[9]],[[13]],[[13]],['high holistic'],['left'],['upright'],[],[],[[12]],YM
13,[[9]],[[14]],[[13]],['low holistic'],['right'],['upright'],[],[],[[6]],YM
14,[[9]],[[15]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[4]],YM
15,[[9]],[[16]],[[16]],['high holistic'],['left'],['upright'],[],[],[[8]],YM
16,[[9]],[[17]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[4]],YM
17,[[9]],[[18]],[[2]],['low holistic'],['right'],['upright'],[],[],[[4]],YM
18,[[9]],[[19]],[[1]],['low holistic'],['left'],['upright'],[],[],[[10]],YM
19,[[9]],[[20]],[[2]],['high holistic'],['right'],['upright'],[],[],[[2]],YM
20,[[9]],[[21]],[[19]],['high holistic'],['right'],['inverted'],[],[],[[12]],YM
21,[[9]],[[22]],[[13]],['high holistic'],['fovea'],['upright'],[],[],[[0]],YM
22,[[9]],[[23]],[[18]],['low holistic'],['right'],['upright'],[],[],[[2]],YM
23,[[9]],[[24]],[[15]],['high holistic'],['right'],['upright'],[],[],[[6]],YM
24,[[9]],[[25]],[[2]],['low holistic'],['fovea'],['upright'],[],[],[[0]],YM
25,[[9]],[[26]],[[14]],['low holistic'],['right'],['upright'],[],[],[[4]],YM
26,[[9]],[[27]],[[12]],['high holistic'],['left'],['upright'],[],[],[[8]],YM
27,[[9]],[[28]],[[18]],['high holistic'],['left'],['upright'],[],[],[[12]],YM
28,[[9]],[[29]],[[4]],['low holistic'],['left'],['upright'],[],[],[[8]],YM
29,[[9]],[[30]],[[4]],['high holistic'],['right'],['upright'],[],[],[[4]],YM
30,[[9]],[[31]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[6]],YM
31,[[9]],[[32]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[10]],YM
32,[[9]],[[33]],[[11]],['low holistic'],['right'],['upright'],[],[],[[6]],YM
33,[[9]],[[34]],[[10]],['high holistic'],['right'],['upright'],[],[],[[6]],YM
34,[[9]],[[35]],[[15]],['high holistic'],['right'],['inverted'],[],[],[[10]],YM
35,[[9]],[[36]],[[8]],['low holistic'],['left'],['inverted'],[],[],[[2]],YM
36,[[9]],[[37]],[[10]],['low holistic'],['left'],['inverted'],[],[],[[10]],YM
37,[[9]],[[38]],[[9]],['low holistic'],['left'],['inverted'],[],[],[[12]],YM
38,[[9]],[[39]],[[9]],['low holistic'],['right'],['inverted'],[],[],[[8]],YM
39,[[9]],[[40]],[[19]],['high holistic'],['right'],['upright'],[],[],[[6]],YM
40,[[9]],[[41]],[[15]],['low holistic'],['right'],['inverted'],[],[],[[2]],YM
41,[[9]],[[42]],[[9]],['low holistic'],['left'],['inverted'],[],[],[[6]],YM
42,[[9]],[[43]],[[14]],['low holistic'],['fovea'],['upright'],[],[],[[0]],YM
43,[[9]],[[44]],[[9]],['high holistic'],['left'],['inverted'],[],[],[[2]],YM
44,[[9]],[[45]],[[4]],['high holistic'],['left'],['upright'],[],[],[[2]],YM
45,[[9]],[[46]],[[12]],['low holistic'],['left'],['inverted'],[],[],[[12]],YM
46,[[9]],[[47]],[[8]],['high holistic'],['right'],['upright'],[],[],[[12]],YM
47,[[9]],[[48]],[[18]],['high holistic'],['right'],['upright'],[],[],[[4]],YM
48,[[9]],[[49]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[12]],YM
49,[[9]],[[50]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[6]],YM
50,[[9]],[[51]],[[10]],['high holistic'],['left'],['upright'],[],[],[[6]],YM
51,[[9]],[[52]],[[11]],['low holistic'],['right'],['inverted'],[],[],[[4]],YM
52,[[9]],[[53]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[2]],YM
53,[[9]],[[54]],[[15]],['low holistic'],['left'],['upright'],[],[],[[6]],YM
54,[[9]],[[55]],[[10]],['low holistic'],['right'],['upright'],[],[],[[10]],YM
55,[[9]],[[56]],[[3]],['high holistic'],['left'],['upright'],[],[],[[2]],YM
56,[[9]],[[57]],[[14]],['low holistic'],['right'],['inverted'],[],[],[[8]],YM
57,[[9]],[[58]],[[16]],['high holistic'],['left'],['inverted'],[],[],[[8]],YM
58,[[9]],[[59]],[[5]],['low holistic'],['right'],['inverted'],[],[],[[2]],YM
59,[[9]],[[60]],[[9]],['high holistic'],['right'],['upright'],[],[],[[10]],YM
60,[[9]],[[61]],[[12]],['low holistic'],['right'],['inverted'],[],[],[[6]],YM
61,[[9]],[[62]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[12]],YM
62,[[9]],[[63]],[[8]],['low holistic'],['right'],['inverted'],[],[],[[6]],YM
63,[[9]],[[64]],[[8]],['low holistic'],['right'],['upright'],[],[],[[6]],YM
64,[[9]],[[65]],[[2]],['high holistic'],['right'],['upright'],[],[],[[10]],YM
65,[[9]],[[66]],[[10]],['low holistic'],['right'],['inverted'],[],[],[[6]],YM
66,[[9]],[[67]],[[18]],['low holistic'],['left'],['upright'],[],[],[[4]],YM
67,[[9]],[[68]],[[1]],['high holistic'],['right'],['inverted'],[],[],[[12]],YM
68,[[9]],[[69]],[[1]],['high holistic'],['left'],['inverted'],[],[],[[6]],YM
69,[[9]],[[70]],[[6]],['high holistic'],['right'],['upright'],[],[],[[12]],YM
70,[[9]],[[71]],[[7]],['low holistic'],['right'],['upright'],[],[],[[4]],YM
71,[[9]],[[72]],[[12]],['low holistic'],['right'],['upright'],[],[],[[4]],YM
72,[[9]],[[73]],[[17]],['low holistic'],['left'],['inverted'],[],[],[[2]],YM
73,[[9]],[[74]],[[15]],['high holistic'],['left'],['inverted'],[],[],[[12]],YM
74,[[9]],[[75]],[[12]],['high holistic'],['right'],['upright'],[],[],[[6]],YM
75,[[9]],[[76]],[[16]],['high holistic'],['left'],['upright'],[],[],[[12]],YM
76,[[9]],[[77]],[[10]],['high holistic'],['fovea'],['upright'],[],[],[[0]],YM
77,[[9]],[[78]],[[4]],['low holistic'],['left'],['upright'],[],[],[[6]],YM
78,[[9]],[[79]],[[10]],['high holistic'],['left'],['inverted'],[],[],[[6]],YM
79,[[9]],[[80]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[2]],YM
80,[[9]],[[81]],[[11]],['low holistic'],['left'],['upright'],[],[],[[8]],YM
81,[[9]],[[82]],[[11]],['low holistic'],['right'],['upright'],[],[],[[12]],YM
82,[[9]],[[83]],[[13]],['high holistic'],['left'],['upright'],[],[],[[8]],YM
83,[[9]],[[84]],[[13]],['high holistic'],['left'],['upright'],[],[],[[12]],YM
84,[[9]],[[85]],[[17]],['low holistic'],['left'],['inverted'],[],[],[[12]],YM
85,[[9]],[[86]],[[8]],['low holistic'],['left'],['upright'],[],[],[[8]],YM
86,[[9]],[[87]],[[19]],['high holistic'],['right'],['inverted'],[],[],[[2]],YM
87,[[9]],[[88]],[[11]],['low holistic'],['right'],['upright'],[],[],[[10]],YM
88,[[9]],[[89]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[8]],YM
89,[[9]],[[90]],[[4]],['low holistic'],['right'],['upright'],[],[],[[12]],YM
90,[[9]],[[91]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[12]],YM
91,[[9]],[[92]],[[12]],['low holistic'],['left'],['upright'],[],[],[[2]],YM
92,[[9]],[[93]],[[15]],['low holistic'],['fovea'],['upright'],[],[],[[0]],YM
93,[[9]],[[94]],[[9]],['low holistic'],['right'],['inverted'],[],[],[[12]],YM
94,[[9]],[[95]],[[14]],['high holistic'],['left'],['inverted'],[],[],[[10]],YM
95,[[9]],[[96]],[[18]],['low holistic'],['left'],['inverted'],[],[],[[2]],YM
96,[[9]],[[97]],[[2]],['high holistic'],['left'],['inverted'],[],[],[[8]],YM
97,[[9]],[[98]],[[20]],['low holistic'],['left'],['upright'],[],[],[[4]],YM
98,[[9]],[[99]],[[20]],['low holistic'],['right'],['upright'],[],[],[[2]],YM
99,[[9]],[[100]],[[18]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],YM
100,[[9]],[[101]],[[20]],['low holistic'],['left'],['inverted'],[],[],[[2]],YM
101,[[9]],[[102]],[[20]],['low holistic'],['left'],['upright'],[],[],[[8]],YM
102,[[9]],[[103]],[[7]],['high holistic'],['left'],['upright'],[],[],[[8]],YM
103,[[9]],[[104]],[[4]],['high holistic'],['left'],['upright'],[],[],[[8]],YM
104,[[9]],[[105]],[[2]],['high holistic'],['right'],['upright'],[],[],[[8]],YM
105,[[9]],[[106]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[6]],YM
106,[[9]],[[107]],[[18]],['low holistic'],['left'],['upright'],[],[],[[6]],YM
107,[[9]],[[108]],[[7]],['low holistic'],['left'],['inverted'],[],[],[[12]],YM
108,[[9]],[[109]],[[20]],['low holistic'],['right'],['inverted'],[],[],[[12]],YM
109,[[9]],[[110]],[[1]],['high holistic'],['right'],['upright'],[],[],[[10]],YM
110,[[9]],[[111]],[[14]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],YM
111,[[9]],[[112]],[[14]],['high holistic'],['left'],['upright'],[],[],[[12]],YM
112,[[9]],[[113]],[[2]],['low holistic'],['left'],['upright'],[],[],[[12]],YM
113,[[9]],[[114]],[[10]],['low holistic'],['right'],['inverted'],[],[],[[8]],YM
114,[[9]],[[115]],[[12]],['low holistic'],['right'],['upright'],[],[],[[6]],YM
115,[[9]],[[116]],[[19]],['low holistic'],['right'],['inverted'],[],[],[[6]],YM
116,[[9]],[[117]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[6]],YM
117,[[9]],[[118]],[[17]],['high holistic'],['right'],['inverted'],[],[],[[4]],YM
118,[[9]],[[119]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[8]],YM
119,[[9]],[[120]],[[4]],['low holistic'],['right'],['inverted'],[],[],[[12]],YM
120,[[9]],[[121]],[[15]],['low holistic'],['left'],['inverted'],[],[],[[4]],YM
121,[[9]],[[122]],[[18]],['low holistic'],['right'],['upright'],[],[],[[4]],YM
122,[[9]],[[123]],[[18]],['low holistic'],['left'],['upright'],[],[],[[8]],YM
123,[[9]],[[124]],[[7]],['low holistic'],['right'],['inverted'],[],[],[[2]],YM
124,[[9]],[[125]],[[6]],['low holistic'],['left'],['inverted'],[],[],[[8]],YM
125,[[9]],[[126]],[[8]],['high holistic'],['right'],['upright'],[],[],[[8]],YM
126,[[9]],[[127]],[[7]],['high holistic'],['left'],['inverted'],[],[],[[8]],YM
127,[[9]],[[128]],[[4]],['high holistic'],['right'],['inverted'],[],[],[[4]],YM
128,[[9]],[[129]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[8]],YM
129,[[9]],[[130]],[[7]],['low holistic'],['right'],['upright'],[],[],[[10]],YM
130,[[9]],[[131]],[[4]],['high holistic'],['left'],['upright'],[],[],[[10]],YM
131,[[9]],[[132]],[[18]],['low holistic'],['right'],['upright'],[],[],[[6]],YM
132,[[9]],[[133]],[[15]],['low holistic'],['right'],['inverted'],[],[],[[10]],YM
133,[[9]],[[134]],[[1]],['high holistic'],['right'],['upright'],[],[],[[6]],YM
134,[[9]],[[135]],[[18]],['low holistic'],['right'],['inverted'],[],[],[[2]],YM
135,[[9]],[[136]],[[6]],['high holistic'],['right'],['inverted'],[],[],[[10]],YM
136,[[9]],[[137]],[[7]],['low holistic'],['fovea'],['upright'],[],[],[[0]],YM
137,[[9]],[[138]],[[20]],['high holistic'],['left'],['upright'],[],[],[[10]],YM
138,[[9]],[[139]],[[18]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],YM
139,[[9]],[[140]],[[12]],['low holistic'],['right'],['upright'],[],[],[[12]],YM
140,[[9]],[[141]],[[8]],['high holistic'],['left'],['inverted'],[],[],[[12]],YM
141,[[9]],[[142]],[[5]],['low holistic'],['left'],['upright'],[],[],[[12]],YM
142,[[9]],[[143]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[4]],YM
143,[[9]],[[144]],[[3]],['low holistic'],['left'],['inverted'],[],[],[[4]],YM
144,[[9]],[[145]],[[6]],['high holistic'],['right'],['inverted'],[],[],[[12]],YM
145,[[9]],[[146]],[[3]],['high holistic'],['left'],['upright'],[],[],[[6]],YM
146,[[9]],[[147]],[[9]],['low holistic'],['left'],['inverted'],[],[],[[2]],YM
147,[[9]],[[148]],[[19]],['high holistic'],['left'],['inverted'],[],[],[[8]],YM
148,[[9]],[[149]],[[1]],['high holistic'],['left'],['inverted'],[],[],[[10]],YM
149,[[9]],[[150]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[4]],YM
150,[[9]],[[151]],[[18]],['high holistic'],['left'],['upright'],[],[],[[10]],YM
151,[[9]],[[152]],[[18]],['high holistic'],['left'],['upright'],[],[],[[12]],YM
152,[[9]],[[153]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[10]],YM
153,[[9]],[[154]],[[2]],['low holistic'],['right'],['inverted'],[],[],[[12]],YM
154,[[9]],[[155]],[[19]],['low holistic'],['right'],['upright'],[],[],[[2]],YM
155,[[9]],[[156]],[[18]],['low holistic'],['right'],['upright'],[],[],[[8]],YM
156,[[9]],[[157]],[[17]],['low holistic'],['right'],['upright'],[],[],[[8]],YM
157,[[9]],[[158]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[2]],YM
158,[[9]],[[159]],[[7]],['high holistic'],['left'],['upright'],[],[],[[2]],YM
159,[[9]],[[160]],[[15]],['high holistic'],['left'],['inverted'],[],[],[[4]],YM
160,[[9]],[[161]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[10]],YM
161,[[9]],[[162]],[[7]],['high holistic'],['right'],['inverted'],[],[],[[12]],YM
162,[[9]],[[163]],[[16]],['low holistic'],['fovea'],['upright'],[],[],[[0]],YM
163,[[9]],[[164]],[[14]],['low holistic'],['right'],['upright'],[],[],[[8]],YM
164,[[9]],[[165]],[[11]],['low holistic'],['fovea'],['upright'],[],[],[[0]],YM
165,[[9]],[[166]],[[7]],['high holistic'],['left'],['upright'],[],[],[[12]],YM
166,[[9]],[[167]],[[11]],['low holistic'],['right'],['upright'],[],[],[[6]],YM
167,[[9]],[[168]],[[11]],['low holistic'],['right'],['inverted'],[],[],[[4]],YM
168,[[9]],[[169]],[[11]],['high holistic'],['right'],['upright'],[],[],[[2]],YM
169,[[9]],[[170]],[[10]],['low holistic'],['left'],['upright'],[],[],[[8]],YM
170,[[9]],[[171]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[4]],YM
