,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[18]],[[1]],[[12]],['low holistic'],['right'],['upright'],['U0178.bmp'],['female'],[[2]],['female'],[[1]],[[2.42715195]],AW
1,[[18]],[[2]],[[7]],['high holistic'],['left'],['inverted'],['U0107.bmp'],['female'],[[4]],['male'],[[0]],[[0.22648993]],AW
2,[[18]],[[3]],[[15]],['low holistic'],['left'],['upright'],['U0312.bmp'],['male'],[[8]],['male'],[[1]],[[0.2113391]],AW
3,[[18]],[[4]],[[6]],['low holistic'],['right'],['upright'],['U0106.bmp'],['male'],[[6]],['female'],[[0]],[[0.67353349]],AW
4,[[18]],[[5]],[[19]],['high holistic'],['right'],['upright'],['U0361.bmp'],['female'],[[12]],['male'],[[0]],[[0.9368352]],AW
5,[[18]],[[6]],[[14]],['low holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[[12]],['male'],[[1]],[[0.41046895]],AW
6,[[18]],[[7]],[[19]],['low holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[[8]],['male'],[[0]],[[0.69084006]],AW
7,[[18]],[[8]],[[9]],['low holistic'],['right'],['inverted'],['U0155.bmp'],['male'],[[12]],['female'],[[0]],[[0.59994472]],AW
8,[[18]],[[9]],[[8]],['low holistic'],['fovea'],['upright'],['U0137.bmp'],['male'],[[0]],['male'],[[1]],[[0.77528189]],AW
9,[[18]],[[10]],[[10]],['low holistic'],['left'],['upright'],['U0159.bmp'],['female'],[[2]],['female'],[[1]],[[0.17627654]],AW
10,[[18]],[[11]],[[2]],['high holistic'],['left'],['inverted'],['U0014.bmp'],['male'],[[6]],['male'],[[1]],[[0.31361468]],AW
11,[[18]],[[12]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[[8]],['male'],[[1]],[[0.05308873]],AW
12,[[18]],[[13]],[[18]],['high holistic'],['left'],['upright'],['U0359.bmp'],['male'],[[12]],['male'],[[1]],[[0.00044803]],AW
13,[[18]],[[14]],[[8]],['low holistic'],['left'],['upright'],['U0137.bmp'],['male'],[[4]],['male'],[[1]],[[0.50039912]],AW
14,[[18]],[[15]],[[2]],['low holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[[8]],['male'],[[1]],[[0.29411567]],AW
15,[[18]],[[16]],[[11]],['high holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[[8]],['male'],[[0]],[[0.01178421]],AW
16,[[18]],[[17]],[[18]],['high holistic'],['left'],['upright'],['U0359.bmp'],['male'],[[6]],['female'],[[0]],[[0.29902964]],AW
17,[[18]],[[18]],[[10]],['low holistic'],['left'],['inverted'],['U0159.bmp'],['female'],[[10]],['female'],[[1]],[[0.36062996]],AW
18,[[18]],[[19]],[[7]],['high holistic'],['left'],['upright'],['U0107.bmp'],['female'],[[6]],['female'],[[1]],[[0.33669417]],AW
19,[[18]],[[20]],[[2]],['high holistic'],['left'],['inverted'],['U0014.bmp'],['male'],[[4]],['male'],[[1]],[[0.07672496]],AW
20,[[18]],[[21]],[[14]],['low holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[[8]],['male'],[[1]],[[0.12165412]],AW
21,[[18]],[[22]],[[19]],['high holistic'],['right'],['upright'],['U0361.bmp'],['female'],[[4]],['female'],[[1]],[[0.41400512]],AW
22,[[18]],[[23]],[[16]],['low holistic'],['left'],['inverted'],['U0335.bmp'],['female'],[[2]],['male'],[[0]],[[0.40511218]],AW
23,[[18]],[[24]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[[10]],['male'],[[1]],[[0.24332459]],AW
24,[[18]],[[25]],[[17]],['low holistic'],['left'],['inverted'],['U0346.bmp'],['female'],[[4]],['male'],[[0]],[[0.57059604]],AW
25,[[18]],[[26]],[[2]],['low holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[[2]],['male'],[[1]],[[0.36403304]],AW
26,[[18]],[[27]],[[3]],['high holistic'],['right'],['upright'],['U0020.bmp'],['male'],[[8]],['female'],[[0]],[[0.63685774]],AW
27,[[18]],[[28]],[[4]],['low holistic'],['right'],['upright'],['U0061.bmp'],['female'],[[10]],['female'],[[1]],[[0.44419008]],AW
28,[[18]],[[29]],[[16]],['low holistic'],['left'],['upright'],['U0335.bmp'],['female'],[[4]],['female'],[[1]],[[0.24970661]],AW
29,[[18]],[[30]],[[19]],['low holistic'],['left'],['upright'],['U0361.bmp'],['female'],[[12]],['female'],[[1]],[[0.37651209]],AW
30,[[18]],[[31]],[[18]],['low holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[[8]],['male'],[[1]],[[0.22587126]],AW
31,[[18]],[[32]],[[11]],['high holistic'],['left'],['inverted'],['U0164.bmp'],['female'],[[10]],['male'],[[0]],[[0.00016392]],AW
32,[[18]],[[33]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[[12]],['male'],[[1]],[[0.13656693]],AW
33,[[18]],[[34]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[[8]],['male'],[[1]],[[0.00284775]],AW
34,[[18]],[[35]],[[19]],['high holistic'],['fovea'],['upright'],['U0361.bmp'],['female'],[[0]],['female'],[[1]],[[0.05967946]],AW
