,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[2]],[[1]],[[9]],['low holistic'],['left'],['upright'],['U0155.bmp'],['male'],[],['male'],[[1]],[[0.00246694]],CC
1,[[2]],[[2]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.00011299]],CC
2,[[2]],[[3]],[[19]],['high holistic'],['right'],['upright'],['U0361.bmp'],['female'],[],['female'],[[1]],[[0.03892961]],CC
3,[[2]],[[4]],[[17]],['low holistic'],['right'],['upright'],['U0346.bmp'],['female'],[],['male'],[[0]],[[0.23645403]],CC
4,[[2]],[[5]],[[10]],['high holistic'],['left'],['inverted'],['U0159.bmp'],['male'],[],['male'],[[1]],[[0.107894]],CC
5,[[2]],[[6]],[[16]],['low holistic'],['right'],['inverted'],['U0335.bmp'],['female'],[],['female'],[[1]],[[2.10416482]],CC
6,[[2]],[[7]],[[9]],['high holistic'],['right'],['inverted'],['U0155.bmp'],['female'],[],['male'],[[0]],[[0.41131287]],CC
7,[[2]],[[8]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.06754837]],CC
8,[[2]],[[9]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[],['male'],[[0]],[[0.05611551]],CC
9,[[2]],[[10]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.05513356]],CC
10,[[2]],[[11]],[[8]],['low holistic'],['fovea'],['upright'],['U0137.bmp'],['male'],[],['female'],[[0]],[[0.00019617]],CC
11,[[2]],[[12]],[[10]],['low holistic'],['left'],['upright'],['U0159.bmp'],['female'],[],['female'],[[1]],[[0.00013634]],CC
12,[[2]],[[13]],[[5]],['low holistic'],['right'],['inverted'],['U0076.bmp'],['male'],[],['male'],[[1]],[[0.0001111]],CC
13,[[2]],[[14]],[[16]],['low holistic'],['left'],['inverted'],['U0335.bmp'],['female'],[],['male'],[[0]],[[0.19781519]],CC
14,[[2]],[[15]],[[18]],['low holistic'],['left'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[2.50978354]],CC
15,[[2]],[[16]],[[19]],['high holistic'],['left'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.00016354]],CC
16,[[2]],[[17]],[[12]],['low holistic'],['left'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.25164625]],CC
17,[[2]],[[18]],[[12]],['low holistic'],['right'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.00032898]],CC
18,[[2]],[[19]],[[3]],['low holistic'],['right'],['upright'],['U0020.bmp'],['female'],[],['female'],[[1]],[[0.00013403]],CC
19,[[2]],[[20]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.21010287]],CC
20,[[2]],[[21]],[[10]],['low holistic'],['right'],['inverted'],['U0159.bmp'],['female'],[],['female'],[[1]],[[0.00039854]],CC
21,[[2]],[[22]],[[5]],['high holistic'],['right'],['inverted'],['U0076.bmp'],['female'],[],['male'],[[0]],[[0.08125549]],CC
22,[[2]],[[23]],[[18]],['low holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.00043948]],CC
23,[[2]],[[24]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[],['male'],[[0]],[[0.00726514]],CC
24,[[2]],[[25]],[[18]],['high holistic'],['left'],['upright'],['U0359.bmp'],['male'],[],['female'],[[0]],[[0.23968384]],CC
25,[[2]],[[26]],[[6]],['low holistic'],['right'],['inverted'],['U0106.bmp'],['male'],[],['male'],[[1]],[[0.31650446]],CC
26,[[2]],[[27]],[[14]],['high holistic'],['left'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.0001138]],CC
27,[[2]],[[28]],[[14]],['high holistic'],['right'],['inverted'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.00010857]],CC
28,[[2]],[[29]],[[3]],['high holistic'],['right'],['upright'],['U0020.bmp'],['male'],[],['male'],[[1]],[[1.60228789]],CC
29,[[2]],[[30]],[[9]],['low holistic'],['left'],['inverted'],['U0155.bmp'],['male'],[],['female'],[[0]],[[0.07217877]],CC
30,[[2]],[[31]],[[6]],['low holistic'],['left'],['upright'],['U0106.bmp'],['male'],[],['male'],[[1]],[[0.28624756]],CC
31,[[2]],[[32]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.00019801]],CC
32,[[2]],[[33]],[[6]],['low holistic'],['right'],['upright'],['U0106.bmp'],['male'],[],['male'],[[1]],[[0.00017247]],CC
33,[[2]],[[34]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.00011528]],CC
34,[[2]],[[35]],[[17]],['high holistic'],['fovea'],['upright'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.06031597]],CC
35,[[2]],[[36]],[[8]],['low holistic'],['right'],['upright'],['U0137.bmp'],['male'],[],['male'],[[1]],[[0.0001749]],CC
36,[[2]],[[37]],[[10]],['high holistic'],['left'],['inverted'],['U0159.bmp'],['male'],[],['male'],[[1]],[[2.24858238]],CC
37,[[2]],[[38]],[[14]],['high holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.00010081]],CC
38,[[2]],[[39]],[[17]],['high holistic'],['left'],['upright'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.16787265]],CC
39,[[2]],[[40]],[[13]],['low holistic'],['right'],['inverted'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.00011854]],CC
40,[[2]],[[41]],[[12]],['low holistic'],['left'],['inverted'],['U0178.bmp'],['female'],[],['male'],[[0]],[[0.00024717]],CC
