,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[7]],[[1]],[[6]],['low holistic'],['right'],['upright'],['U0106.bmp'],['male'],[],['female'],[[0]],[[1.08996119]],CP
1,[[7]],[[2]],[[2]],['high holistic'],['right'],['upright'],['U0014.bmp'],['male'],[],['female'],[[0]],[[1.75696527]],CP
2,[[7]],[[3]],[[9]],['high holistic'],['left'],['inverted'],['U0155.bmp'],['female'],[],['female'],[[1]],[[1.80589339]],CP
3,[[7]],[[4]],[[8]],['high holistic'],['right'],['upright'],['U0137.bmp'],['female'],[],['female'],[[1]],[[1.43028106]],CP
4,[[7]],[[5]],[[18]],['low holistic'],['right'],['inverted'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.70026886]],CP
5,[[7]],[[6]],[[13]],['low holistic'],['right'],['inverted'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.90383057]],CP
6,[[7]],[[7]],[[5]],['high holistic'],['right'],['upright'],['U0076.bmp'],['female'],[],['female'],[[1]],[[1.05361788]],CP
7,[[7]],[[8]],[[4]],['high holistic'],['left'],['upright'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.60241291]],CP
8,[[7]],[[9]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[],['female'],[[0]],[[0.43587257]],CP
9,[[7]],[[10]],[[13]],['low holistic'],['left'],['upright'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.40275934]],CP
10,[[7]],[[11]],[[14]],['low holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.34458656]],CP
11,[[7]],[[12]],[[16]],['high holistic'],['right'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.42095804]],CP
12,[[7]],[[13]],[[9]],['high holistic'],['left'],['upright'],['U0155.bmp'],['female'],[],['female'],[[1]],[[0.6839706]],CP
13,[[7]],[[14]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.31225958]],CP
14,[[7]],[[15]],[[3]],['low holistic'],['left'],['inverted'],['U0020.bmp'],['female'],[],['female'],[[1]],[[0.62761714]],CP
15,[[7]],[[16]],[[17]],['low holistic'],['left'],['upright'],['U0346.bmp'],['female'],[],['female'],[[1]],[[0.52459463]],CP
16,[[7]],[[17]],[[7]],['low holistic'],['left'],['upright'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.33629225]],CP
17,[[7]],[[18]],[[9]],['high holistic'],['right'],['inverted'],['U0155.bmp'],['female'],[],['female'],[[1]],[[0.47245652]],CP
18,[[7]],[[19]],[[19]],['high holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.30202285]],CP
19,[[7]],[[20]],[[16]],['high holistic'],['left'],['inverted'],['U0335.bmp'],['female'],[],['male'],[[0]],[[0.64239521]],CP
20,[[7]],[[21]],[[12]],['low holistic'],['fovea'],['upright'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.43377486]],CP
21,[[7]],[[22]],[[1]],['high holistic'],['fovea'],['inverted'],['U0006.bmp'],['female'],[],['female'],[[1]],[[0.37600826]],CP
22,[[7]],[[23]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.93040645]],CP
23,[[7]],[[24]],[[17]],['low holistic'],['right'],['upright'],['U0346.bmp'],['female'],[],['female'],[[1]],[[0.36501187]],CP
24,[[7]],[[25]],[[11]],['low holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[],['female'],[[1]],[[0.28615449]],CP
25,[[7]],[[26]],[[14]],['low holistic'],['fovea'],['inverted'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.29718529]],CP
26,[[7]],[[27]],[[15]],['low holistic'],['fovea'],['upright'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.35829456]],CP
27,[[7]],[[28]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.28059546]],CP
28,[[7]],[[29]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[],['female'],[[0]],[[0.27575092]],CP
29,[[7]],[[30]],[[1]],['high holistic'],['fovea'],['upright'],['U0006.bmp'],['female'],[],['female'],[[1]],[[0.17904126]],CP
30,[[7]],[[31]],[[15]],['low holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.19465924]],CP
31,[[7]],[[32]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[],['male'],[[0]],[[1.30067197]],CP
32,[[7]],[[33]],[[2]],['high holistic'],['left'],['upright'],['U0014.bmp'],['male'],[],['male'],[[1]],[[0.33449919]],CP
33,[[7]],[[34]],[[11]],['high holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[],['female'],[[1]],[[0.36144517]],CP
34,[[7]],[[35]],[[16]],['high holistic'],['fovea'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.38909155]],CP
35,[[7]],[[36]],[[8]],['low holistic'],['left'],['upright'],['U0137.bmp'],['male'],[],['male'],[[1]],[[0.31605158]],CP
36,[[7]],[[37]],[[14]],['low holistic'],['left'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.20765583]],CP
37,[[7]],[[38]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[],['female'],[[0]],[[0.46304718]],CP
38,[[7]],[[39]],[[3]],['high holistic'],['right'],['inverted'],['U0020.bmp'],['male'],[],['male'],[[1]],[[0.41194186]],CP
39,[[7]],[[40]],[[4]],['high holistic'],['left'],['upright'],['U0061.bmp'],['female'],[],['male'],[[0]],[[0.28396948]],CP
40,[[7]],[[41]],[[11]],['high holistic'],['right'],['upright'],['U0164.bmp'],['female'],[],['female'],[[1]],[[0.31274924]],CP
41,[[7]],[[42]],[[10]],['low holistic'],['left'],['upright'],['U0159.bmp'],['female'],[],['female'],[[1]],[[0.19537032]],CP
42,[[7]],[[43]],[[6]],['high holistic'],['fovea'],['upright'],['U0106.bmp'],['female'],[],['female'],[[1]],[[0.17150655]],CP
43,[[7]],[[44]],[[8]],['high holistic'],['left'],['upright'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.126599]],CP
44,[[7]],[[45]],[[4]],['low holistic'],['right'],['inverted'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.29640698]],CP
45,[[7]],[[46]],[[8]],['high holistic'],['left'],['upright'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.24418417]],CP
46,[[7]],[[47]],[[3]],['low holistic'],['right'],['inverted'],['U0020.bmp'],['female'],[],['female'],[[1]],[[0.40926055]],CP
47,[[7]],[[48]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.26704605]],CP
48,[[7]],[[49]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.31115717]],CP
49,[[7]],[[50]],[[5]],['low holistic'],['left'],['inverted'],['U0076.bmp'],['male'],[],['male'],[[1]],[[0.29961088]],CP
50,[[7]],[[51]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[],['male'],[[0]],[[0.52063937]],CP
51,[[7]],[[52]],[[20]],['low holistic'],['right'],['upright'],['U0362.bmp'],['male'],[],['male'],[[1]],[[0.45894239]],CP
52,[[7]],[[53]],[[13]],['high holistic'],['left'],['inverted'],['U0181.bmp'],['female'],[],['female'],[[1]],[[0.36855644]],CP
53,[[7]],[[54]],[[19]],['high holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.54565281]],CP
54,[[7]],[[55]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[],['male'],[[0]],[[1.34102093]],CP
55,[[7]],[[56]],[[6]],['low holistic'],['left'],['inverted'],['U0106.bmp'],['male'],[],['male'],[[1]],[[0.29489431]],CP
56,[[7]],[[57]],[[14]],['high holistic'],['right'],['inverted'],['U0228.bmp'],['male'],[],['female'],[[0]],[[0.21019506]],CP
57,[[7]],[[58]],[[17]],['high holistic'],['left'],['upright'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.15579988]],CP
58,[[7]],[[59]],[[18]],['low holistic'],['right'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.38941923]],CP
59,[[7]],[[60]],[[14]],['low holistic'],['left'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.22865784]],CP
60,[[7]],[[61]],[[12]],['low holistic'],['right'],['upright'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.00013122]],CP
61,[[7]],[[62]],[[9]],['low holistic'],['right'],['inverted'],['U0155.bmp'],['male'],[],['male'],[[1]],[[0.1483416]],CP
62,[[7]],[[63]],[[20]],['low holistic'],['left'],['upright'],['U0362.bmp'],['male'],[],['male'],[[1]],[[0.00012897]],CP
63,[[7]],[[64]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.0459717]],CP
64,[[7]],[[65]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[],['female'],[[0]],[[0.16400873]],CP
65,[[7]],[[66]],[[9]],['high holistic'],['right'],['upright'],['U0155.bmp'],['female'],[],['female'],[[1]],[[0.33385351]],CP
66,[[7]],[[67]],[[14]],['low holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.16863196]],CP
67,[[7]],[[68]],[[11]],['high holistic'],['left'],['upright'],['U0164.bmp'],['female'],[],['female'],[[1]],[[0.18523325]],CP
68,[[7]],[[69]],[[7]],['low holistic'],['right'],['upright'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.17749989]],CP
69,[[7]],[[70]],[[10]],['high holistic'],['right'],['upright'],['U0159.bmp'],['male'],[],['male'],[[1]],[[0.28379678]],CP
70,[[7]],[[71]],[[2]],['low holistic'],['left'],['upright'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.37669745]],CP
71,[[7]],[[72]],[[12]],['high holistic'],['left'],['upright'],['U0178.bmp'],['male'],[],['male'],[[1]],[[0.28088298]],CP
72,[[7]],[[73]],[[18]],['low holistic'],['right'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.31099292]],CP
73,[[7]],[[74]],[[5]],['high holistic'],['right'],['upright'],['U0076.bmp'],['female'],[],['female'],[[1]],[[0.19407809]],CP
74,[[7]],[[75]],[[9]],['high holistic'],['left'],['upright'],['U0155.bmp'],['female'],[],['female'],[[1]],[[0.31232163]],CP
75,[[7]],[[76]],[[10]],['low holistic'],['left'],['upright'],['U0159.bmp'],['female'],[],['female'],[[1]],[[0.33383223]],CP
76,[[7]],[[77]],[[7]],['high holistic'],['left'],['upright'],['U0107.bmp'],['female'],[],['male'],[[0]],[[0.29553274]],CP
77,[[7]],[[78]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.10685773]],CP
78,[[7]],[[79]],[[2]],['high holistic'],['left'],['upright'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.07204351]],CP
79,[[7]],[[80]],[[17]],['high holistic'],['right'],['upright'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.00014133]],CP
80,[[7]],[[81]],[[12]],['low holistic'],['right'],['upright'],['U0178.bmp'],['female'],[],['female'],[[1]],[[3.08207999]],CP
81,[[7]],[[82]],[[8]],['high holistic'],['right'],['inverted'],['U0137.bmp'],['female'],[],['male'],[[0]],[[0.39087911]],CP
82,[[7]],[[83]],[[12]],['low holistic'],['left'],['upright'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.23004726]],CP
83,[[7]],[[84]],[[17]],['low holistic'],['right'],['inverted'],['U0346.bmp'],['female'],[],['female'],[[1]],[[0.43728797]],CP
84,[[7]],[[85]],[[8]],['high holistic'],['left'],['upright'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.18001147]],CP
85,[[7]],[[86]],[[1]],['low holistic'],['left'],['inverted'],['U0006.bmp'],['female'],[],['male'],[[0]],[[0.32594638]],CP
86,[[7]],[[87]],[[2]],['low holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[],['male'],[[1]],[[0.40717818]],CP
87,[[7]],[[88]],[[6]],['high holistic'],['left'],['upright'],['U0106.bmp'],['female'],[],['female'],[[1]],[[0.20038862]],CP
88,[[7]],[[89]],[[20]],['low holistic'],['left'],['inverted'],['U0362.bmp'],['male'],[],['male'],[[1]],[[0.20746649]],CP
89,[[7]],[[90]],[[8]],['high holistic'],['right'],['inverted'],['U0137.bmp'],['female'],[],['male'],[[0]],[[0.27220236]],CP
90,[[7]],[[91]],[[8]],['high holistic'],['right'],['upright'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.41292316]],CP
