,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[3]],[[1]],[[9]],['low holistic'],['right'],['upright'],['U0155.bmp'],['male'],[],['male'],[[1]],[[0.27484599]],CR
1,[[3]],[[2]],[[15]],['high holistic'],['left'],['upright'],['U0312.bmp'],['male'],[],['female'],[[0]],[[189.43215497]],CR
2,[[3]],[[3]],[[13]],['high holistic'],['left'],['inverted'],['U0181.bmp'],['female'],[],['male'],[[0]],[[21.0299947]],CR
3,[[3]],[[4]],[[13]],['high holistic'],['right'],['upright'],['U0181.bmp'],['female'],[],['female'],[[1]],[[3.97524345]],CR
4,[[3]],[[5]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[],['male'],[[1]],[[4.53508378]],CR
5,[[3]],[[6]],[[8]],['high holistic'],['right'],['inverted'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.00010824]],CR
6,[[3]],[[7]],[[19]],['low holistic'],['left'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[10.51485045]],CR
7,[[3]],[[8]],[[2]],['low holistic'],['right'],['upright'],['U0014.bmp'],['male'],[],['male'],[[1]],[[1.91692235]],CR
8,[[3]],[[9]],[[6]],['low holistic'],['right'],['upright'],['U0106.bmp'],['male'],[],['male'],[[1]],[[1.03423684]],CR
9,[[3]],[[10]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[],['male'],[[0]],[[1.5053183]],CR
10,[[3]],[[11]],[[11]],['high holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[],['male'],[[0]],[[0.55753121]],CR
11,[[3]],[[12]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.592169]],CR
12,[[3]],[[13]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[],['male'],[[1]],[[2.63201923]],CR
13,[[3]],[[14]],[[3]],['high holistic'],['right'],['upright'],['U0020.bmp'],['male'],[],['female'],[[0]],[[3.62938416]],CR
14,[[3]],[[15]],[[13]],['high holistic'],['left'],['upright'],['U0181.bmp'],['female'],[],['female'],[[1]],[[9.99076292e-05]],CR
15,[[3]],[[16]],[[9]],['low holistic'],['left'],['upright'],['U0155.bmp'],['male'],[],['male'],[[1]],[[0.28647206]],CR
16,[[3]],[[17]],[[16]],['low holistic'],['right'],['inverted'],['U0335.bmp'],['female'],[],['female'],[[1]],[[2.38549848]],CR
17,[[3]],[[18]],[[1]],['high holistic'],['right'],['upright'],['U0006.bmp'],['female'],[],['female'],[[1]],[[0.13240903]],CR
18,[[3]],[[19]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.34999102]],CR
19,[[3]],[[20]],[[6]],['high holistic'],['fovea'],['upright'],['U0106.bmp'],['female'],[],['female'],[[1]],[[0.00041416]],CR
20,[[3]],[[21]],[[3]],['low holistic'],['left'],['upright'],['U0020.bmp'],['female'],[],['female'],[[1]],[[0.00010833]],CR
21,[[3]],[[22]],[[20]],['high holistic'],['fovea'],['inverted'],['U0362.bmp'],['female'],[],['female'],[[1]],[[1.62620211]],CR
