,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[20]],[[1]],[[9]],['low holistic'],['right'],['upright'],['U0155.bmp'],['male'],[[4]],['male'],[[1]],[[1.10715579]],GHA
1,[[20]],[[2]],[[15]],['high holistic'],['left'],['upright'],['U0312.bmp'],['male'],[[12]],['male'],[[1]],[[0.51806719]],GHA
2,[[20]],[[3]],[[13]],['high holistic'],['left'],['inverted'],['U0181.bmp'],['female'],[[2]],['male'],[[0]],[[0.82639448]],GHA
3,[[20]],[[4]],[[13]],['high holistic'],['right'],['upright'],['U0181.bmp'],['female'],[[12]],['female'],[[1]],[[0.45767591]],GHA
4,[[20]],[[5]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[[4]],['female'],[[0]],[[0.51169037]],GHA
5,[[20]],[[6]],[[8]],['high holistic'],['right'],['inverted'],['U0137.bmp'],['female'],[[10]],['female'],[[1]],[[1.45162572]],GHA
6,[[20]],[[7]],[[19]],['low holistic'],['left'],['inverted'],['U0361.bmp'],['female'],[[2]],['female'],[[1]],[[0.5446615]],GHA
7,[[20]],[[8]],[[2]],['low holistic'],['right'],['upright'],['U0014.bmp'],['male'],[[4]],['male'],[[1]],[[0.41091389]],GHA
8,[[20]],[[9]],[[6]],['low holistic'],['right'],['upright'],['U0106.bmp'],['male'],[[12]],['female'],[[0]],[[0.80397389]],GHA
9,[[20]],[[10]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[[4]],['male'],[[0]],[[0.69199882]],GHA
10,[[20]],[[11]],[[11]],['high holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[[12]],['female'],[[1]],[[1.07201763]],GHA
11,[[20]],[[12]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[[2]],['male'],[[1]],[[0.76596054]],GHA
12,[[20]],[[13]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[[10]],['male'],[[1]],[[1.11085565]],GHA
13,[[20]],[[14]],[[3]],['high holistic'],['right'],['upright'],['U0020.bmp'],['male'],[[4]],['female'],[[0]],[[0.56307194]],GHA
14,[[20]],[[15]],[[13]],['high holistic'],['left'],['upright'],['U0181.bmp'],['female'],[[4]],['female'],[[1]],[[0.91642628]],GHA
15,[[20]],[[16]],[[9]],['low holistic'],['left'],['upright'],['U0155.bmp'],['male'],[[8]],['male'],[[1]],[[0.44805606]],GHA
16,[[20]],[[17]],[[16]],['low holistic'],['right'],['inverted'],['U0335.bmp'],['female'],[[12]],['male'],[[0]],[[0.93513534]],GHA
17,[[20]],[[18]],[[1]],['high holistic'],['right'],['upright'],['U0006.bmp'],['female'],[[6]],['female'],[[1]],[[0.5378106]],GHA
18,[[20]],[[19]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[[2]],['female'],[[1]],[[0.89937323]],GHA
19,[[20]],[[20]],[[6]],['high holistic'],['fovea'],['upright'],['U0106.bmp'],['female'],[[0]],['female'],[[1]],[[0.44873656]],GHA
20,[[20]],[[21]],[[3]],['low holistic'],['left'],['upright'],['U0020.bmp'],['female'],[[12]],['female'],[[1]],[[0.55002974]],GHA
21,[[20]],[[22]],[[20]],['high holistic'],['fovea'],['inverted'],['U0362.bmp'],['female'],[[0]],['male'],[[0]],[[0.56853331]],GHA
22,[[20]],[[23]],[[11]],['high holistic'],['right'],['upright'],['U0164.bmp'],['female'],[[8]],['female'],[[1]],[[0.37023127]],GHA
23,[[20]],[[24]],[[20]],['low holistic'],['left'],['upright'],['U0362.bmp'],['male'],[[2]],['male'],[[1]],[[0.65055933]],GHA
24,[[20]],[[25]],[[17]],['high holistic'],['right'],['inverted'],['U0346.bmp'],['male'],[[6]],['female'],[[0]],[[0.60024449]],GHA
25,[[20]],[[26]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[[8]],['male'],[[0]],[[1.25052819]],GHA
26,[[20]],[[27]],[[14]],['high holistic'],['right'],['upright'],['U0228.bmp'],['male'],[[2]],['male'],[[1]],[[0.55146224]],GHA
27,[[20]],[[28]],[[10]],['low holistic'],['left'],['inverted'],['U0159.bmp'],['female'],[[6]],['female'],[[1]],[[0.24989044]],GHA
28,[[20]],[[29]],[[5]],['low holistic'],['left'],['inverted'],['U0076.bmp'],['male'],[[12]],['female'],[[0]],[[0.82606148]],GHA
29,[[20]],[[30]],[[5]],['high holistic'],['right'],['inverted'],['U0076.bmp'],['female'],[[4]],['female'],[[1]],[[2.08865904]],GHA
30,[[20]],[[31]],[[19]],['low holistic'],['fovea'],['upright'],['U0361.bmp'],['female'],[[0]],['female'],[[1]],[[0.63684177]],GHA
31,[[20]],[[32]],[[12]],['high holistic'],['left'],['upright'],['U0178.bmp'],['male'],[[10]],['male'],[[1]],[[0.42776839]],GHA
32,[[20]],[[33]],[[14]],['high holistic'],['right'],['inverted'],['U0228.bmp'],['male'],[[8]],['female'],[[0]],[[0.60289125]],GHA
33,[[20]],[[34]],[[15]],['low holistic'],['right'],['inverted'],['U0312.bmp'],['male'],[[2]],['male'],[[1]],[[0.46534302]],GHA
34,[[20]],[[35]],[[14]],['high holistic'],['left'],['upright'],['U0228.bmp'],['male'],[[8]],['male'],[[1]],[[0.40669348]],GHA
35,[[20]],[[36]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[[8]],['female'],[[1]],[[0.96815594]],GHA
36,[[20]],[[37]],[[6]],['low holistic'],['left'],['inverted'],['U0106.bmp'],['male'],[[10]],['male'],[[1]],[[0.6014599]],GHA
37,[[20]],[[38]],[[2]],['high holistic'],['right'],['upright'],['U0014.bmp'],['male'],[[12]],['male'],[[1]],[[1.10494942]],GHA
38,[[20]],[[39]],[[13]],['high holistic'],['left'],['inverted'],['U0181.bmp'],['female'],[[6]],['male'],[[0]],[[0.91758233]],GHA
39,[[20]],[[40]],[[5]],['high holistic'],['right'],['inverted'],['U0076.bmp'],['female'],[[6]],['male'],[[0]],[[0.49534801]],GHA
40,[[20]],[[41]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[[4]],['female'],[[0]],[[0.32488115]],GHA
41,[[20]],[[42]],[[3]],['high holistic'],['left'],['upright'],['U0020.bmp'],['male'],[[10]],['female'],[[0]],[[0.43022972]],GHA
42,[[20]],[[43]],[[19]],['low holistic'],['right'],['upright'],['U0361.bmp'],['female'],[[12]],['female'],[[1]],[[0.37228792]],GHA
43,[[20]],[[44]],[[1]],['high holistic'],['left'],['upright'],['U0006.bmp'],['female'],[[6]],['female'],[[1]],[[0.36706316]],GHA
44,[[20]],[[45]],[[11]],['low holistic'],['left'],['inverted'],['U0164.bmp'],['female'],[[12]],['female'],[[1]],[[0.5600972]],GHA
45,[[20]],[[46]],[[10]],['high holistic'],['right'],['inverted'],['U0159.bmp'],['male'],[[8]],['female'],[[0]],[[0.3528556]],GHA
46,[[20]],[[47]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[[4]],['female'],[[0]],[[0.19559539]],GHA
47,[[20]],[[48]],[[7]],['high holistic'],['right'],['inverted'],['U0107.bmp'],['female'],[[4]],['female'],[[1]],[[4.36401487]],GHA
48,[[20]],[[49]],[[18]],['low holistic'],['left'],['upright'],['U0359.bmp'],['male'],[[10]],['male'],[[1]],[[0.43678595]],GHA
49,[[20]],[[50]],[[4]],['high holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[[8]],['female'],[[1]],[[0.60373081]],GHA
50,[[20]],[[51]],[[5]],['low holistic'],['left'],['inverted'],['U0076.bmp'],['male'],[[10]],['male'],[[1]],[[0.53917457]],GHA
51,[[20]],[[52]],[[3]],['low holistic'],['left'],['upright'],['U0020.bmp'],['female'],[[10]],['female'],[[1]],[[0.4292489]],GHA
52,[[20]],[[53]],[[10]],['low holistic'],['fovea'],['inverted'],['U0159.bmp'],['female'],[[0]],['female'],[[1]],[[0.47560679]],GHA
53,[[20]],[[54]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[[6]],['female'],[[0]],[[1.10634253]],GHA
54,[[20]],[[55]],[[3]],['low holistic'],['right'],['upright'],['U0020.bmp'],['female'],[[12]],['female'],[[1]],[[0.74221022]],GHA
