,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[2]],[[1]],[[9]],['low holistic'],['left'],['upright'],['U0155.bmp'],['male'],[[10]],['female'],[[0]],[[0.46311903]],GK
1,[[2]],[[2]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[[10]],['female'],[[0]],[[0.78035235]],GK
2,[[2]],[[3]],[[19]],['high holistic'],['right'],['upright'],['U0361.bmp'],['female'],[[8]],['female'],[[1]],[[0.26922596]],GK
3,[[2]],[[4]],[[17]],['low holistic'],['right'],['upright'],['U0346.bmp'],['female'],[[8]],['male'],[[0]],[[0.32297478]],GK
4,[[2]],[[5]],[[10]],['high holistic'],['left'],['inverted'],['U0159.bmp'],['male'],[[4]],['male'],[[1]],[[0.71830509]],GK
5,[[2]],[[6]],[[16]],['low holistic'],['right'],['inverted'],['U0335.bmp'],['female'],[[10]],['male'],[[0]],[[0.32082153]],GK
6,[[2]],[[7]],[[9]],['high holistic'],['right'],['inverted'],['U0155.bmp'],['female'],[[8]],['female'],[[1]],[[0.74856069]],GK
7,[[2]],[[8]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[[6]],['female'],[[1]],[[0.76593587]],GK
8,[[2]],[[9]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[[6]],['female'],[[1]],[[0.37468786]],GK
9,[[2]],[[10]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[[12]],['female'],[[0]],[[0.40111704]],GK
10,[[2]],[[11]],[[8]],['low holistic'],['fovea'],['upright'],['U0137.bmp'],['male'],[[0]],['male'],[[1]],[[0.19365529]],GK
11,[[2]],[[12]],[[10]],['low holistic'],['left'],['upright'],['U0159.bmp'],['female'],[[12]],['female'],[[1]],[[0.35396592]],GK
12,[[2]],[[13]],[[5]],['low holistic'],['right'],['inverted'],['U0076.bmp'],['male'],[[6]],['female'],[[0]],[[0.26723906]],GK
13,[[2]],[[14]],[[16]],['low holistic'],['left'],['inverted'],['U0335.bmp'],['female'],[[6]],['female'],[[1]],[[0.85623675]],GK
14,[[2]],[[15]],[[18]],['low holistic'],['left'],['upright'],['U0359.bmp'],['male'],[[6]],['male'],[[1]],[[0.33505471]],GK
15,[[2]],[[16]],[[19]],['high holistic'],['left'],['inverted'],['U0361.bmp'],['female'],[[12]],['male'],[[0]],[[0.35347651]],GK
16,[[2]],[[17]],[[12]],['low holistic'],['left'],['inverted'],['U0178.bmp'],['female'],[[10]],['male'],[[0]],[[0.3477167]],GK
17,[[2]],[[18]],[[12]],['low holistic'],['right'],['inverted'],['U0178.bmp'],['female'],[[4]],['female'],[[1]],[[0.10907023]],GK
18,[[2]],[[19]],[[3]],['low holistic'],['right'],['upright'],['U0020.bmp'],['female'],[[4]],['female'],[[1]],[[0.41808736]],GK
19,[[2]],[[20]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[[10]],['male'],[[1]],[[0.56925987]],GK
20,[[2]],[[21]],[[10]],['low holistic'],['right'],['inverted'],['U0159.bmp'],['female'],[[2]],['female'],[[1]],[[0.53868555]],GK
21,[[2]],[[22]],[[5]],['high holistic'],['right'],['inverted'],['U0076.bmp'],['female'],[[2]],['female'],[[1]],[[0.25104999]],GK
22,[[2]],[[23]],[[18]],['low holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[[12]],['male'],[[1]],[[0.35536161]],GK
23,[[2]],[[24]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[[10]],['male'],[[0]],[[0.45424696]],GK
