,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[13]],[[1]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[[2]],['male'],[[1]],[[0.61436389]],JC
1,[[13]],[[2]],[[5]],['high holistic'],['right'],['inverted'],['U0076.bmp'],['female'],[[4]],['female'],[[1]],[[0.50871616]],JC
2,[[13]],[[3]],[[9]],['high holistic'],['left'],['inverted'],['U0155.bmp'],['female'],[[4]],['female'],[[1]],[[2.48026722]],JC
3,[[13]],[[4]],[[4]],['low holistic'],['left'],['upright'],['U0061.bmp'],['female'],[[6]],['female'],[[1]],[[0.36708117]],JC
4,[[13]],[[5]],[[12]],['high holistic'],['left'],['upright'],['U0178.bmp'],['male'],[[12]],['male'],[[1]],[[0.25464468]],JC
5,[[13]],[[6]],[[11]],['low holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[[4]],['male'],[[0]],[[2.30947527]],JC
6,[[13]],[[7]],[[14]],['low holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[[4]],['male'],[[1]],[[0.73598514]],JC
7,[[13]],[[8]],[[2]],['low holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[[2]],['male'],[[1]],[[0.60309871]],JC
8,[[13]],[[9]],[[14]],['high holistic'],['right'],['inverted'],['U0228.bmp'],['male'],[[4]],['male'],[[1]],[[0.56378387]],JC
9,[[13]],[[10]],[[4]],['low holistic'],['left'],['upright'],['U0061.bmp'],['female'],[[12]],['female'],[[1]],[[0.26104903]],JC
10,[[13]],[[11]],[[15]],['high holistic'],['right'],['inverted'],['U0312.bmp'],['male'],[[12]],['male'],[[1]],[[2.57831982]],JC
11,[[13]],[[12]],[[1]],['low holistic'],['fovea'],['upright'],['U0006.bmp'],['female'],[[0]],['female'],[[1]],[[3.564507]],JC
12,[[13]],[[13]],[[8]],['high holistic'],['right'],['upright'],['U0137.bmp'],['female'],[[6]],['male'],[[0]],[[0.73352375]],JC
13,[[13]],[[14]],[[16]],['low holistic'],['left'],['upright'],['U0335.bmp'],['female'],[[8]],['male'],[[0]],[[4.11322147]],JC
14,[[13]],[[15]],[[15]],['high holistic'],['right'],['inverted'],['U0312.bmp'],['male'],[[2]],['male'],[[1]],[[0.84491512]],JC
15,[[13]],[[16]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[[4]],['female'],[[0]],[[1.04311045]],JC
16,[[13]],[[17]],[[15]],['high holistic'],['right'],['inverted'],['U0312.bmp'],['male'],[[2]],['male'],[[1]],[[1.00087833]],JC
17,[[13]],[[18]],[[14]],['low holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[[2]],['male'],[[1]],[[0.54640373]],JC
18,[[13]],[[19]],[[13]],['high holistic'],['right'],['inverted'],['U0181.bmp'],['female'],[[10]],['female'],[[1]],[[1.8271289]],JC
19,[[13]],[[20]],[[8]],['low holistic'],['fovea'],['inverted'],['U0137.bmp'],['male'],[[0]],['male'],[[1]],[[1.21856793]],JC
20,[[13]],[[21]],[[7]],['high holistic'],['right'],['upright'],['U0107.bmp'],['female'],[[10]],['female'],[[1]],[[2.93745974]],JC
21,[[13]],[[22]],[[3]],['high holistic'],['right'],['upright'],['U0020.bmp'],['male'],[[2]],['male'],[[1]],[[2.01972177]],JC
22,[[13]],[[23]],[[1]],['high holistic'],['left'],['upright'],['U0006.bmp'],['female'],[[2]],['female'],[[1]],[[0.38694874]],JC
23,[[13]],[[24]],[[12]],['low holistic'],['right'],['upright'],['U0178.bmp'],['female'],[[12]],['female'],[[1]],[[0.78802317]],JC
24,[[13]],[[25]],[[1]],['low holistic'],['right'],['upright'],['U0006.bmp'],['female'],[[8]],['female'],[[1]],[[0.09221315]],JC
25,[[13]],[[26]],[[15]],['low holistic'],['fovea'],['upright'],['U0312.bmp'],['male'],[[0]],['male'],[[1]],[[0.29723151]],JC
26,[[13]],[[27]],[[5]],['high holistic'],['left'],['upright'],['U0076.bmp'],['female'],[[12]],['female'],[[1]],[[0.77474426]],JC
27,[[13]],[[28]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[[12]],['male'],[[1]],[[1.54443976]],JC
28,[[13]],[[29]],[[11]],['high holistic'],['right'],['upright'],['U0164.bmp'],['female'],[[10]],['female'],[[1]],[[0.75283301]],JC
29,[[13]],[[30]],[[6]],['high holistic'],['right'],['inverted'],['U0106.bmp'],['female'],[[2]],['male'],[[0]],[[0.52326578]],JC
30,[[13]],[[31]],[[17]],['low holistic'],['right'],['upright'],['U0346.bmp'],['female'],[[4]],['female'],[[1]],[[0.48589669]],JC
31,[[13]],[[32]],[[6]],['high holistic'],['right'],['upright'],['U0106.bmp'],['female'],[[6]],['female'],[[1]],[[0.45062707]],JC
32,[[13]],[[33]],[[15]],['low holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[[12]],['male'],[[1]],[[0.91132749]],JC
33,[[13]],[[34]],[[5]],['high holistic'],['left'],['inverted'],['U0076.bmp'],['female'],[[2]],['female'],[[1]],[[1.59582946]],JC
34,[[13]],[[35]],[[19]],['low holistic'],['left'],['upright'],['U0361.bmp'],['female'],[[4]],['female'],[[1]],[[0.73172302]],JC
35,[[13]],[[36]],[[16]],['high holistic'],['right'],['inverted'],['U0335.bmp'],['female'],[[4]],['female'],[[1]],[[1.32012243]],JC
36,[[13]],[[37]],[[14]],['high holistic'],['right'],['upright'],['U0228.bmp'],['male'],[[12]],['male'],[[1]],[[0.65106014]],JC
37,[[13]],[[38]],[[3]],['high holistic'],['right'],['upright'],['U0020.bmp'],['male'],[[12]],['male'],[[1]],[[0.72069206]],JC
38,[[13]],[[39]],[[3]],['high holistic'],['left'],['upright'],['U0020.bmp'],['male'],[[10]],['male'],[[1]],[[0.62767917]],JC
39,[[13]],[[40]],[[10]],['low holistic'],['right'],['upright'],['U0159.bmp'],['female'],[[8]],['female'],[[1]],[[0.55496468]],JC
40,[[13]],[[41]],[[10]],['low holistic'],['left'],['inverted'],['U0159.bmp'],['female'],[[10]],['male'],[[0]],[[0.46046958]],JC
41,[[13]],[[42]],[[10]],['low holistic'],['left'],['inverted'],['U0159.bmp'],['female'],[[6]],['female'],[[1]],[[2.92906463]],JC
