,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[6]],[[1]],[[17]],['low holistic'],['left'],['inverted'],['U0346.bmp'],['female'],[],['male'],[[0]],[[1.74354884]],JS
1,[[6]],[[2]],[[11]],['high holistic'],['left'],['inverted'],['U0164.bmp'],['female'],[],['male'],[[0]],[[0.26935943]],JS
2,[[6]],[[3]],[[10]],['low holistic'],['left'],['inverted'],['U0159.bmp'],['female'],[],['male'],[[0]],[[0.69897888]],JS
3,[[6]],[[4]],[[2]],['high holistic'],['left'],['upright'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.4319488]],JS
4,[[6]],[[5]],[[11]],['high holistic'],['fovea'],['upright'],['U0164.bmp'],['female'],[],['male'],[[0]],[[0.42232673]],JS
5,[[6]],[[6]],[[7]],['high holistic'],['left'],['upright'],['U0107.bmp'],['female'],[],['male'],[[0]],[[0.33399792]],JS
6,[[6]],[[7]],[[2]],['high holistic'],['right'],['upright'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.20068557]],JS
7,[[6]],[[8]],[[17]],['high holistic'],['left'],['inverted'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.04936792]],JS
8,[[6]],[[9]],[[12]],['low holistic'],['left'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.07068836]],JS
9,[[6]],[[10]],[[1]],['low holistic'],['left'],['upright'],['U0006.bmp'],['female'],[],['male'],[[0]],[[0.29202841]],JS
10,[[6]],[[11]],[[17]],['high holistic'],['fovea'],['upright'],['U0346.bmp'],['male'],[],['female'],[[0]],[[0.13732914]],JS
11,[[6]],[[12]],[[9]],['high holistic'],['right'],['upright'],['U0155.bmp'],['female'],[],['female'],[[1]],[[0.39427455]],JS
12,[[6]],[[13]],[[13]],['high holistic'],['left'],['upright'],['U0181.bmp'],['female'],[],['female'],[[1]],[[0.40459471]],JS
13,[[6]],[[14]],[[13]],['low holistic'],['right'],['upright'],['U0181.bmp'],['male'],[],['female'],[[0]],[[0.27598041]],JS
14,[[6]],[[15]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[],['female'],[[0]],[[0.44971822]],JS
15,[[6]],[[16]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[],['male'],[[0]],[[0.24799553]],JS
16,[[6]],[[17]],[[13]],['low holistic'],['right'],['inverted'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.51839587]],JS
17,[[6]],[[18]],[[2]],['low holistic'],['right'],['upright'],['U0014.bmp'],['male'],[],['male'],[[1]],[[0.00024108]],JS
18,[[6]],[[19]],[[1]],['low holistic'],['left'],['upright'],['U0006.bmp'],['female'],[],['female'],[[1]],[[6.51367107]],JS
19,[[6]],[[20]],[[2]],['high holistic'],['right'],['upright'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.21311914]],JS
20,[[6]],[[21]],[[19]],['high holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.39715212]],JS
21,[[6]],[[22]],[[13]],['high holistic'],['fovea'],['upright'],['U0181.bmp'],['female'],[],['female'],[[1]],[[0.00046012]],JS
22,[[6]],[[23]],[[18]],['low holistic'],['right'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.22896822]],JS
23,[[6]],[[24]],[[15]],['high holistic'],['right'],['upright'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.06022711]],JS
24,[[6]],[[25]],[[2]],['low holistic'],['fovea'],['upright'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.08958247]],JS
25,[[6]],[[26]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[],['female'],[[0]],[[0.15040958]],JS
26,[[6]],[[27]],[[12]],['high holistic'],['left'],['upright'],['U0178.bmp'],['male'],[],['female'],[[0]],[[0.07200349]],JS
27,[[6]],[[28]],[[18]],['high holistic'],['left'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.13991217]],JS
28,[[6]],[[29]],[[4]],['low holistic'],['left'],['upright'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.0946773]],JS
29,[[6]],[[30]],[[4]],['high holistic'],['right'],['upright'],['U0061.bmp'],['female'],[],['male'],[[0]],[[0.1862353]],JS
30,[[6]],[[31]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.23639663]],JS
