,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[12]],[[1]],[[3]],['high holistic'],['right'],['upright'],['U0020.bmp'],['male'],[[4]],['female'],[[0]],[[0.83366816]],JX
1,[[12]],[[2]],[[9]],['low holistic'],['left'],['inverted'],['U0155.bmp'],['male'],[[6]],['female'],[[0]],[[0.19300773]],JX
2,[[12]],[[3]],[[11]],['high holistic'],['left'],['upright'],['U0164.bmp'],['female'],[[12]],['female'],[[1]],[[0.12931096]],JX
3,[[12]],[[4]],[[6]],['low holistic'],['left'],['upright'],['U0106.bmp'],['male'],[[8]],['male'],[[1]],[[0.03021973]],JX
4,[[12]],[[5]],[[10]],['high holistic'],['left'],['inverted'],['U0159.bmp'],['male'],[[10]],['male'],[[1]],[[0.37152571]],JX
5,[[12]],[[6]],[[16]],['high holistic'],['right'],['upright'],['U0335.bmp'],['female'],[[4]],['female'],[[1]],[[0.20660829]],JX
6,[[12]],[[7]],[[5]],['low holistic'],['left'],['inverted'],['U0076.bmp'],['male'],[[2]],['male'],[[1]],[[0.42888053]],JX
7,[[12]],[[8]],[[13]],['low holistic'],['left'],['upright'],['U0181.bmp'],['male'],[[4]],['male'],[[1]],[[0.59586535]],JX
8,[[12]],[[9]],[[13]],['high holistic'],['left'],['inverted'],['U0181.bmp'],['female'],[[6]],['male'],[[0]],[[0.30146333]],JX
9,[[12]],[[10]],[[13]],['low holistic'],['right'],['inverted'],['U0181.bmp'],['male'],[[4]],['male'],[[1]],[[0.16011801]],JX
10,[[12]],[[11]],[[16]],['low holistic'],['right'],['upright'],['U0335.bmp'],['female'],[[2]],['female'],[[1]],[[0.44942651]],JX
11,[[12]],[[12]],[[5]],['high holistic'],['left'],['upright'],['U0076.bmp'],['female'],[[6]],['female'],[[1]],[[0.17553646]],JX
12,[[12]],[[13]],[[1]],['high holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[[10]],['male'],[[0]],[[0.28277464]],JX
13,[[12]],[[14]],[[5]],['high holistic'],['left'],['inverted'],['U0076.bmp'],['female'],[[8]],['male'],[[0]],[[0.14271086]],JX
14,[[12]],[[15]],[[15]],['low holistic'],['right'],['inverted'],['U0312.bmp'],['male'],[[2]],['male'],[[1]],[[0.1295405]],JX
15,[[12]],[[16]],[[10]],['high holistic'],['fovea'],['upright'],['U0159.bmp'],['male'],[[0]],['male'],[[1]],[[0.02863252]],JX
16,[[12]],[[17]],[[3]],['high holistic'],['left'],['upright'],['U0020.bmp'],['male'],[[10]],['female'],[[0]],[[0.53085888]],JX
17,[[12]],[[18]],[[16]],['low holistic'],['left'],['upright'],['U0335.bmp'],['female'],[[6]],['female'],[[1]],[[0.24613377]],JX
18,[[12]],[[19]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[[10]],['female'],[[0]],[[0.07538901]],JX
19,[[12]],[[20]],[[16]],['low holistic'],['left'],['inverted'],['U0335.bmp'],['female'],[[4]],['female'],[[1]],[[0.11420314]],JX
20,[[12]],[[21]],[[11]],['high holistic'],['right'],['upright'],['U0164.bmp'],['female'],[[4]],['female'],[[1]],[[0.07574889]],JX
21,[[12]],[[22]],[[5]],['high holistic'],['left'],['upright'],['U0076.bmp'],['female'],[[4]],['female'],[[1]],[[1.44035741]],JX
22,[[12]],[[23]],[[4]],['high holistic'],['right'],['inverted'],['U0061.bmp'],['female'],[[2]],['male'],[[0]],[[0.45548586]],JX
23,[[12]],[[24]],[[10]],['low holistic'],['left'],['inverted'],['U0159.bmp'],['female'],[[10]],['male'],[[0]],[[0.38841251]],JX
24,[[12]],[[25]],[[9]],['high holistic'],['fovea'],['inverted'],['U0155.bmp'],['female'],[[0]],['male'],[[0]],[[0.28573951]],JX
25,[[12]],[[26]],[[9]],['high holistic'],['right'],['upright'],['U0155.bmp'],['female'],[[6]],['female'],[[1]],[[0.34001415]],JX
26,[[12]],[[27]],[[19]],['low holistic'],['right'],['upright'],['U0361.bmp'],['female'],[[12]],['female'],[[1]],[[0.3817021]],JX
27,[[12]],[[28]],[[11]],['high holistic'],['left'],['inverted'],['U0164.bmp'],['female'],[[4]],['male'],[[0]],[[0.17517264]],JX
28,[[12]],[[29]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[[6]],['male'],[[1]],[[0.33425109]],JX
