,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[15]],[[1]],[[20]],['low holistic'],['fovea'],['inverted'],['U0362.bmp'],['male'],[[0]],['female'],[[0]],[[0.55441475]],LM
1,[[15]],[[2]],[[2]],['high holistic'],['right'],['upright'],['U0014.bmp'],['male'],[[8]],['male'],[[1]],[[0.30659407]],LM
2,[[15]],[[3]],[[3]],['high holistic'],['fovea'],['inverted'],['U0020.bmp'],['male'],[[0]],['female'],[[0]],[[0.80828206]],LM
3,[[15]],[[4]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[[8]],['female'],[[0]],[[0.91114801]],LM
4,[[15]],[[5]],[[11]],['low holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[[2]],['female'],[[1]],[[0.6037115]],LM
5,[[15]],[[6]],[[11]],['high holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[[2]],['male'],[[0]],[[0.38751424]],LM
6,[[15]],[[7]],[[18]],['high holistic'],['right'],['inverted'],['U0359.bmp'],['male'],[[6]],['male'],[[1]],[[0.38732434]],LM
7,[[15]],[[8]],[[17]],['low holistic'],['right'],['inverted'],['U0346.bmp'],['female'],[[6]],['male'],[[0]],[[0.3723606]],LM
8,[[15]],[[9]],[[16]],['low holistic'],['right'],['upright'],['U0335.bmp'],['female'],[[12]],['male'],[[0]],[[0.27777908]],LM
9,[[15]],[[10]],[[13]],['low holistic'],['right'],['inverted'],['U0181.bmp'],['male'],[[8]],['female'],[[0]],[[0.12378829]],LM
10,[[15]],[[11]],[[2]],['high holistic'],['right'],['upright'],['U0014.bmp'],['male'],[[10]],['male'],[[1]],[[0.49302852]],LM
11,[[15]],[[12]],[[9]],['high holistic'],['right'],['upright'],['U0155.bmp'],['female'],[[8]],['female'],[[1]],[[0.09980305]],LM
12,[[15]],[[13]],[[9]],['high holistic'],['left'],['upright'],['U0155.bmp'],['female'],[[12]],['female'],[[1]],[[0.39953716]],LM
