,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[4]],[[1]],[[6]],['high holistic'],['right'],['inverted'],['U0106.bmp'],['female'],[],['female'],[[1]],[[0.0659931]],MI
1,[[4]],[[2]],[[5]],['low holistic'],['right'],['upright'],['U0076.bmp'],['male'],[],['male'],[[1]],[[1.70465819]],MI
2,[[4]],[[3]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.11648765]],MI
3,[[4]],[[4]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[],['male'],[[1]],[[0.00017216]],MI
4,[[4]],[[5]],[[3]],['low holistic'],['right'],['inverted'],['U0020.bmp'],['female'],[],['female'],[[1]],[[0.09453552]],MI
5,[[4]],[[6]],[[1]],['low holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[],['female'],[[1]],[[0.08415587]],MI
6,[[4]],[[7]],[[1]],['high holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[],['male'],[[0]],[[0.00014535]],MI
7,[[4]],[[8]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.00010111]],MI
8,[[4]],[[9]],[[17]],['high holistic'],['left'],['inverted'],['U0346.bmp'],['male'],[],['female'],[[0]],[[0.04862771]],MI
9,[[4]],[[10]],[[5]],['high holistic'],['left'],['inverted'],['U0076.bmp'],['female'],[],['male'],[[0]],[[0.00021753]],MI
10,[[4]],[[11]],[[4]],['high holistic'],['right'],['upright'],['U0061.bmp'],['female'],[],['male'],[[0]],[[0.00036266]],MI
11,[[4]],[[12]],[[6]],['high holistic'],['right'],['inverted'],['U0106.bmp'],['female'],[],['male'],[[0]],[[0.00011856]],MI
12,[[4]],[[13]],[[1]],['low holistic'],['left'],['inverted'],['U0006.bmp'],['female'],[],['female'],[[1]],[[0.00029157]],MI
13,[[4]],[[14]],[[5]],['high holistic'],['left'],['inverted'],['U0076.bmp'],['female'],[],['male'],[[0]],[[0.05716412]],MI
14,[[4]],[[15]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.00020167]],MI
15,[[4]],[[16]],[[14]],['high holistic'],['right'],['inverted'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.0002983]],MI
16,[[4]],[[17]],[[13]],['high holistic'],['right'],['upright'],['U0181.bmp'],['female'],[],['male'],[[0]],[[0.00013578]],MI
17,[[4]],[[18]],[[15]],['high holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[],['female'],[[0]],[[0.00014201]],MI
18,[[4]],[[19]],[[8]],['high holistic'],['right'],['upright'],['U0137.bmp'],['female'],[],['male'],[[0]],[[0.00012256]],MI
19,[[4]],[[20]],[[4]],['low holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[],['female'],[[1]],[[3.31204419]],MI
20,[[4]],[[21]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.00915849]],MI
21,[[4]],[[22]],[[2]],['high holistic'],['left'],['inverted'],['U0014.bmp'],['male'],[],['male'],[[1]],[[0.00016079]],MI
22,[[4]],[[23]],[[3]],['low holistic'],['left'],['upright'],['U0020.bmp'],['female'],[],['male'],[[0]],[[2.39497928]],MI
23,[[4]],[[24]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[],['female'],[[0]],[[0.10878159]],MI
24,[[4]],[[25]],[[10]],['low holistic'],['right'],['upright'],['U0159.bmp'],['female'],[],['female'],[[1]],[[0.007773]],MI
25,[[4]],[[26]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[],['male'],[[0]],[[0.00010806]],MI
26,[[4]],[[27]],[[15]],['low holistic'],['fovea'],['inverted'],['U0312.bmp'],['male'],[],['female'],[[0]],[[0.00014925]],MI
27,[[4]],[[28]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[],['female'],[[0]],[[0.00041834]],MI
28,[[4]],[[29]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[],['female'],[[0]],[[9.95276496e-05]],MI
29,[[4]],[[30]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.00038783]],MI
30,[[4]],[[31]],[[14]],['high holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[],['female'],[[0]],[[0.00010061]],MI
31,[[4]],[[32]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[],['female'],[[0]],[[0.00010772]],MI
32,[[4]],[[33]],[[2]],['high holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[],['male'],[[1]],[[0.0001084]],MI
33,[[4]],[[34]],[[9]],['high holistic'],['left'],['upright'],['U0155.bmp'],['female'],[],['male'],[[0]],[[0.00037802]],MI
34,[[4]],[[35]],[[7]],['high holistic'],['right'],['inverted'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.16095687]],MI
35,[[4]],[[36]],[[1]],['high holistic'],['left'],['inverted'],['U0006.bmp'],['female'],[],['female'],[[1]],[[0.00010108]],MI
36,[[4]],[[37]],[[4]],['low holistic'],['right'],['inverted'],['U0061.bmp'],['female'],[],['male'],[[0]],[[2.54730413]],MI
37,[[4]],[[38]],[[16]],['high holistic'],['right'],['inverted'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.00010016]],MI
38,[[4]],[[39]],[[20]],['low holistic'],['left'],['upright'],['U0362.bmp'],['male'],[],['female'],[[0]],[[0.08353863]],MI
39,[[4]],[[40]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[],['female'],[[0]],[[0.00020673]],MI
40,[[4]],[[41]],[[8]],['low holistic'],['right'],['upright'],['U0137.bmp'],['male'],[],['male'],[[1]],[[0.04893038]],MI
41,[[4]],[[42]],[[8]],['high holistic'],['left'],['inverted'],['U0137.bmp'],['female'],[],['male'],[[0]],[[0.00010176]],MI
42,[[4]],[[43]],[[4]],['low holistic'],['fovea'],['upright'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.00016117]],MI
43,[[4]],[[44]],[[15]],['high holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.00010745]],MI
44,[[4]],[[45]],[[11]],['high holistic'],['right'],['upright'],['U0164.bmp'],['female'],[],['male'],[[0]],[[0.00010989]],MI
45,[[4]],[[46]],[[2]],['low holistic'],['right'],['upright'],['U0014.bmp'],['male'],[],['male'],[[1]],[[9.93087888e-05]],MI
46,[[4]],[[47]],[[7]],['low holistic'],['right'],['inverted'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.00010093]],MI
47,[[4]],[[48]],[[9]],['low holistic'],['right'],['inverted'],['U0155.bmp'],['male'],[],['male'],[[1]],[[0.00017043]],MI
48,[[4]],[[49]],[[9]],['high holistic'],['right'],['inverted'],['U0155.bmp'],['female'],[],['male'],[[0]],[[1.80829713]],MI
49,[[4]],[[50]],[[12]],['low holistic'],['left'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.00011178]],MI
50,[[4]],[[51]],[[11]],['low holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[],['female'],[[1]],[[9.99420881e-05]],MI
51,[[4]],[[52]],[[9]],['high holistic'],['left'],['upright'],['U0155.bmp'],['female'],[],['female'],[[1]],[[0.00039285]],MI
52,[[4]],[[53]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.00010758]],MI
53,[[4]],[[54]],[[9]],['high holistic'],['right'],['upright'],['U0155.bmp'],['female'],[],['female'],[[1]],[[0.00010702]],MI
54,[[4]],[[55]],[[8]],['low holistic'],['left'],['upright'],['U0137.bmp'],['male'],[],['female'],[[0]],[[0.00668435]],MI
55,[[4]],[[56]],[[18]],['low holistic'],['right'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.00010115]],MI
56,[[4]],[[57]],[[4]],['low holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[],['male'],[[0]],[[0.000108]],MI
57,[[4]],[[58]],[[10]],['high holistic'],['right'],['inverted'],['U0159.bmp'],['male'],[],['female'],[[0]],[[9.97949392e-05]],MI
58,[[4]],[[59]],[[9]],['low holistic'],['right'],['upright'],['U0155.bmp'],['male'],[],['female'],[[0]],[[0.00017644]],MI
59,[[4]],[[60]],[[20]],['low holistic'],['fovea'],['upright'],['U0362.bmp'],['male'],[],['male'],[[1]],[[2.26177177]],MI
60,[[4]],[[61]],[[19]],['low holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.19006204]],MI
61,[[4]],[[62]],[[17]],['low holistic'],['left'],['inverted'],['U0346.bmp'],['female'],[],['female'],[[1]],[[0.06974877]],MI
62,[[4]],[[63]],[[16]],['low holistic'],['left'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.64966495]],MI
63,[[4]],[[64]],[[10]],['low holistic'],['right'],['inverted'],['U0159.bmp'],['female'],[],['male'],[[0]],[[0.00013564]],MI
64,[[4]],[[65]],[[5]],['low holistic'],['fovea'],['inverted'],['U0076.bmp'],['male'],[],['male'],[[1]],[[0.00016459]],MI
65,[[4]],[[66]],[[14]],['high holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[],['female'],[[0]],[[0.13638737]],MI
66,[[4]],[[67]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[],['female'],[[0]],[[0.0435142]],MI
67,[[4]],[[68]],[[9]],['high holistic'],['right'],['upright'],['U0155.bmp'],['female'],[],['male'],[[0]],[[3.60276324]],MI
68,[[4]],[[69]],[[9]],['high holistic'],['right'],['inverted'],['U0155.bmp'],['female'],[],['male'],[[0]],[[0.00010971]],MI
69,[[4]],[[70]],[[19]],['low holistic'],['fovea'],['upright'],['U0361.bmp'],['female'],[],['female'],[[1]],[[0.00021781]],MI
70,[[4]],[[71]],[[17]],['high holistic'],['fovea'],['upright'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.00029212]],MI
71,[[4]],[[72]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[],['male'],[[0]],[[0.00010007]],MI
72,[[4]],[[73]],[[2]],['high holistic'],['left'],['upright'],['U0014.bmp'],['male'],[],['male'],[[1]],[[0.08043968]],MI
73,[[4]],[[74]],[[12]],['low holistic'],['right'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[2.39102012]],MI
74,[[4]],[[75]],[[16]],['high holistic'],['right'],['inverted'],['U0335.bmp'],['female'],[],['male'],[[0]],[[0.00010099]],MI
75,[[4]],[[76]],[[4]],['high holistic'],['right'],['inverted'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.00010179]],MI
76,[[4]],[[77]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.63883748]],MI
77,[[4]],[[78]],[[2]],['low holistic'],['left'],['upright'],['U0014.bmp'],['male'],[],['male'],[[1]],[[0.02136738]],MI
78,[[4]],[[79]],[[16]],['low holistic'],['right'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.00011226]],MI
79,[[4]],[[80]],[[13]],['low holistic'],['right'],['upright'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.00010111]],MI
80,[[4]],[[81]],[[10]],['low holistic'],['right'],['upright'],['U0159.bmp'],['female'],[],['male'],[[0]],[[0.00010919]],MI
81,[[4]],[[82]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.0001077]],MI
82,[[4]],[[83]],[[6]],['low holistic'],['right'],['inverted'],['U0106.bmp'],['male'],[],['female'],[[0]],[[0.00010843]],MI
83,[[4]],[[84]],[[7]],['high holistic'],['left'],['upright'],['U0107.bmp'],['female'],[],['male'],[[0]],[[1.53289548]],MI
84,[[4]],[[85]],[[10]],['high holistic'],['right'],['upright'],['U0159.bmp'],['male'],[],['female'],[[0]],[[0.03194995]],MI
85,[[4]],[[86]],[[17]],['high holistic'],['right'],['inverted'],['U0346.bmp'],['male'],[],['female'],[[0]],[[1.19712206]],MI
86,[[4]],[[87]],[[3]],['low holistic'],['left'],['upright'],['U0020.bmp'],['female'],[],['male'],[[0]],[[0.00010643]],MI
87,[[4]],[[88]],[[3]],['low holistic'],['left'],['inverted'],['U0020.bmp'],['female'],[],['male'],[[0]],[[0.07784636]],MI
88,[[4]],[[89]],[[10]],['high holistic'],['right'],['upright'],['U0159.bmp'],['male'],[],['male'],[[1]],[[0.03446317]],MI
89,[[4]],[[90]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[],['female'],[[0]],[[0.60276448]],MI
90,[[4]],[[91]],[[16]],['low holistic'],['left'],['inverted'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.01048808]],MI
91,[[4]],[[92]],[[9]],['high holistic'],['left'],['inverted'],['U0155.bmp'],['female'],[],['male'],[[0]],[[0.16144444]],MI
92,[[4]],[[93]],[[12]],['low holistic'],['right'],['upright'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.03556432]],MI
93,[[4]],[[94]],[[19]],['low holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.0001001]],MI
94,[[4]],[[95]],[[11]],['low holistic'],['left'],['upright'],['U0164.bmp'],['female'],[],['male'],[[0]],[[0.01049853]],MI
95,[[4]],[[96]],[[10]],['high holistic'],['right'],['upright'],['U0159.bmp'],['male'],[],['male'],[[1]],[[0.02638351]],MI
96,[[4]],[[97]],[[5]],['low holistic'],['left'],['inverted'],['U0076.bmp'],['male'],[],['female'],[[0]],[[9.95546579e-05]],MI
