,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[4]],[[1]],[[6]],['high holistic'],['right'],['inverted'],['U0106.bmp'],['female'],[[6]],['female'],[[1]],[[0.62935407]],MP
1,[[4]],[[2]],[[5]],['low holistic'],['right'],['upright'],['U0076.bmp'],['male'],[[4]],['male'],[[1]],[[0.53294268]],MP
2,[[4]],[[3]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[[8]],['female'],[[1]],[[0.50258959]],MP
3,[[4]],[[4]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[[10]],['male'],[[1]],[[0.9231824]],MP
4,[[4]],[[5]],[[3]],['low holistic'],['right'],['inverted'],['U0020.bmp'],['female'],[[10]],['female'],[[1]],[[1.05585155]],MP
5,[[4]],[[6]],[[1]],['low holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[[4]],['female'],[[1]],[[0.33279935]],MP
6,[[4]],[[7]],[[1]],['high holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[[2]],['female'],[[1]],[[0.2623633]],MP
7,[[4]],[[8]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[[2]],['female'],[[0]],[[0.22241193]],MP
8,[[4]],[[9]],[[17]],['high holistic'],['left'],['inverted'],['U0346.bmp'],['male'],[[8]],['female'],[[0]],[[0.18778843]],MP
9,[[4]],[[10]],[[5]],['high holistic'],['left'],['inverted'],['U0076.bmp'],['female'],[[10]],['male'],[[0]],[[0.17989198]],MP
10,[[4]],[[11]],[[4]],['high holistic'],['right'],['upright'],['U0061.bmp'],['female'],[[2]],['female'],[[1]],[[0.15718273]],MP
11,[[4]],[[12]],[[6]],['high holistic'],['right'],['inverted'],['U0106.bmp'],['female'],[[2]],['female'],[[1]],[[0.24052886]],MP
12,[[4]],[[13]],[[1]],['low holistic'],['left'],['inverted'],['U0006.bmp'],['female'],[[2]],['female'],[[1]],[[0.37365131]],MP
13,[[4]],[[14]],[[5]],['high holistic'],['left'],['inverted'],['U0076.bmp'],['female'],[[10]],['female'],[[1]],[[0.56573126]],MP
14,[[4]],[[15]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[[6]],['female'],[[1]],[[0.06442813]],MP
15,[[4]],[[16]],[[14]],['high holistic'],['right'],['inverted'],['U0228.bmp'],['male'],[[12]],['male'],[[1]],[[0.2867301]],MP
16,[[4]],[[17]],[[13]],['high holistic'],['right'],['upright'],['U0181.bmp'],['female'],[[6]],['female'],[[1]],[[0.84231863]],MP
17,[[4]],[[18]],[[15]],['high holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[[12]],['female'],[[0]],[[0.6085715]],MP
18,[[4]],[[19]],[[8]],['high holistic'],['right'],['upright'],['U0137.bmp'],['female'],[[8]],['female'],[[1]],[[0.88255005]],MP
19,[[4]],[[20]],[[4]],['low holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[[10]],['male'],[[0]],[[0.52584233]],MP
20,[[4]],[[21]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[[12]],['female'],[[1]],[[0.94534392]],MP
21,[[4]],[[22]],[[2]],['high holistic'],['left'],['inverted'],['U0014.bmp'],['male'],[[4]],['female'],[[0]],[[0.93052795]],MP
22,[[4]],[[23]],[[3]],['low holistic'],['left'],['upright'],['U0020.bmp'],['female'],[[4]],['male'],[[0]],[[0.18958644]],MP
23,[[4]],[[24]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[[12]],['male'],[[1]],[[0.46306495]],MP
24,[[4]],[[25]],[[10]],['low holistic'],['right'],['upright'],['U0159.bmp'],['female'],[[10]],['female'],[[1]],[[0.19531878]],MP
25,[[4]],[[26]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[[8]],['male'],[[0]],[[0.5161621]],MP
26,[[4]],[[27]],[[15]],['low holistic'],['fovea'],['inverted'],['U0312.bmp'],['male'],[[0]],['male'],[[1]],[[0.9758017]],MP
27,[[4]],[[28]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[[2]],['male'],[[1]],[[0.30372641]],MP
28,[[4]],[[29]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[[6]],['male'],[[1]],[[0.3483738]],MP
29,[[4]],[[30]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[[2]],['female'],[[1]],[[0.6461823]],MP
30,[[4]],[[31]],[[14]],['high holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[[2]],['female'],[[0]],[[1.10836033]],MP
31,[[4]],[[32]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[[10]],['female'],[[0]],[[0.31347009]],MP
