,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[10]],[[1]],[[6]],['low holistic'],['right'],['upright'],['U0106.bmp'],['male'],[[2]],['male'],[[1]],[[2.56403523]],NJ
1,[[10]],[[2]],[[2]],['high holistic'],['right'],['upright'],['U0014.bmp'],['male'],[[10]],['male'],[[1]],[[0.47511742]],NJ
2,[[10]],[[3]],[[9]],['high holistic'],['left'],['inverted'],['U0155.bmp'],['female'],[[10]],['male'],[[0]],[[1.67391189]],NJ
3,[[10]],[[4]],[[8]],['high holistic'],['right'],['upright'],['U0137.bmp'],['female'],[[8]],['male'],[[0]],[[1.20732586]],NJ
4,[[10]],[[5]],[[18]],['low holistic'],['right'],['inverted'],['U0359.bmp'],['male'],[[12]],['male'],[[1]],[[0.76831166]],NJ
5,[[10]],[[6]],[[13]],['low holistic'],['right'],['inverted'],['U0181.bmp'],['male'],[[12]],['male'],[[1]],[[1.32963685]],NJ
6,[[10]],[[7]],[[5]],['high holistic'],['right'],['upright'],['U0076.bmp'],['female'],[[6]],['male'],[[0]],[[0.35450654]],NJ
7,[[10]],[[8]],[[4]],['high holistic'],['left'],['upright'],['U0061.bmp'],['female'],[[2]],['female'],[[1]],[[0.60620501]],NJ
8,[[10]],[[9]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[[8]],['male'],[[1]],[[1.45244225]],NJ
9,[[10]],[[10]],[[13]],['low holistic'],['left'],['upright'],['U0181.bmp'],['male'],[[12]],['male'],[[1]],[[0.81833025]],NJ
10,[[10]],[[11]],[[14]],['low holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[[6]],['male'],[[1]],[[0.44214426]],NJ
11,[[10]],[[12]],[[16]],['high holistic'],['right'],['upright'],['U0335.bmp'],['female'],[[4]],['female'],[[1]],[[0.49362439]],NJ
12,[[10]],[[13]],[[9]],['high holistic'],['left'],['upright'],['U0155.bmp'],['female'],[[4]],['male'],[[0]],[[0.48855699]],NJ
13,[[10]],[[14]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[[6]],['female'],[[1]],[[4.1034418]],NJ
14,[[10]],[[15]],[[3]],['low holistic'],['left'],['inverted'],['U0020.bmp'],['female'],[[10]],['male'],[[0]],[[1.8829243]],NJ
15,[[10]],[[16]],[[17]],['low holistic'],['left'],['upright'],['U0346.bmp'],['female'],[[8]],['female'],[[1]],[[0.47866769]],NJ
16,[[10]],[[17]],[[7]],['low holistic'],['left'],['upright'],['U0107.bmp'],['female'],[[4]],['female'],[[1]],[[0.20495597]],NJ
17,[[10]],[[18]],[[9]],['high holistic'],['right'],['inverted'],['U0155.bmp'],['female'],[[4]],['male'],[[0]],[[1.61943665]],NJ
18,[[10]],[[19]],[[19]],['high holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[[10]],['male'],[[0]],[[0.17916637]],NJ
19,[[10]],[[20]],[[16]],['high holistic'],['left'],['inverted'],['U0335.bmp'],['female'],[[10]],['male'],[[0]],[[0.36471948]],NJ
20,[[10]],[[21]],[[12]],['low holistic'],['fovea'],['upright'],['U0178.bmp'],['female'],[[0]],['female'],[[1]],[[0.43754068]],NJ
21,[[10]],[[22]],[[1]],['high holistic'],['fovea'],['inverted'],['U0006.bmp'],['female'],[[0]],['female'],[[1]],[[0.31741839]],NJ
22,[[10]],[[23]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[[8]],['male'],[[1]],[[0.5364928]],NJ
23,[[10]],[[24]],[[17]],['low holistic'],['right'],['upright'],['U0346.bmp'],['female'],[[6]],['male'],[[0]],[[0.91558333]],NJ
24,[[10]],[[25]],[[11]],['low holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[[12]],['male'],[[0]],[[0.61495788]],NJ
25,[[10]],[[26]],[[14]],['low holistic'],['fovea'],['inverted'],['U0228.bmp'],['male'],[[0]],['male'],[[1]],[[0.40518444]],NJ
26,[[10]],[[27]],[[15]],['low holistic'],['fovea'],['upright'],['U0312.bmp'],['male'],[[0]],['male'],[[1]],[[0.11754956]],NJ
27,[[10]],[[28]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[[12]],['male'],[[0]],[[0.32912129]],NJ
28,[[10]],[[29]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[[6]],['male'],[[1]],[[0.74910494]],NJ
29,[[10]],[[30]],[[1]],['high holistic'],['fovea'],['upright'],['U0006.bmp'],['female'],[[0]],['female'],[[1]],[[0.38269912]],NJ
30,[[10]],[[31]],[[15]],['low holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[[2]],['male'],[[1]],[[0.28672612]],NJ
31,[[10]],[[32]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[[6]],['male'],[[0]],[[0.85921022]],NJ
32,[[10]],[[33]],[[2]],['high holistic'],['left'],['upright'],['U0014.bmp'],['male'],[[10]],['male'],[[1]],[[0.40082313]],NJ
