,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[7]],[[1]],[[6]],['high holistic'],['right'],['inverted'],['U0106.bmp'],['female'],[[6]],['female'],[[1]],[[0.3995536]],SC
1,[[7]],[[2]],[[5]],['low holistic'],['right'],['upright'],['U0076.bmp'],['male'],[[4]],['female'],[[0]],[[0.69506615]],SC
2,[[7]],[[3]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[[8]],['female'],[[1]],[[0.2924974]],SC
3,[[7]],[[4]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[[10]],['female'],[[0]],[[0.55996582]],SC
4,[[7]],[[5]],[[3]],['low holistic'],['right'],['inverted'],['U0020.bmp'],['female'],[[10]],['female'],[[1]],[[0.40273914]],SC
5,[[7]],[[6]],[[1]],['low holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[[4]],['female'],[[1]],[[0.17783547]],SC
6,[[7]],[[7]],[[1]],['high holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[[2]],['female'],[[1]],[[0.2761406]],SC
7,[[7]],[[8]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[[2]],['female'],[[0]],[[0.44128594]],SC
8,[[7]],[[9]],[[17]],['high holistic'],['left'],['inverted'],['U0346.bmp'],['male'],[[8]],['female'],[[0]],[[0.39105495]],SC
9,[[7]],[[10]],[[5]],['high holistic'],['left'],['inverted'],['U0076.bmp'],['female'],[[10]],['female'],[[1]],[[0.2550002]],SC
10,[[7]],[[11]],[[4]],['high holistic'],['right'],['upright'],['U0061.bmp'],['female'],[[2]],['female'],[[1]],[[0.38182743]],SC
11,[[7]],[[12]],[[6]],['high holistic'],['right'],['inverted'],['U0106.bmp'],['female'],[[2]],['female'],[[1]],[[0.27737244]],SC
12,[[7]],[[13]],[[1]],['low holistic'],['left'],['inverted'],['U0006.bmp'],['female'],[[2]],['female'],[[1]],[[0.18735163]],SC
13,[[7]],[[14]],[[5]],['high holistic'],['left'],['inverted'],['U0076.bmp'],['female'],[[10]],['female'],[[1]],[[0.61296406]],SC
14,[[7]],[[15]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[[6]],['female'],[[1]],[[0.26001257]],SC
15,[[7]],[[16]],[[14]],['high holistic'],['right'],['inverted'],['U0228.bmp'],['male'],[[12]],['female'],[[0]],[[0.25723203]],SC
16,[[7]],[[17]],[[13]],['high holistic'],['right'],['upright'],['U0181.bmp'],['female'],[[6]],['male'],[[0]],[[0.44030081]],SC
17,[[7]],[[18]],[[15]],['high holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[[12]],['male'],[[1]],[[0.64469377]],SC
18,[[7]],[[19]],[[8]],['high holistic'],['right'],['upright'],['U0137.bmp'],['female'],[[8]],['female'],[[1]],[[0.16452265]],SC
19,[[7]],[[20]],[[4]],['low holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[[10]],['female'],[[1]],[[0.42858954]],SC
20,[[7]],[[21]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[[12]],['female'],[[1]],[[0.52459061]],SC
21,[[7]],[[22]],[[2]],['high holistic'],['left'],['inverted'],['U0014.bmp'],['male'],[[4]],['female'],[[0]],[[0.38504214]],SC
22,[[7]],[[23]],[[3]],['low holistic'],['left'],['upright'],['U0020.bmp'],['female'],[[4]],['male'],[[0]],[[0.39350379]],SC
23,[[7]],[[24]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[[12]],['male'],[[1]],[[0.08740775]],SC
24,[[7]],[[25]],[[10]],['low holistic'],['right'],['upright'],['U0159.bmp'],['female'],[[10]],['female'],[[1]],[[0.09340069]],SC
25,[[7]],[[26]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[[8]],['female'],[[1]],[[0.41770165]],SC
26,[[7]],[[27]],[[15]],['low holistic'],['fovea'],['inverted'],['U0312.bmp'],['male'],[[0]],['male'],[[1]],[[0.03571124]],SC
27,[[7]],[[28]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[[2]],['male'],[[1]],[[0.02381331]],SC
28,[[7]],[[29]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[[6]],['male'],[[1]],[[0.07172579]],SC
29,[[7]],[[30]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[[2]],['female'],[[1]],[[0.27767894]],SC
30,[[7]],[[31]],[[14]],['high holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[[2]],['female'],[[0]],[[0.13048771]],SC
31,[[7]],[[32]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[[10]],['female'],[[0]],[[0.07745403]],SC
32,[[7]],[[33]],[[2]],['high holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[[8]],['female'],[[0]],[[0.56201131]],SC
33,[[7]],[[34]],[[9]],['high holistic'],['left'],['upright'],['U0155.bmp'],['female'],[[12]],['female'],[[1]],[[0.52404725]],SC
