,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[21]],[[1]],[[6]],['high holistic'],['right'],['inverted'],['U0106.bmp'],['female'],[[6]],['female'],[[1]],[[0.53695318]],SH
1,[[21]],[[2]],[[5]],['low holistic'],['right'],['upright'],['U0076.bmp'],['male'],[[4]],['male'],[[1]],[[0.21019792]],SH
2,[[21]],[[3]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[[8]],['female'],[[1]],[[0.21781896]],SH
3,[[21]],[[4]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[[10]],['male'],[[1]],[[1.19479118]],SH
4,[[21]],[[5]],[[3]],['low holistic'],['right'],['inverted'],['U0020.bmp'],['female'],[[10]],['female'],[[1]],[[0.24958334]],SH
5,[[21]],[[6]],[[1]],['low holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[[4]],['female'],[[1]],[[0.32081949]],SH
6,[[21]],[[7]],[[1]],['high holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[[2]],['male'],[[0]],[[0.33221062]],SH
7,[[21]],[[8]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[[2]],['male'],[[1]],[[0.50105697]],SH
8,[[21]],[[9]],[[17]],['high holistic'],['left'],['inverted'],['U0346.bmp'],['male'],[[8]],['female'],[[0]],[[0.80094332]],SH
9,[[21]],[[10]],[[5]],['high holistic'],['left'],['inverted'],['U0076.bmp'],['female'],[[10]],['male'],[[0]],[[0.19516795]],SH
10,[[21]],[[11]],[[4]],['high holistic'],['right'],['upright'],['U0061.bmp'],['female'],[[2]],['female'],[[1]],[[0.11596924]],SH
11,[[21]],[[12]],[[6]],['high holistic'],['right'],['inverted'],['U0106.bmp'],['female'],[[2]],['female'],[[1]],[[0.31951359]],SH
12,[[21]],[[13]],[[1]],['low holistic'],['left'],['inverted'],['U0006.bmp'],['female'],[[2]],['female'],[[1]],[[0.13923061]],SH
13,[[21]],[[14]],[[5]],['high holistic'],['left'],['inverted'],['U0076.bmp'],['female'],[[10]],['male'],[[0]],[[0.21315761]],SH
14,[[21]],[[15]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[[6]],['female'],[[1]],[[0.09269626]],SH
15,[[21]],[[16]],[[14]],['high holistic'],['right'],['inverted'],['U0228.bmp'],['male'],[[12]],['male'],[[1]],[[0.17653342]],SH
16,[[21]],[[17]],[[13]],['high holistic'],['right'],['upright'],['U0181.bmp'],['female'],[[6]],['female'],[[1]],[[0.17719855]],SH
17,[[21]],[[18]],[[15]],['high holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[[12]],['male'],[[1]],[[0.18633648]],SH
18,[[21]],[[19]],[[8]],['high holistic'],['right'],['upright'],['U0137.bmp'],['female'],[[8]],['female'],[[1]],[[0.14863518]],SH
19,[[21]],[[20]],[[4]],['low holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[[10]],['female'],[[1]],[[0.21459497]],SH
20,[[21]],[[21]],[[20]],['high holistic'],['right'],['upright'],['U0362.bmp'],['female'],[[12]],['male'],[[0]],[[9.93646681e-05]],SH
21,[[21]],[[22]],[[2]],['high holistic'],['left'],['inverted'],['U0014.bmp'],['male'],[[4]],['female'],[[0]],[[0.03757048]],SH
22,[[21]],[[23]],[[3]],['low holistic'],['left'],['upright'],['U0020.bmp'],['female'],[[4]],['female'],[[1]],[[0.1182669]],SH
23,[[21]],[[24]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[[12]],['male'],[[1]],[[0.05684512]],SH
24,[[21]],[[25]],[[10]],['low holistic'],['right'],['upright'],['U0159.bmp'],['female'],[[10]],['female'],[[1]],[[0.19868168]],SH
25,[[21]],[[26]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[[8]],['female'],[[1]],[[0.11852112]],SH
26,[[21]],[[27]],[[15]],['low holistic'],['fovea'],['inverted'],['U0312.bmp'],['male'],[[0]],['male'],[[1]],[[0.30552565]],SH
27,[[21]],[[28]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[[2]],['male'],[[1]],[[0.22206088]],SH
28,[[21]],[[29]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[[6]],['male'],[[1]],[[0.31735282]],SH
29,[[21]],[[30]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[[2]],['female'],[[1]],[[0.27959139]],SH
30,[[21]],[[31]],[[14]],['high holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[[2]],['male'],[[1]],[[0.19686171]],SH
31,[[21]],[[32]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[[10]],['female'],[[0]],[[0.11629684]],SH
32,[[21]],[[33]],[[2]],['high holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[[8]],['female'],[[0]],[[0.37619988]],SH
33,[[21]],[[34]],[[9]],['high holistic'],['left'],['upright'],['U0155.bmp'],['female'],[[12]],['male'],[[0]],[[0.27373296]],SH
34,[[21]],[[35]],[[7]],['high holistic'],['right'],['inverted'],['U0107.bmp'],['female'],[[6]],['female'],[[1]],[[0.2798258]],SH
35,[[21]],[[36]],[[1]],['high holistic'],['left'],['inverted'],['U0006.bmp'],['female'],[[8]],['male'],[[0]],[[0.28422597]],SH
