,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[5]],[[1]],[[16]],['low holistic'],['right'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.8081904]],SM
1,[[5]],[[2]],[[12]],['high holistic'],['right'],['upright'],['U0178.bmp'],['male'],[],['male'],[[1]],[[0.11927519]],SM
2,[[5]],[[3]],[[19]],['high holistic'],['left'],['upright'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.03522836]],SM
3,[[5]],[[4]],[[6]],['low holistic'],['right'],['upright'],['U0106.bmp'],['male'],[],['female'],[[0]],[[0.0001705]],SM
4,[[5]],[[5]],[[14]],['high holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[],['male'],[[1]],[[9.97921452e-05]],SM
5,[[5]],[[6]],[[15]],['high holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[],['male'],[[1]],[[2.13919575]],SM
6,[[5]],[[7]],[[6]],['low holistic'],['left'],['upright'],['U0106.bmp'],['male'],[],['female'],[[0]],[[0.09240095]],SM
7,[[5]],[[8]],[[7]],['high holistic'],['right'],['upright'],['U0107.bmp'],['female'],[],['male'],[[0]],[[0.00010031]],SM
8,[[5]],[[9]],[[4]],['low holistic'],['right'],['inverted'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.08853184]],SM
9,[[5]],[[10]],[[16]],['low holistic'],['right'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.0001089]],SM
10,[[5]],[[11]],[[10]],['low holistic'],['left'],['inverted'],['U0159.bmp'],['female'],[],['male'],[[0]],[[0.00602154]],SM
11,[[5]],[[12]],[[13]],['high holistic'],['left'],['inverted'],['U0181.bmp'],['female'],[],['female'],[[1]],[[0.18895174]],SM
12,[[5]],[[13]],[[15]],['high holistic'],['right'],['inverted'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.1018842]],SM
13,[[5]],[[14]],[[12]],['low holistic'],['left'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.16270455]],SM
14,[[5]],[[15]],[[6]],['low holistic'],['right'],['upright'],['U0106.bmp'],['male'],[],['male'],[[1]],[[0.06825059]],SM
15,[[5]],[[16]],[[12]],['low holistic'],['left'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[2.72118066]],SM
16,[[5]],[[17]],[[13]],['low holistic'],['right'],['inverted'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.22133984]],SM
17,[[5]],[[18]],[[10]],['high holistic'],['right'],['inverted'],['U0159.bmp'],['male'],[],['male'],[[1]],[[0.04522079]],SM
18,[[5]],[[19]],[[10]],['low holistic'],['right'],['upright'],['U0159.bmp'],['female'],[],['female'],[[1]],[[0.09867451]],SM
19,[[5]],[[20]],[[14]],['high holistic'],['left'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.3835729]],SM
20,[[5]],[[21]],[[17]],['high holistic'],['right'],['upright'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.19274113]],SM
21,[[5]],[[22]],[[10]],['low holistic'],['left'],['inverted'],['U0159.bmp'],['female'],[],['female'],[[1]],[[0.00103153]],SM
22,[[5]],[[23]],[[4]],['low holistic'],['right'],['inverted'],['U0061.bmp'],['female'],[],['male'],[[0]],[[0.00010011]],SM
23,[[5]],[[24]],[[18]],['low holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[],['female'],[[0]],[[9.91730485e-05]],SM
24,[[5]],[[25]],[[4]],['low holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[],['female'],[[1]],[[2.0322491]],SM
25,[[5]],[[26]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[],['female'],[[0]],[[0.0397444]],SM
26,[[5]],[[27]],[[3]],['high holistic'],['left'],['upright'],['U0020.bmp'],['male'],[],['male'],[[1]],[[0.13394456]],SM
27,[[5]],[[28]],[[16]],['low holistic'],['left'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.00010645]],SM
28,[[5]],[[29]],[[4]],['low holistic'],['right'],['upright'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.16987635]],SM
29,[[5]],[[30]],[[3]],['low holistic'],['right'],['inverted'],['U0020.bmp'],['female'],[],['female'],[[1]],[[0.1933261]],SM
30,[[5]],[[31]],[[7]],['low holistic'],['right'],['upright'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.11604489]],SM
31,[[5]],[[32]],[[14]],['high holistic'],['right'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.00023874]],SM
32,[[5]],[[33]],[[6]],['high holistic'],['right'],['inverted'],['U0106.bmp'],['female'],[],['female'],[[1]],[[0.33567659]],SM
33,[[5]],[[34]],[[11]],['high holistic'],['left'],['upright'],['U0164.bmp'],['female'],[],['male'],[[0]],[[0.00013604]],SM
34,[[5]],[[35]],[[7]],['high holistic'],['left'],['upright'],['U0107.bmp'],['female'],[],['male'],[[0]],[[0.00013812]],SM
35,[[5]],[[36]],[[5]],['low holistic'],['left'],['upright'],['U0076.bmp'],['male'],[],['female'],[[0]],[[0.00023027]],SM
36,[[5]],[[37]],[[19]],['high holistic'],['right'],['upright'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.00021179]],SM
37,[[5]],[[38]],[[11]],['low holistic'],['left'],['upright'],['U0164.bmp'],['female'],[],['female'],[[1]],[[9.96901654e-05]],SM
38,[[5]],[[39]],[[8]],['high holistic'],['left'],['upright'],['U0137.bmp'],['female'],[],['male'],[[0]],[[0.00909432]],SM
39,[[5]],[[40]],[[16]],['high holistic'],['right'],['inverted'],['U0335.bmp'],['female'],[],['female'],[[1]],[[1.6262933]],SM
40,[[5]],[[41]],[[11]],['high holistic'],['left'],['inverted'],['U0164.bmp'],['female'],[],['female'],[[1]],[[0.16808762]],SM
41,[[5]],[[42]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[],['male'],[[0]],[[3.82625948]],SM
42,[[5]],[[43]],[[6]],['low holistic'],['right'],['inverted'],['U0106.bmp'],['male'],[],['male'],[[1]],[[0.00022942]],SM
43,[[5]],[[44]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.25573273]],SM
44,[[5]],[[45]],[[19]],['low holistic'],['right'],['upright'],['U0361.bmp'],['female'],[],['female'],[[1]],[[0.01474331]],SM
45,[[5]],[[46]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.00554498]],SM
46,[[5]],[[47]],[[6]],['low holistic'],['left'],['inverted'],['U0106.bmp'],['male'],[],['male'],[[1]],[[0.10124561]],SM
47,[[5]],[[48]],[[9]],['high holistic'],['left'],['upright'],['U0155.bmp'],['female'],[],['female'],[[1]],[[0.24824132]],SM
48,[[5]],[[49]],[[19]],['high holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.00010724]],SM
49,[[5]],[[50]],[[3]],['low holistic'],['fovea'],['inverted'],['U0020.bmp'],['female'],[],['female'],[[1]],[[0.16044434]],SM
50,[[5]],[[51]],[[17]],['low holistic'],['left'],['upright'],['U0346.bmp'],['female'],[],['female'],[[1]],[[0.08990018]],SM
51,[[5]],[[52]],[[15]],['low holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.10847831]],SM
52,[[5]],[[53]],[[12]],['high holistic'],['left'],['upright'],['U0178.bmp'],['male'],[],['male'],[[1]],[[9.94009897e-05]],SM
53,[[5]],[[54]],[[7]],['low holistic'],['right'],['upright'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.04702813]],SM
54,[[5]],[[55]],[[12]],['high holistic'],['right'],['inverted'],['U0178.bmp'],['male'],[],['male'],[[1]],[[0.15836145]],SM
55,[[5]],[[56]],[[8]],['low holistic'],['right'],['inverted'],['U0137.bmp'],['male'],[],['male'],[[1]],[[0.16666257]],SM
56,[[5]],[[57]],[[8]],['high holistic'],['left'],['upright'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.00010749]],SM
57,[[5]],[[58]],[[10]],['high holistic'],['right'],['inverted'],['U0159.bmp'],['male'],[],['male'],[[1]],[[0.00010659]],SM
58,[[5]],[[59]],[[17]],['high holistic'],['right'],['inverted'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.11246059]],SM
59,[[5]],[[60]],[[12]],['low holistic'],['right'],['upright'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.18018699]],SM
60,[[5]],[[61]],[[6]],['low holistic'],['left'],['inverted'],['U0106.bmp'],['male'],[],['male'],[[1]],[[9.99809708e-05]],SM
61,[[5]],[[62]],[[9]],['low holistic'],['left'],['upright'],['U0155.bmp'],['male'],[],['male'],[[1]],[[0.03596903]],SM
62,[[5]],[[63]],[[13]],['high holistic'],['fovea'],['upright'],['U0181.bmp'],['female'],[],['female'],[[1]],[[0.03356879]],SM
63,[[5]],[[64]],[[15]],['low holistic'],['left'],['upright'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.00010689]],SM
64,[[5]],[[65]],[[9]],['low holistic'],['right'],['upright'],['U0155.bmp'],['male'],[],['male'],[[1]],[[0.00010597]],SM
65,[[5]],[[66]],[[18]],['high holistic'],['left'],['upright'],['U0359.bmp'],['male'],[],['male'],[[1]],[[2.44224861]],SM
66,[[5]],[[67]],[[16]],['low holistic'],['right'],['upright'],['U0335.bmp'],['female'],[],['male'],[[0]],[[3.81546609]],SM
67,[[5]],[[68]],[[8]],['high holistic'],['left'],['inverted'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.07999161]],SM
68,[[5]],[[69]],[[19]],['high holistic'],['right'],['upright'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.01244629]],SM
69,[[5]],[[70]],[[1]],['high holistic'],['left'],['upright'],['U0006.bmp'],['female'],[],['male'],[[0]],[[0.22823987]],SM
