,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[1]],[[1]],[[10]],['high holistic'],['left'],['upright'],['U0159.bmp'],['male'],[[8]],['male'],[[1]],[[0.25507511]],TCB
1,[[1]],[[2]],[[12]],['low holistic'],['right'],['upright'],['U0178.bmp'],['female'],[[6]],['female'],[[1]],[[0.17178984]],TCB
2,[[1]],[[3]],[[8]],['high holistic'],['left'],['inverted'],['U0137.bmp'],['female'],[[8]],['male'],[[0]],[[0.10840546]],TCB
3,[[1]],[[4]],[[19]],['high holistic'],['right'],['upright'],['U0361.bmp'],['female'],[[12]],['female'],[[1]],[[0.12084058]],TCB
4,[[1]],[[5]],[[10]],['low holistic'],['right'],['inverted'],['U0159.bmp'],['female'],[[4]],['female'],[[1]],[[0.00042218]],TCB
5,[[1]],[[6]],[[13]],['high holistic'],['left'],['inverted'],['U0181.bmp'],['female'],[[12]],['male'],[[0]],[[0.31658036]],TCB
6,[[1]],[[7]],[[12]],['high holistic'],['left'],['upright'],['U0178.bmp'],['male'],[[8]],['male'],[[1]],[[0.23096032]],TCB
7,[[1]],[[8]],[[4]],['low holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[[10]],['female'],[[1]],[[0.31914028]],TCB
8,[[1]],[[9]],[[10]],['low holistic'],['left'],['upright'],['U0159.bmp'],['female'],[[2]],['female'],[[1]],[[0.19431371]],TCB
9,[[1]],[[10]],[[17]],['low holistic'],['left'],['inverted'],['U0346.bmp'],['female'],[[2]],['female'],[[1]],[[0.23436165]],TCB
10,[[1]],[[11]],[[16]],['low holistic'],['left'],['upright'],['U0335.bmp'],['female'],[[8]],['female'],[[1]],[[0.13001918]],TCB
11,[[1]],[[12]],[[17]],['high holistic'],['right'],['inverted'],['U0346.bmp'],['male'],[[8]],['male'],[[1]],[[0.36337782]],TCB
12,[[1]],[[13]],[[13]],['high holistic'],['right'],['inverted'],['U0181.bmp'],['female'],[[8]],['female'],[[1]],[[0.34285515]],TCB
13,[[1]],[[14]],[[2]],['high holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[[12]],['male'],[[1]],[[0.28903885]],TCB
14,[[1]],[[15]],[[8]],['low holistic'],['right'],['upright'],['U0137.bmp'],['male'],[[4]],['male'],[[1]],[[0.15758061]],TCB
15,[[1]],[[16]],[[19]],['high holistic'],['left'],['upright'],['U0361.bmp'],['female'],[[8]],['female'],[[1]],[[0.47139356]],TCB
16,[[1]],[[17]],[[18]],['high holistic'],['fovea'],['upright'],['U0359.bmp'],['male'],[[0]],['female'],[[0]],[[0.28470312]],TCB
17,[[1]],[[18]],[[1]],['high holistic'],['left'],['upright'],['U0006.bmp'],['female'],[[12]],['female'],[[1]],[[0.18464347]],TCB
18,[[1]],[[19]],[[9]],['high holistic'],['right'],['inverted'],['U0155.bmp'],['female'],[[12]],['male'],[[0]],[[0.31471115]],TCB
19,[[1]],[[20]],[[14]],['high holistic'],['left'],['upright'],['U0228.bmp'],['male'],[[8]],['male'],[[1]],[[0.41413774]],TCB
20,[[1]],[[21]],[[13]],['low holistic'],['left'],['upright'],['U0181.bmp'],['male'],[[4]],['male'],[[1]],[[0.14057042]],TCB
21,[[1]],[[22]],[[20]],['low holistic'],['left'],['inverted'],['U0362.bmp'],['male'],[[2]],['male'],[[1]],[[0.35128245]],TCB
22,[[1]],[[23]],[[2]],['low holistic'],['left'],['upright'],['U0014.bmp'],['male'],[[8]],['male'],[[1]],[[0.17057197]],TCB
23,[[1]],[[24]],[[5]],['low holistic'],['right'],['upright'],['U0076.bmp'],['male'],[[10]],['male'],[[1]],[[0.45872742]],TCB
24,[[1]],[[25]],[[5]],['low holistic'],['right'],['inverted'],['U0076.bmp'],['male'],[[12]],['male'],[[1]],[[0.15356423]],TCB
25,[[1]],[[26]],[[19]],['low holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[[12]],['female'],[[1]],[[0.56329469]],TCB
26,[[1]],[[27]],[[5]],['low holistic'],['right'],['inverted'],['U0076.bmp'],['male'],[[8]],['male'],[[1]],[[0.22910703]],TCB
27,[[1]],[[28]],[[20]],['low holistic'],['left'],['upright'],['U0362.bmp'],['male'],[[6]],['male'],[[1]],[[0.06810449]],TCB
28,[[1]],[[29]],[[7]],['high holistic'],['right'],['upright'],['U0107.bmp'],['female'],[[8]],['female'],[[1]],[[0.00012339]],TCB
29,[[1]],[[30]],[[3]],['high holistic'],['left'],['upright'],['U0020.bmp'],['male'],[[12]],['male'],[[1]],[[0.19322135]],TCB
30,[[1]],[[31]],[[10]],['high holistic'],['right'],['upright'],['U0159.bmp'],['male'],[[8]],['male'],[[1]],[[0.04151247]],TCB
31,[[1]],[[32]],[[5]],['high holistic'],['fovea'],['inverted'],['U0076.bmp'],['female'],[[0]],['male'],[[0]],[[0.17725828]],TCB
32,[[1]],[[33]],[[6]],['low holistic'],['left'],['upright'],['U0106.bmp'],['male'],[[10]],['male'],[[1]],[[0.09714299]],TCB
33,[[1]],[[34]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[[12]],['male'],[[1]],[[0.07060508]],TCB
34,[[1]],[[35]],[[10]],['high holistic'],['left'],['upright'],['U0159.bmp'],['male'],[[2]],['male'],[[1]],[[0.07474499]],TCB
35,[[1]],[[36]],[[7]],['low holistic'],['right'],['upright'],['U0107.bmp'],['female'],[[6]],['female'],[[1]],[[0.08047022]],TCB
36,[[1]],[[37]],[[13]],['high holistic'],['left'],['inverted'],['U0181.bmp'],['female'],[[8]],['female'],[[1]],[[0.14139081]],TCB
37,[[1]],[[38]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[[2]],['male'],[[1]],[[0.18311516]],TCB
38,[[1]],[[39]],[[17]],['high holistic'],['right'],['inverted'],['U0346.bmp'],['male'],[[12]],['male'],[[1]],[[0.04916355]],TCB
39,[[1]],[[40]],[[16]],['high holistic'],['left'],['inverted'],['U0335.bmp'],['female'],[[10]],['male'],[[0]],[[0.11876259]],TCB
40,[[1]],[[41]],[[9]],['high holistic'],['left'],['inverted'],['U0155.bmp'],['female'],[[12]],['male'],[[0]],[[0.37869399]],TCB
41,[[1]],[[42]],[[17]],['high holistic'],['right'],['upright'],['U0346.bmp'],['male'],[[12]],['male'],[[1]],[[0.23608107]],TCB
42,[[1]],[[43]],[[6]],['high holistic'],['left'],['inverted'],['U0106.bmp'],['female'],[[10]],['female'],[[1]],[[0.32172363]],TCB
43,[[1]],[[44]],[[17]],['low holistic'],['right'],['inverted'],['U0346.bmp'],['female'],[[4]],['female'],[[1]],[[0.00554639]],TCB
44,[[1]],[[45]],[[20]],['low holistic'],['left'],['inverted'],['U0362.bmp'],['male'],[[8]],['male'],[[1]],[[0.00045335]],TCB
45,[[1]],[[46]],[[1]],['high holistic'],['right'],['upright'],['U0006.bmp'],['female'],[[4]],['female'],[[1]],[[0.00017537]],TCB
46,[[1]],[[47]],[[18]],['low holistic'],['left'],['upright'],['U0359.bmp'],['male'],[[6]],['male'],[[1]],[[0.00013129]],TCB
47,[[1]],[[48]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[[10]],['female'],[[0]],[[0.3248919]],TCB
48,[[1]],[[49]],[[3]],['high holistic'],['right'],['upright'],['U0020.bmp'],['male'],[[6]],['male'],[[1]],[[0.00028502]],TCB
49,[[1]],[[50]],[[17]],['low holistic'],['left'],['upright'],['U0346.bmp'],['female'],[[4]],['male'],[[0]],[[0.77669263]],TCB
50,[[1]],[[51]],[[2]],['low holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[[4]],['male'],[[1]],[[0.08910689]],TCB
51,[[1]],[[52]],[[19]],['high holistic'],['left'],['inverted'],['U0361.bmp'],['female'],[[12]],['male'],[[0]],[[0.09471313]],TCB
52,[[1]],[[53]],[[10]],['low holistic'],['right'],['inverted'],['U0159.bmp'],['female'],[[12]],['female'],[[1]],[[0.00025727]],TCB
53,[[1]],[[54]],[[13]],['high holistic'],['right'],['inverted'],['U0181.bmp'],['female'],[[4]],['female'],[[1]],[[0.10679624]],TCB
54,[[1]],[[55]],[[15]],['low holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[[6]],['male'],[[1]],[[0.00011892]],TCB
55,[[1]],[[56]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[[4]],['male'],[[1]],[[0.0137068]],TCB
56,[[1]],[[57]],[[5]],['high holistic'],['left'],['upright'],['U0076.bmp'],['female'],[[8]],['female'],[[1]],[[0.04453112]],TCB
57,[[1]],[[58]],[[1]],['low holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[[12]],['female'],[[1]],[[0.05990766]],TCB
58,[[1]],[[59]],[[11]],['high holistic'],['left'],['upright'],['U0164.bmp'],['female'],[[8]],['female'],[[1]],[[0.22702858]],TCB
59,[[1]],[[60]],[[5]],['high holistic'],['right'],['inverted'],['U0076.bmp'],['female'],[[12]],['male'],[[0]],[[0.12805052]],TCB
60,[[1]],[[61]],[[17]],['low holistic'],['right'],['upright'],['U0346.bmp'],['female'],[[6]],['female'],[[1]],[[0.10026922]],TCB
