,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[3]],[[1]],[[9]],['low holistic'],['right'],['upright'],['U0155.bmp'],['male'],[[4]],['male'],[[1]],[[2.00316225]],TM
1,[[3]],[[2]],[[15]],['high holistic'],['left'],['upright'],['U0312.bmp'],['male'],[[12]],['male'],[[1]],[[0.25769698]],TM
2,[[3]],[[3]],[[13]],['high holistic'],['left'],['inverted'],['U0181.bmp'],['female'],[[2]],['male'],[[0]],[[0.95923252]],TM
3,[[3]],[[4]],[[13]],['high holistic'],['right'],['upright'],['U0181.bmp'],['female'],[[12]],['male'],[[0]],[[0.36101429]],TM
4,[[3]],[[5]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[[4]],['male'],[[1]],[[0.49121513]],TM
5,[[3]],[[6]],[[8]],['high holistic'],['right'],['inverted'],['U0137.bmp'],['female'],[[10]],['male'],[[0]],[[1.78492189]],TM
6,[[3]],[[7]],[[19]],['low holistic'],['left'],['inverted'],['U0361.bmp'],['female'],[[2]],['male'],[[0]],[[0.25726441]],TM
7,[[3]],[[8]],[[2]],['low holistic'],['right'],['upright'],['U0014.bmp'],['male'],[[4]],['male'],[[1]],[[0.19953287]],TM
8,[[3]],[[9]],[[6]],['low holistic'],['right'],['upright'],['U0106.bmp'],['male'],[[12]],['male'],[[1]],[[0.19105847]],TM
9,[[3]],[[10]],[[20]],['high holistic'],['left'],['inverted'],['U0362.bmp'],['female'],[[4]],['female'],[[1]],[[27.61719994]],TM
10,[[3]],[[11]],[[11]],['high holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[[12]],['male'],[[0]],[[3.59036428]],TM
11,[[3]],[[12]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[[2]],['male'],[[1]],[[0.23882384]],TM
12,[[3]],[[13]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[[10]],['male'],[[1]],[[0.42105282]],TM
