,SUBJECTID,mTurkCode,TRIALNUM,IMAGE_NUMBER,RAW_ANSWER,IS_TRAP
0,1.0,9175056,,1.0,Female,no
1,1.0,9175056,,2.0,Female,no
2,1.0,9175056,,3.0,Female,no
3,1.0,9175056,,4.0,Female,no
4,1.0,9175056,,5.0,Female,no
5,1.0,9175056,,6.0,Male,no
6,1.0,9175056,,7.0,Female,no
7,1.0,9175056,,8.0,Male,no
8,1.0,9175056,,9.0,Male,no
9,1.0,9175056,,10.0,Male,no
10,1.0,9175056,,11.0,Male,no
11,1.0,9175056,,12.0,Female,no
12,1.0,9175056,,13.0,Male,no
13,1.0,9175056,,14.0,Male,no
14,1.0,9175056,,15.0,Female,no
15,1.0,9175056,,16.0,Female,no
16,1.0,9175056,,17.0,Female,no
17,1.0,9175056,,18.0,Male,no
18,1.0,9175056,,19.0,Female,no
19,1.0,9175056,,20.0,Female,no
20,1.0,9175056,,21.0,Female,no
21,1.0,9175056,,22.0,Male,no
22,1.0,9175056,,23.0,Female,no
23,1.0,9175056,,24.0,Female,no
24,1.0,9175056,,25.0,Male,no
25,1.0,9175056,,26.0,Male,no
26,1.0,9175056,,27.0,Male,no
27,1.0,9175056,,28.0,Male,no
28,1.0,9175056,,29.0,Male,no
29,1.0,9175056,,30.0,Male,no
30,1.0,9175056,,31.0,Male,no
31,1.0,9175056,,32.0,Male,no
32,1.0,9175056,,33.0,Male,no
33,1.0,9175056,,34.0,Male,no
34,1.0,9175056,,35.0,Male,no
35,1.0,9175056,,36.0,Male,no
36,1.0,9175056,,37.0,Male,no
37,1.0,9175056,,38.0,Male,no
38,1.0,9175056,,39.0,Male,no
39,1.0,9175056,,40.0,Female,no
40,1.0,9175056,,41.0,Female,no
41,1.0,9175056,,42.0,Male,no
42,1.0,9175056,,43.0,Female,no
43,1.0,9175056,,44.0,Male,no
44,1.0,9175056,,45.0,Male,no
45,1.0,9175056,,46.0,Female,no
46,1.0,9175056,,47.0,Male,no
47,1.0,9175056,,48.0,Male,no
48,1.0,9175056,,49.0,Female,no
49,1.0,9175056,,50.0,Male,no
50,1.0,9175056,,51.0,Female,no
51,1.0,9175056,,52.0,Female,no
52,1.0,9175056,,53.0,Female,no
53,1.0,9175056,,54.0,Female,no
54,1.0,9175056,,55.0,Female,no
55,1.0,9175056,,56.0,Male,no
56,1.0,9175056,,57.0,Female,no
57,1.0,9175056,,58.0,Female,no
58,1.0,9175056,,59.0,Female,no
59,1.0,9175056,,60.0,Male,no
60,1.0,9175056,,61.0,Female,no
61,1.0,9175056,,62.0,Female,no
62,1.0,9175056,,63.0,Female,no
63,1.0,9175056,,64.0,Female,no
64,1.0,9175056,,65.0,Female,no
65,1.0,9175056,,66.0,Female,no
66,1.0,9175056,,67.0,Male,no
67,1.0,9175056,,68.0,Female,no
68,1.0,9175056,,69.0,Male,no
69,1.0,9175056,,70.0,Male,no
70,1.0,9175056,,71.0,Male,no
71,1.0,9175056,,72.0,Male,no
72,1.0,9175056,,73.0,Female,no
73,1.0,9175056,,74.0,Female,no
74,1.0,9175056,,75.0,Male,no
75,1.0,9175056,,76.0,Female,no
76,1.0,9175056,,77.0,Male,no
77,1.0,9175056,,78.0,Female,no
78,1.0,9175056,,79.0,Female,no
79,1.0,9175056,,80.0,Female,no
80,1.0,9175056,,81.0,Female,no
81,1.0,9175056,,82.0,Male,no
82,1.0,9175056,,83.0,Female,no
83,1.0,9175056,,84.0,Female,no
84,1.0,9175056,,85.0,Female,no
85,1.0,9175056,,86.0,Female,no
86,1.0,9175056,,87.0,Female,no
87,1.0,9175056,,88.0,Male,no
88,1.0,9175056,,89.0,Male,no
89,1.0,9175056,,90.0,Male,no
90,1.0,9175056,,91.0,Female,no
91,1.0,9175056,,92.0,Male,no
92,1.0,9175056,,93.0,Female,no
