,SUBJECTID,mTurkCode,TRIALNUM,IMAGE_NUMBER,RAW_ANSWER,RAW_ANSWER
0,1.0,9175056,,1.0,Female,Female
1,1.0,9175056,,2.0,Female,Female
2,1.0,9175056,,3.0,Female,Female
3,1.0,9175056,,4.0,Female,Female
4,1.0,9175056,,5.0,Female,Female
5,1.0,9175056,,6.0,Male,Male
6,1.0,9175056,,7.0,Female,Female
7,1.0,9175056,,8.0,Male,Male
8,1.0,9175056,,9.0,Male,Male
9,1.0,9175056,,10.0,Male,Male
10,1.0,9175056,,11.0,Male,Male
11,1.0,9175056,,12.0,Female,Female
12,1.0,9175056,,13.0,Male,Male
13,1.0,9175056,,14.0,Male,Male
14,1.0,9175056,,15.0,Female,Female
15,1.0,9175056,,16.0,Female,Female
16,1.0,9175056,,17.0,Female,Female
17,1.0,9175056,,18.0,Male,Male
18,1.0,9175056,,19.0,Female,Female
19,1.0,9175056,,20.0,Female,Female
20,1.0,9175056,,21.0,Female,Female
21,1.0,9175056,,22.0,Male,Male
22,1.0,9175056,,23.0,Female,Female
23,1.0,9175056,,24.0,Female,Female
24,1.0,9175056,,25.0,Male,Male
25,1.0,9175056,,26.0,Male,Male
26,1.0,9175056,,27.0,Male,Male
27,1.0,9175056,,28.0,Male,Male
28,1.0,9175056,,29.0,Male,Male
29,1.0,9175056,,30.0,Male,Male
30,1.0,9175056,,31.0,Male,Male
31,1.0,9175056,,32.0,Male,Male
32,1.0,9175056,,33.0,Male,Male
33,1.0,9175056,,34.0,Male,Male
34,1.0,9175056,,35.0,Male,Male
35,1.0,9175056,,36.0,Male,Male
36,1.0,9175056,,37.0,Male,Male
37,1.0,9175056,,38.0,Male,Male
38,1.0,9175056,,39.0,Male,Male
39,1.0,9175056,,40.0,Female,Female
40,1.0,9175056,,41.0,Female,Female
41,1.0,9175056,,42.0,Male,Male
42,1.0,9175056,,43.0,Female,Female
43,1.0,9175056,,44.0,Male,Male
44,1.0,9175056,,45.0,Male,Male
45,1.0,9175056,,46.0,Female,Female
46,1.0,9175056,,47.0,Male,Male
47,1.0,9175056,,48.0,Male,Male
48,1.0,9175056,,49.0,Female,Female
49,1.0,9175056,,50.0,Male,Male
50,1.0,9175056,,51.0,Female,Female
51,1.0,9175056,,52.0,Female,Female
52,1.0,9175056,,53.0,Female,Female
53,1.0,9175056,,54.0,Female,Female
54,1.0,9175056,,55.0,Female,Female
55,1.0,9175056,,56.0,Male,Male
56,1.0,9175056,,57.0,Female,Female
57,1.0,9175056,,58.0,Female,Female
58,1.0,9175056,,59.0,Female,Female
