,IMAGE_NUMBER,REAL_NAME,MALE,FEMALE,SELECT,PAPER,PAPER_NUMBER,CORRECT
0,1.0,U0001.bmp,10.0,90.0,Select,No,,Female
1,2.0,U0003.bmp,0,100.0,Select,No,,Female
3,4.0,U0006.bmp,10.0,90.0,Select,Yes,2,Female
4,5.0,U0009.bmp,0,100.0,Select,Yes,3,Female
6,7.0,U0011.bmp,5.0,95.0,Select,Yes,5,Female
7,8.0,U0012.bmp,95.0,5.0,Select,Yes,6,Male
8,9.0,U0014.bmp,95.0,5.0,Select,Yes,7,Male
10,11.0,U0017.bmp,100.0,0,Select,No,,Male
11,12.0,U0018.bmp,0,100.0,Select,No,,Female
12,13.0,U0019.bmp,90.0,10.0,Select,No,,Male
13,14.0,U0020.bmp,90.0,10.0,Select,No,,Male
14,15.0,U0023.bmp,0,100.0,Select,No,,Female
15,16.0,U0024.bmp,10.0,90.0,Select,Yes,9,Female
16,17.0,U0025.bmp,0,100.0,Select,No,,Female
18,19.0,U0027.bmp,0,100.0,Select,No,,Female
20,21.0,U0030.bmp,10.0,90.0,Select,Yes,11,Female
21,22.0,U0031.bmp,100.0,0,Select,No,,Male
23,24.0,U0034.bmp,0,100.0,Select,Yes,13,Female
24,25.0,U0036.bmp,100.0,0,Select,No,,Male
25,26.0,U0037.bmp,100.0,0,Select,No,,Male
26,27.0,U0038.bmp,100.0,0,Select,Yes,14,Male
27,28.0,U0039.bmp,95.0,5.0,Select,No,,Male
30,31.0,U0046.bmp,100.0,0,Select,Yes,17,Male
32,33.0,U0048.bmp,95.0,5.0,Select,No,,Male
33,34.0,U0049.bmp,95.0,5.0,Select,No,,Male
34,35.0,U0050.bmp,100.0,0,Select,No,,Male
35,36.0,U0052.bmp,100.0,0,Select,No,,Male
37,38.0,U0058.bmp,100.0,0,Select,No,,Male
39,40.0,U0061.bmp,0,100.0,Select,Yes,20,Female
40,41.0,U0064.bmp,0,100.0,Select,No,,Female
41,42.0,U0068.bmp,90.0,10.0,Select,Yes,21,Male
42,43.0,U0069.bmp,0,100.0,Select,No,,Female
43,44.0,U0071.bmp,95.0,5.0,Select,No,,Male
46,47.0,U0074.bmp,100.0,0,Select,Yes,24,Male
47,48.0,U0075.bmp,95.0,5.0,Select,No,,Male
48,49.0,U0076.bmp,0,100.0,Select,No,,Female
50,51.0,U0079.bmp,0,100.0,Select,No,,Female
51,52.0,U0080.bmp,5.0,95.0,Select,No,,Female
52,53.0,U0084.bmp,95.0,5.0,Select,No,,Male
53,54.0,U0086.bmp,0,100.0,Select,Yes,26,Female
55,56.0,U0090.bmp,95.0,5.0,Select,No,,Male
58,59.0,U0095.bmp,10.0,90.0,Select,No,,Female
59,60.0,U0096.bmp,95.0,5.0,Select,Yes,29,Male
60,61.0,U0097.bmp,0,100.0,Select,No,,Female
61,62.0,U0101.bmp,90.0,10.0,Select,No,,Male
63,64.0,U0106.bmp,5.0,95.0,Select,No,,Female
64,65.0,U0107.bmp,10.0,90.0,Select,Yes,31,Female
65,66.0,U0108.bmp,0,100.0,Select,No,,Female
66,67.0,U0110.bmp,95.0,5.0,Select,No,,Male
67,68.0,U0114.bmp,0,100.0,Select,No,,Female
68,69.0,U0117.bmp,95.0,5.0,Select,No,,Male
70,71.0,U0121.bmp,95.0,5.0,Select,Yes,33,Male
71,72.0,U0122.bmp,95.0,5.0,Select,Yes,34,Male
72,73.0,U0123.bmp,0,100.0,Select,Yes,35,Female
73,74.0,U0124.bmp,5.0,95.0,Select,No,,Female
74,75.0,U0125.bmp,100.0,0,Select,No,,Male
75,76.0,U0126.bmp,10.0,90.0,Select,No,,Female
76,77.0,U0128.bmp,95.0,5.0,Select,No,,Male
79,80.0,U0133.bmp,10.0,90.0,Select,No,,Female
80,81.0,U0134.bmp,10.0,90.0,Select,Yes,38,Female
81,82.0,U0136.bmp,95.0,5.0,Select,No,,Male
82,83.0,U0137.bmp,10.0,90.0,Select,No,,Female
85,86.0,U0140.bmp,0,100.0,Select,No,,Female
86,87.0,U0141.bmp,0,100.0,Select,No,,Female
87,88.0,U0142.bmp,95.0,5.0,Select,No,,Male
88,89.0,U0144.bmp,95.0,5.0,Select,No,,Male
90,91.0,U0146.bmp,5.0,95.0,Select,No,,Female
91,92.0,U0149.bmp,90.0,10.0,Select,No,,Male
92,93.0,U0152.bmp,5.0,95.0,Select,No,,Female
93,94.0,U0153.bmp,95.0,5.0,Select,No,,Male
94,95.0,U0155.bmp,5.0,95.0,Select,No,,Female
95,96.0,U0156.bmp,5.0,95.0,Select,No,,Female
96,97.0,U0157.bmp,95.0,5.0,Select,No,,Male
97,98.0,U0158.bmp,100.0,0,Select,No,,Male
98,99.0,U0159.bmp,100.0,0,Select,No,,Male
99,100.0,U0160.bmp,5.0,95.0,Select,No,,Female
100,101.0,U0164.bmp,5.0,95.0,Select,No,,Female
102,103.0,U0166.bmp,95.0,5.0,Select,No,,Male
104,105.0,U0171.bmp,100.0,0,Select,No,,Male
105,106.0,U0173.bmp,10.0,90.0,Select,Yes,43,Female
106,107.0,U0175.bmp,100.0,0,Select,No,,Male
107,108.0,U0178.bmp,100.0,0,Select,Yes,44,Male
109,110.0,U0181.bmp,5.0,95.0,Select,No,,Female
117,118.0,U0193.bmp,5.0,95.0,Select,Yes,51,Female
118,119.0,U0194.bmp,5.0,95.0,Select,No,,Female
120,121.0,U0197.bmp,100.0,0,Select,Yes,53,Male
121,122.0,U0198.bmp,95.0,5.0,Select,No,,Male
122,123.0,U0199.bmp,100.0,0,Select,No,,Male
123,124.0,U0204.bmp,5.0,95.0,Select,No,,Female
124,125.0,U0206.bmp,5.0,95.0,Select,No,,Female
125,126.0,U0207.bmp,100.0,0,Select,Yes,54,Male
126,127.0,U0208.bmp,0,100.0,Select,No,,Female
128,129.0,U0210.bmp,5.0,95.0,Select,No,,Female
129,130.0,U0211.bmp,90.0,10.0,Select,No,,Male
130,131.0,U0214.bmp,5.0,95.0,Select,Yes,55,Female
132,133.0,U0217.bmp,95.0,5.0,Select,Yes,56,Male
133,134.0,U0219.bmp,0,100.0,Select,No,,Female
134,135.0,U0220.bmp,0,100.0,Select,No,,Female
135,136.0,U0222.bmp,100.0,0,Select,No,,Male
136,137.0,U0223.bmp,100.0,0,Select,No,,Male
137,138.0,U0225.bmp,0,100.0,Select,No,,Female
138,139.0,U0228.bmp,100.0,0,Select,Yes,57,Male
139,140.0,U0229.bmp,0,100.0,Select,No,,Female
141,142.0,U0231.bmp,5.0,95.0,Select,No,,Female
