,MOONEYID,REAL_NAME,PAPER,PAPER_NUMBER,MEAN_HOLISTIC,CI_LOWER_HOLISTIC,CI_UPPER_HOLISTIC,MEAN_UPRIGHT,CI_LOWER_UPRIGHT,CI_UPPER_UPRIGHT,MEAN_INVERTED,CI_LOWER_INVERTED,CI_UPPER_INVERTED
2,4.0,U0006.bmp,yes,2,0.3,0.07995726716182577,0.5200427566800321,0.85,0.6785440920553543,1.0214559556283616,0.55,0.3111171472205054,0.7888828766213525
3,5.0,U0009.bmp,yes,3,0.15,-0.0790277632623281,0.37902777518325703,0.95,0.8453487866117306,1.0546511895464115,0.8,0.6079309429266859,0.992069080915172
4,7.0,U0011.bmp,yes,5,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
5,8.0,U0012.bmp,yes,6,0.3,0.07995726716182577,0.5200427566800321,0.95,0.8453487866117306,1.0546511895464115,0.65,0.42097222088326575,0.8790277314330184
6,9.0,U0014.bmp,yes,7,0.4,0.1200136364031501,0.6799863755177789,0.95,0.8453487866117306,1.0546511895464115,0.55,0.3111171472205054,0.7888828766213525
12,16.0,U0024.bmp,yes,9,0.3,0.03265120764841467,0.5673488161934432,0.9,0.755948184873397,1.044051767442887,0.6,0.364764427650213,0.8352356200335028
15,21.0,U0030.bmp,yes,11,0.2,-0.044840965197001204,0.4448409711574657,0.95,0.8453487866117306,1.0546511895464115,0.75,0.5420791381671293,0.9579208618328707
17,24.0,U0034.bmp,yes,13,0.1,-0.10930240144456471,0.30930240442479695,0.95,0.8453487866117306,1.0546511895464115,0.85,0.6785440920553543,1.0214559556283616
20,27.0,U0038.bmp,yes,14,0.2,-0.08810357958925791,0.4881035855497224,0.8,0.6079309429266859,0.992069080915172,0.6,0.364764427650213,0.8352356200335028
22,31.0,U0046.bmp,yes,17,0.15,-0.0790277632623281,0.37902777518325703,0.95,0.8453487866117306,1.0546511895464115,0.8,0.6079309429266859,0.992069080915172
28,40.0,U0061.bmp,yes,20,0.4,0.16476440976881956,0.6352356021521094,1.0,1.0,1.0,0.6,0.364764427650213,0.8352356200335028
30,42.0,U0068.bmp,yes,21,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
33,47.0,U0074.bmp,yes,24,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
39,54.0,U0086.bmp,yes,26,0.15,-0.0790277632623281,0.37902777518325703,0.95,0.8453487866117306,1.0546511895464115,0.8,0.6079309429266859,0.992069080915172
42,60.0,U0096.bmp,yes,29,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
46,65.0,U0107.bmp,yes,31,0.5,0.21592602621877177,0.7840739737812282,0.9,0.755948184873397,1.044051767442887,0.4,0.16476440976881956,0.6352356021521094
51,71.0,U0121.bmp,yes,33,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
52,72.0,U0122.bmp,yes,34,0.15,-0.0790277632623281,0.37902777518325703,0.95,0.8453487866117306,1.0546511895464115,0.8,0.6079309429266859,0.992069080915172
53,73.0,U0123.bmp,yes,35,0.25,0.04207913816712927,0.45792086183287073,0.95,0.8453487866117306,1.0546511895464115,0.7,0.47995722937205165,0.9200427467860904
59,81.0,U0134.bmp,yes,38,-0.05,-0.15465120221239848,0.054651200722282356,0.95,0.8453487866117306,1.0546511895464115,1.0,1.0,1.0
79,106.0,U0173.bmp,yes,43,0.1,-0.10930240144456471,0.30930240442479695,0.95,0.8453487866117306,1.0546511895464115,0.85,0.6785440920553543,1.0214559556283616
81,108.0,U0178.bmp,yes,44,0.5,0.2599136811920915,0.7400863188079085,1.0,1.0,1.0,0.5,0.2599136811920915,0.7400863188079085
83,118.0,U0193.bmp,yes,51,0.25,0.04207913816712927,0.45792086183287073,0.95,0.8453487866117306,1.0546511895464115,0.7,0.47995724331996786,0.9200427328381742
85,121.0,U0197.bmp,yes,53,-0.05,-0.15465120221239848,0.054651200722282356,0.95,0.8453487866117306,1.0546511895464115,1.0,1.0,1.0
90,126.0,U0207.bmp,yes,54,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
94,131.0,U0214.bmp,yes,55,0.25,-0.00746391604583263,0.5074639160458326,0.95,0.8453487866117306,1.0546511895464115,0.7,0.47995722937205165,0.9200427467860904
95,133.0,U0217.bmp,yes,56,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
101,139.0,U0228.bmp,yes,57,0.3,0.07995726716182577,0.5200427566800321,1.0,1.0,1.0,0.7,0.47995724331996786,0.9200427328381742
