,MOONEYID,REAL_NAME,PAPER,PAPER_NUMBER,MEAN_HOLISTIC,CI_LOWER_HOLISTIC,CI_UPPER_HOLISTIC,MEAN_UPRIGHT,CI_LOWER_UPRIGHT,CI_UPPER_UPRIGHT,MEAN_INVERTED,CI_LOWER_INVERTED,CI_UPPER_INVERTED
0,1.0,U0001.bmp,no,,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
1,2.0,U0003.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
2,4.0,U0006.bmp,yes,2,0.3,0.07995726716182577,0.5200427566800321,0.85,0.6785440920553543,1.0214559556283616,0.55,0.3111171472205054,0.7888828766213525
3,5.0,U0009.bmp,yes,3,0.15,-0.0790277632623281,0.37902777518325703,0.95,0.8453487866117306,1.0546511895464115,0.8,0.6079309429266859,0.992069080915172
4,7.0,U0011.bmp,yes,5,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
5,8.0,U0012.bmp,yes,6,0.3,0.07995726716182577,0.5200427566800321,0.95,0.8453487866117306,1.0546511895464115,0.65,0.42097222088326575,0.8790277314330184
6,9.0,U0014.bmp,yes,7,0.4,0.1200136364031501,0.6799863755177789,0.95,0.8453487866117306,1.0546511895464115,0.55,0.3111171472205054,0.7888828766213525
7,11.0,U0017.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
8,12.0,U0018.bmp,no,,0.05,-0.13441379627437255,0.23441379776448867,0.95,0.8453487866117306,1.0546511895464115,0.9,0.755948184873397,1.044051767442887
9,13.0,U0019.bmp,no,,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
10,14.0,U0020.bmp,no,,0.35,0.07520863746251383,0.6247913506165572,0.95,0.8453487866117306,1.0546511895464115,0.6,0.3647644555460454,0.8352355921376704
11,15.0,U0023.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
12,16.0,U0024.bmp,yes,9,0.3,0.03265120764841467,0.5673488161934432,0.9,0.755948184873397,1.044051767442887,0.6,0.364764427650213,0.8352356200335028
13,17.0,U0025.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
14,19.0,U0027.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
15,21.0,U0030.bmp,yes,11,0.2,-0.044840965197001204,0.4448409711574657,0.95,0.8453487866117306,1.0546511895464115,0.75,0.5420791381671293,0.9579208618328707
16,22.0,U0031.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
17,24.0,U0034.bmp,yes,13,0.1,-0.10930240144456471,0.30930240442479695,0.95,0.8453487866117306,1.0546511895464115,0.85,0.6785440920553543,1.0214559556283616
18,25.0,U0036.bmp,no,,0.0,-0.15184392021352983,0.15184392021352983,0.95,0.8453487866117306,1.0546511895464115,0.95,0.8453487866117306,1.0546511895464115
19,26.0,U0037.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
20,27.0,U0038.bmp,yes,14,0.2,-0.08810357958925791,0.4881035855497224,0.8,0.6079309429266859,0.992069080915172,0.6,0.364764427650213,0.8352356200335028
21,28.0,U0039.bmp,no,,0.25,-0.00746391604583263,0.5074639160458326,0.95,0.8453487866117306,1.0546511895464115,0.7,0.47995724331996786,0.9200427328381742
22,31.0,U0046.bmp,yes,17,0.15,-0.0790277632623281,0.37902777518325703,0.95,0.8453487866117306,1.0546511895464115,0.8,0.6079309429266859,0.992069080915172
23,33.0,U0048.bmp,no,,-0.05,-0.23441381171240488,0.13441381022228877,0.9,0.755948184873397,1.044051767442887,0.95,0.8453487866117306,1.0546511895464115
24,34.0,U0049.bmp,no,,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
25,35.0,U0050.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
26,36.0,U0052.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
27,38.0,U0058.bmp,no,,0.05,-0.13441379627437255,0.23441379776448867,0.95,0.8453487866117306,1.0546511895464115,0.9,0.755948184873397,1.044051767442887
28,40.0,U0061.bmp,yes,20,0.4,0.16476440976881956,0.6352356021521094,1.0,1.0,1.0,0.6,0.364764427650213,0.8352356200335028
29,41.0,U0064.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
30,42.0,U0068.bmp,yes,21,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
31,43.0,U0069.bmp,no,,0.25,0.04207913816712927,0.45792086183287073,1.0,1.0,1.0,0.75,0.5420791381671293,0.9579208618328707
32,44.0,U0071.bmp,no,,0.05,-0.13441379627437255,0.23441379776448867,0.95,0.8453487866117306,1.0546511895464115,0.9,0.755948184873397,1.044051767442887
33,47.0,U0074.bmp,yes,24,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
34,48.0,U0075.bmp,no,,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
35,49.0,U0076.bmp,no,,0.3,0.07995726716182577,0.5200427566800321,1.0,1.0,1.0,0.7,0.47995724331996786,0.9200427328381742
36,51.0,U0079.bmp,no,,0.25,0.04207913816712927,0.45792086183287073,1.0,1.0,1.0,0.75,0.5420791381671293,0.9579208618328707
37,52.0,U0080.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
38,53.0,U0084.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
39,54.0,U0086.bmp,yes,26,0.15,-0.0790277632623281,0.37902777518325703,0.95,0.8453487866117306,1.0546511895464115,0.8,0.6079309429266859,0.992069080915172
40,56.0,U0090.bmp,no,,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
41,59.0,U0095.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
42,60.0,U0096.bmp,yes,29,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
43,61.0,U0097.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
44,62.0,U0101.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
45,64.0,U0106.bmp,no,,0.35,0.12097223876465918,0.5790277493144118,1.0,1.0,1.0,0.65,0.42097222088326575,0.8790277314330184
46,65.0,U0107.bmp,yes,31,0.5,0.21592602621877177,0.7840739737812282,0.9,0.755948184873397,1.044051767442887,0.4,0.16476440976881956,0.6352356021521094
47,66.0,U0108.bmp,no,,0.1,-0.10930240144456471,0.30930240442479695,0.95,0.8453487866117306,1.0546511895464115,0.85,0.6785440920553543,1.0214559556283616
48,67.0,U0110.bmp,no,,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
