,MOONEYID,REAL_NAME,PAPER,PAPER_NUMBER,MEAN_HOLISTIC,CI_LOWER_HOLISTIC,CI_UPPER_HOLISTIC,MEAN_UPRIGHT,CI_LOWER_UPRIGHT,CI_UPPER_UPRIGHT,MEAN_INVERTED,CI_LOWER_INVERTED,CI_UPPER_INVERTED
2,4.0,U0006.bmp,yes,2,0.3,0.07995726716182577,0.5200427566800321,0.85,0.6785440920553543,1.0214559556283616,0.55,0.3111171472205054,0.7888828766213525
70,95.0,U0155.bmp,no,,0.3,0.07995726716182577,0.5200427566800321,1.0,1.0,1.0,0.7,0.47995724331996786,0.9200427328381742
35,49.0,U0076.bmp,no,,0.3,0.07995726716182577,0.5200427566800321,1.0,1.0,1.0,0.7,0.47995724331996786,0.9200427328381742
163,213.0,U0362.bmp,no,,0.3,0.07995726716182577,0.5200427566800321,1.0,1.0,1.0,0.7,0.47995724331996786,0.9200427328381742
101,139.0,U0228.bmp,yes,57,0.3,0.07995726716182577,0.5200427566800321,1.0,1.0,1.0,0.7,0.47995724331996786,0.9200427328381742
74,99.0,U0159.bmp,no,,0.3,0.07995726716182577,0.5200427566800321,1.0,1.0,1.0,0.7,0.47995724331996786,0.9200427328381742
156,206.0,U0346.bmp,no,,0.3,-0.007460488781747043,0.607460512623605,0.85,0.6785440920553543,1.0214559556283616,0.55,0.3111171472205054,0.7888828766213525
161,211.0,U0359.bmp,no,,0.35,0.12097223876465918,0.5790277493144118,0.9,0.755948184873397,1.044051767442887,0.55,0.3111171472205054,0.7888828766213525
139,186.0,U0312.bmp,yes,68,0.35,0.12097223876465918,0.5790277493144118,0.85,0.6785440920553543,1.0214559556283616,0.5,0.2599136811920915,0.7400863188079085
10,14.0,U0020.bmp,no,,0.35,0.07520863746251383,0.6247913506165572,0.95,0.8453487866117306,1.0546511895464115,0.6,0.3647644555460454,0.8352355921376704
45,64.0,U0106.bmp,no,,0.35,0.12097223876465918,0.5790277493144118,1.0,1.0,1.0,0.65,0.42097222088326575,0.8790277314330184
28,40.0,U0061.bmp,yes,20,0.4,0.16476440976881956,0.6352356021521094,1.0,1.0,1.0,0.6,0.364764427650213,0.8352356200335028
6,9.0,U0014.bmp,yes,7,0.4,0.1200136364031501,0.6799863755177789,0.95,0.8453487866117306,1.0546511895464115,0.55,0.3111171472205054,0.7888828766213525
82,110.0,U0181.bmp,no,,0.4,0.16476440976881956,0.6352356021521094,1.0,1.0,1.0,0.6,0.364764427650213,0.8352356200335028
76,101.0,U0164.bmp,no,,0.45,0.16694239895295543,0.7330575772051866,0.95,0.8453487866117306,1.0546511895464115,0.5,0.2599136811920915,0.7400863188079085
46,65.0,U0107.bmp,yes,31,0.5,0.21592602621877177,0.7840739737812282,0.9,0.755948184873397,1.044051767442887,0.4,0.16476440976881956,0.6352356021521094
81,108.0,U0178.bmp,yes,44,0.5,0.2599136811920915,0.7400863188079085,1.0,1.0,1.0,0.5,0.2599136811920915,0.7400863188079085
153,202.0,U0335.bmp,no,,0.6,0.364764427650213,0.8352356200335028,1.0,1.0,1.0,0.4,0.16476440976881956,0.6352356021521094
61,83.0,U0137.bmp,no,,0.65,0.42097222088326575,0.8790277314330184,0.95,0.8453487866117306,1.0546511895464115,0.3,0.07995725321390956,0.5200427706279483
162,212.0,U0361.bmp,no,,0.75,0.49253608395416737,1.0074639160458325,0.95,0.8453487866117306,1.0546511895464115,0.2,0.007930933985989236,0.39206907197447527
