,MOONEYID,REAL_NAME,PAPER,PAPER_NUMBER,MEAN_HOLISTIC,CI_LOWER_HOLISTIC,CI_UPPER_HOLISTIC,MEAN_UPRIGHT,CI_LOWER_UPRIGHT,CI_UPPER_UPRIGHT,MEAN_INVERTED,CI_LOWER_INVERTED,CI_UPPER_INVERTED
64,88.0,U0142.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
173,223.0,U0377.bmp,yes,72,0.0,-0.15184392021352983,0.15184392021352983,0.95,0.8453487866117306,1.0546511895464115,0.95,0.8453487866117306,1.0546511895464115
37,52.0,U0080.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
38,53.0,U0084.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
41,59.0,U0095.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
97,135.0,U0220.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
179,230.0,U0395.bmp,no,,0.0,-0.21473973306350194,0.21473973306350194,0.9,0.755948184873397,1.044051767442887,0.9,0.755948184873397,1.044051767442887
171,221.0,U0374.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
151,199.0,U0331.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
58,80.0,U0133.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
157,207.0,U0348.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
57,77.0,U0128.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
55,75.0,U0125.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
43,61.0,U0097.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
73,98.0,U0158.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
211,274.0,U0504.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
148,196.0,U0328.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
208,271.0,U0501.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
128,173.0,U0292.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
123,168.0,U0283.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
